hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.096106
32,0.1,0.0005,0.094713
32,0.2,0.001,0.116171
32,0.2,0.0005,0.098125
64,0.1,0.001,0.091605
64,0.1,0.0005,0.092799
64,0.2,0.001,0.102383
64,0.2,0.0005,0.098652
