n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,127,0.01,0.8,0.8,10,0.08532
100,31,0.05,1.0,1.0,10,0.074277
200,127,0.01,1.0,0.8,30,0.074181
200,63,0.1,0.8,1.0,10,0.077108
200,63,0.01,1.0,1.0,20,0.075315
100,127,0.1,0.8,1.0,10,0.076822
100,63,0.2,1.0,0.6,30,0.075346
500,63,0.05,0.8,0.6,10,0.0749
100,63,0.1,0.8,1.0,20,0.074655
500,127,0.01,1.0,0.8,10,0.075221
300,127,0.01,0.6,0.6,10,0.07352
100,31,0.1,0.8,0.6,30,0.072219
100,31,0.1,0.6,1.0,20,0.075541
100,63,0.2,0.6,0.6,30,0.075346
200,63,0.01,0.8,1.0,10,0.074739
200,63,0.05,0.8,1.0,30,0.074685
500,31,0.1,0.6,1.0,30,0.07864
500,127,0.05,0.8,1.0,30,0.075339
100,31,0.1,0.6,0.6,10,0.075677
500,63,0.1,0.8,1.0,10,0.077542
200,31,0.2,0.6,0.6,30,0.076961
300,63,0.2,1.0,0.8,20,0.078226
200,63,0.01,1.0,0.6,20,0.074076
300,127,0.1,0.6,0.6,20,0.073342
500,127,0.01,1.0,0.6,10,0.074142
200,127,0.05,0.6,0.6,30,0.073821
100,31,0.01,0.8,0.8,20,0.08558
200,31,0.01,0.6,0.6,30,0.073612
300,127,0.01,0.6,0.6,20,0.073034
300,31,0.05,1.0,0.8,10,0.07539
100,127,0.2,1.0,0.8,10,0.07678
200,63,0.01,0.6,1.0,30,0.074633
300,31,0.05,0.8,0.8,30,0.075931
100,63,0.2,0.6,0.6,10,0.073053
300,63,0.01,1.0,0.8,20,0.07365
100,63,0.2,0.8,0.6,10,0.073053
300,31,0.2,0.6,1.0,10,0.079116
300,31,0.1,0.6,0.6,30,0.074193
500,127,0.05,1.0,0.8,10,0.075429
200,127,0.01,0.6,0.6,20,0.073959
100,31,0.2,0.6,1.0,20,0.079092
300,127,0.1,1.0,0.8,20,0.076222
500,63,0.01,1.0,0.6,10,0.073378
100,127,0.05,0.8,0.8,10,0.074784
300,63,0.01,1.0,0.6,20,0.072803
100,63,0.05,1.0,1.0,30,0.073628
500,63,0.05,1.0,0.8,30,0.075518
200,127,0.1,0.6,1.0,10,0.076936
500,127,0.2,1.0,0.6,10,0.074514
500,127,0.1,1.0,1.0,10,0.076946
300,31,0.2,0.8,0.6,30,0.077452
500,63,0.2,1.0,0.8,10,0.07547
200,31,0.1,0.8,1.0,10,0.077783
100,63,0.05,0.6,1.0,20,0.074922
100,31,0.2,0.8,0.8,10,0.077188
200,63,0.05,0.6,1.0,20,0.07514
200,127,0.05,1.0,1.0,20,0.075716
100,63,0.1,0.6,0.6,20,0.074691
100,63,0.2,0.8,1.0,30,0.077796
300,127,0.1,0.8,0.6,20,0.073342
300,31,0.2,1.0,0.6,10,0.074021
200,31,0.01,0.8,0.6,10,0.073253
300,63,0.01,0.6,0.6,30,0.07257
300,31,0.1,1.0,1.0,20,0.077271
200,31,0.2,1.0,1.0,10,0.078874
200,127,0.01,0.6,1.0,10,0.07622
100,63,0.05,0.8,0.6,30,0.072528
500,127,0.1,0.6,0.8,30,0.076293
200,31,0.01,1.0,1.0,30,0.074275
500,63,0.01,0.8,0.8,20,0.074493
200,31,0.01,0.8,0.6,20,0.073658
300,127,0.2,0.6,0.6,20,0.076183
300,63,0.01,1.0,0.8,10,0.07348
200,127,0.01,0.8,0.8,10,0.075112
500,63,0.1,0.6,1.0,10,0.077542
200,63,0.01,0.8,1.0,30,0.074633
300,31,0.01,0.8,1.0,20,0.073501
100,63,0.01,0.6,1.0,10,0.08531
200,63,0.05,0.8,0.6,20,0.073626
200,127,0.2,1.0,1.0,20,0.078296
300,63,0.1,0.8,0.6,30,0.074999
200,127,0.01,0.6,1.0,30,0.074633
100,63,0.05,0.6,0.6,10,0.073348
200,63,0.01,0.6,0.6,10,0.073619
500,63,0.2,0.6,0.6,10,0.073352
200,127,0.2,1.0,0.8,30,0.076128
200,63,0.01,0.6,0.8,10,0.074046
500,31,0.05,1.0,0.8,30,0.076307
300,63,0.1,0.6,0.6,10,0.074764
300,127,0.1,1.0,0.8,10,0.075991
100,127,0.1,1.0,0.8,20,0.075605
200,127,0.01,0.6,0.6,30,0.073755
200,63,0.1,1.0,0.6,20,0.075208
500,63,0.01,1.0,0.8,30,0.073604
200,63,0.2,1.0,1.0,20,0.077451
500,127,0.01,0.8,0.6,10,0.074142
300,127,0.01,0.8,0.8,20,0.073742
500,127,0.01,0.6,1.0,20,0.074389
300,63,0.1,0.6,1.0,20,0.075634
300,31,0.2,0.8,0.8,10,0.07813
100,127,0.1,0.8,0.8,20,0.075605
500,31,0.1,0.8,1.0,30,0.07864
500,31,0.05,0.8,0.6,30,0.075095
100,63,0.1,1.0,1.0,10,0.076622
100,31,0.2,0.8,1.0,10,0.078071
100,127,0.01,0.6,1.0,30,0.085878
100,127,0.2,0.8,1.0,20,0.078334
500,127,0.2,0.8,1.0,20,0.078292
200,31,0.01,0.6,0.8,10,0.073829
500,127,0.05,0.6,1.0,10,0.076815
100,63,0.01,1.0,0.8,20,0.085528
300,63,0.05,0.6,0.8,30,0.075134
300,63,0.01,1.0,1.0,20,0.073921
500,127,0.05,0.6,0.8,30,0.075518
300,127,0.2,0.8,0.8,20,0.075898
500,63,0.01,0.6,0.8,10,0.073929
200,63,0.2,0.6,0.6,20,0.076777
500,63,0.05,1.0,1.0,30,0.075339
100,31,0.01,1.0,0.8,30,0.085498
100,127,0.01,1.0,0.6,10,0.084622
500,63,0.01,1.0,0.6,20,0.073737
200,127,0.1,0.6,1.0,20,0.076436
300,127,0.01,1.0,1.0,30,0.073656
100,127,0.2,1.0,1.0,30,0.077796
300,127,0.1,0.8,0.6,30,0.074999
100,31,0.01,0.6,1.0,10,0.085886
200,63,0.2,1.0,1.0,30,0.078264
500,31,0.05,1.0,1.0,30,0.07645
200,31,0.05,0.8,0.8,30,0.07531
500,31,0.1,0.8,0.8,20,0.077482
100,127,0.01,0.6,0.6,20,0.084809
500,127,0.2,0.8,0.6,30,0.076085
200,127,0.1,0.8,1.0,30,0.075442
300,63,0.01,0.8,0.6,10,0.072679
200,31,0.01,0.6,1.0,10,0.074496
500,63,0.01,1.0,1.0,10,0.075031
500,63,0.01,0.6,1.0,10,0.075031
100,31,0.01,0.6,0.6,20,0.085151
500,127,0.05,0.8,0.6,30,0.075324
300,31,0.01,0.8,1.0,10,0.073001
500,31,0.05,0.6,0.6,20,0.0751
100,31,0.05,0.8,0.8,10,0.073756
100,127,0.01,0.8,0.8,20,0.085588
300,31,0.2,0.8,0.8,30,0.076858
200,127,0.2,0.6,1.0,30,0.078264
200,63,0.1,0.6,0.8,20,0.075466
100,63,0.01,0.8,0.6,20,0.084977
200,63,0.1,0.6,1.0,20,0.075432
100,63,0.1,0.8,0.8,20,0.075179
500,31,0.01,1.0,0.8,30,0.073432
100,63,0.05,0.6,1.0,10,0.074595
500,63,0.01,0.8,0.6,20,0.073737
100,127,0.05,0.8,0.8,30,0.073692
100,127,0.05,1.0,0.6,20,0.073199
500,31,0.01,0.6,0.6,20,0.073329
500,63,0.05,1.0,0.6,10,0.0749
200,31,0.01,0.8,0.8,30,0.073765
500,63,0.01,0.6,0.6,10,0.073378
500,127,0.1,0.6,0.6,10,0.074896
300,127,0.01,0.6,0.6,30,0.07257
200,63,0.01,0.6,0.6,20,0.074076
200,31,0.2,0.6,1.0,10,0.078874
200,127,0.2,0.8,1.0,30,0.078264
300,63,0.01,0.6,1.0,30,0.073656
300,127,0.05,0.6,1.0,10,0.076869
500,31,0.2,0.6,1.0,10,0.07918
300,127,0.1,0.6,1.0,10,0.076913
100,127,0.05,0.6,0.8,20,0.074799
200,63,0.1,1.0,0.8,10,0.075553
200,63,0.05,0.6,0.6,20,0.073626
100,63,0.01,1.0,0.8,30,0.08538
300,31,0.05,0.8,1.0,30,0.075724
100,31,0.05,0.8,1.0,20,0.074638
500,127,0.01,0.8,1.0,20,0.074389
500,63,0.1,0.6,0.6,10,0.074805
200,63,0.05,0.8,0.8,10,0.073939
500,127,0.01,0.8,1.0,30,0.074578
100,31,0.01,0.8,0.8,30,0.085498
100,63,0.05,0.8,0.6,20,0.072682
500,127,0.2,1.0,0.8,30,0.076184
100,63,0.01,0.8,0.8,10,0.084739
200,63,0.05,0.8,0.6,10,0.074236
100,63,0.05,0.6,0.8,10,0.072809
100,31,0.1,0.8,0.6,20,0.073329
300,31,0.05,0.6,0.6,20,0.073952
500,31,0.1,1.0,1.0,30,0.07864
200,63,0.1,0.6,0.6,20,0.075208
200,127,0.05,0.6,0.8,10,0.075203
500,31,0.01,1.0,0.8,20,0.073795
200,63,0.01,0.6,1.0,10,0.074739
100,127,0.1,0.6,0.6,10,0.074438
500,63,0.2,0.6,1.0,30,0.07835
500,63,0.2,1.0,0.6,20,0.076822
300,127,0.2,1.0,0.8,30,0.076144
200,63,0.1,0.8,0.6,30,0.074729
300,63,0.1,1.0,0.8,30,0.076062
200,31,0.1,0.8,0.6,30,0.073512
100,63,0.2,0.6,0.8,20,0.077867
300,127,0.01,1.0,0.6,10,0.07352
300,31,0.1,1.0,0.8,30,0.075962
300,127,0.01,0.6,0.8,10,0.07471
300,63,0.2,0.6,0.8,20,0.078226
300,127,0.2,0.8,0.6,30,0.075968
100,63,0.01,0.6,0.6,30,0.085347
100,63,0.2,0.8,0.8,10,0.075348
100,63,0.01,0.8,1.0,20,0.086311
300,63,0.1,0.8,0.8,30,0.076062
300,31,0.05,1.0,0.6,20,0.073952
100,127,0.01,0.6,1.0,20,0.086321
200,63,0.1,1.0,0.8,30,0.075811
200,31,0.1,0.8,0.8,30,0.075538
300,127,0.1,0.6,0.6,10,0.07483
100,127,0.1,0.8,1.0,30,0.074803
200,31,0.05,1.0,1.0,10,0.074467
300,127,0.2,0.6,0.6,30,0.075968
200,63,0.1,1.0,1.0,20,0.075432
100,63,0.05,1.0,0.6,20,0.072682
300,127,0.05,0.8,1.0,20,0.07569
500,63,0.05,1.0,0.6,30,0.075324
100,63,0.2,0.8,0.6,30,0.075346
100,31,0.2,1.0,0.8,20,0.075927
500,63,0.05,0.6,0.6,10,0.0749
100,31,0.05,0.6,0.8,10,0.073756
200,63,0.05,1.0,1.0,20,0.07514
200,31,0.01,0.8,1.0,20,0.074941
300,63,0.1,1.0,0.8,20,0.075627
500,31,0.01,0.8,0.8,20,0.073795
200,63,0.01,0.6,0.8,30,0.074181
200,31,0.01,0.8,0.8,20,0.074031
300,63,0.01,1.0,0.6,30,0.07257
100,31,0.01,0.6,0.8,20,0.08558
300,63,0.05,0.8,1.0,20,0.075367
200,127,0.01,0.6,0.8,10,0.075112
300,127,0.1,0.8,0.8,20,0.076222
200,127,0.05,0.8,1.0,30,0.074685
500,63,0.1,0.6,0.8,20,0.075754
500,31,0.01,1.0,1.0,10,0.074163
100,127,0.2,1.0,0.6,30,0.075346
200,31,0.1,0.8,0.6,20,0.07458
200,127,0.1,0.8,0.8,20,0.076194
200,63,0.01,0.8,0.8,20,0.074765
100,63,0.01,0.8,0.6,30,0.085347
500,63,0.2,1.0,1.0,20,0.077524
500,63,0.05,0.6,0.8,10,0.074397
200,127,0.2,1.0,0.8,10,0.076883
100,63,0.01,0.8,0.6,10,0.084557
100,31,0.2,1.0,0.8,10,0.077188
500,127,0.01,0.6,1.0,30,0.074578
500,31,0.01,0.6,0.8,20,0.073795
500,31,0.1,0.6,0.8,10,0.075991
500,63,0.01,0.6,1.0,20,0.074758
100,127,0.2,1.0,1.0,20,0.078334
100,63,0.01,0.6,1.0,30,0.085878
500,31,0.1,0.8,0.8,30,0.076396
100,63,0.1,0.6,0.6,30,0.07361
200,31,0.1,0.6,0.6,30,0.073512
100,63,0.05,0.6,0.8,30,0.073692
500,127,0.05,0.6,0.8,10,0.075429
100,63,0.05,0.6,0.8,20,0.074697
200,63,0.05,1.0,0.8,20,0.075165
300,63,0.1,0.8,1.0,20,0.075634
100,127,0.05,0.6,0.6,30,0.072528
500,63,0.2,0.6,0.8,30,0.076184
200,63,0.1,1.0,0.6,10,0.074626
500,63,0.2,1.0,1.0,10,0.076288
500,127,0.05,0.6,0.6,30,0.075324
100,31,0.2,0.6,0.6,10,0.073352
500,127,0.1,1.0,1.0,30,0.07582
100,63,0.1,0.6,0.8,30,0.07518
300,63,0.2,1.0,0.8,10,0.075468
500,63,0.1,1.0,0.8,30,0.076293
500,31,0.2,0.8,1.0,30,0.079664
200,127,0.2,1.0,1.0,30,0.078264
200,63,0.2,1.0,0.8,10,0.07545
200,31,0.2,0.8,0.8,20,0.077082
200,127,0.2,1.0,0.8,20,0.075754
200,63,0.1,0.6,0.6,30,0.074729
100,127,0.05,1.0,1.0,20,0.075203
200,127,0.1,1.0,0.6,30,0.074729
300,127,0.1,1.0,0.6,10,0.07483
100,63,0.05,0.8,0.8,20,0.074697
100,31,0.01,1.0,0.6,20,0.085151
300,127,0.1,1.0,0.6,30,0.074999
500,127,0.2,0.6,0.8,10,0.076961
500,63,0.1,1.0,0.6,20,0.075544
100,63,0.2,0.8,1.0,10,0.076024
100,63,0.05,0.8,1.0,10,0.074595
500,63,0.01,1.0,0.8,10,0.073929
200,63,0.01,0.6,0.8,20,0.074765
500,31,0.1,0.8,0.6,20,0.075942
100,127,0.1,0.6,0.6,20,0.072554
300,31,0.1,0.8,0.8,10,0.075586
200,63,0.1,0.8,0.8,30,0.075811
