n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
100,5,0.05,0.8,2,0.077299
500,6,0.01,0.8,10,0.076876
500,5,0.05,0.5,5,0.078796
500,6,0.01,0.8,2,0.077123
500,6,0.2,0.8,5,0.082514
500,5,0.2,0.5,5,0.086081
300,4,0.05,0.5,5,0.077686
100,6,0.05,0.6,10,0.077902
500,5,0.05,0.8,2,0.07808
100,3,0.01,0.6,2,0.115142
500,4,0.1,0.5,5,0.080617
300,5,0.1,0.7,10,0.079994
100,6,0.2,0.5,10,0.084811
300,5,0.2,0.6,2,0.0838
100,5,0.05,0.5,2,0.07655
200,5,0.05,0.6,10,0.079361
500,4,0.01,0.6,10,0.076822
500,6,0.05,0.8,10,0.078461
500,4,0.05,0.5,2,0.079443
200,6,0.2,0.8,5,0.082374
100,6,0.05,0.8,2,0.076734
300,6,0.1,0.5,2,0.083212
300,6,0.05,0.6,2,0.079619
100,3,0.01,0.5,2,0.11513
200,5,0.2,0.7,5,0.08403
300,5,0.05,0.7,10,0.079249
100,3,0.05,0.7,5,0.078678
500,3,0.2,0.7,5,0.086643
200,6,0.1,0.8,10,0.078853
200,5,0.1,0.5,10,0.082048
200,4,0.01,0.6,10,0.082265
100,4,0.01,0.8,10,0.112479
200,4,0.01,0.7,2,0.082314
500,4,0.2,0.5,5,0.087017
500,5,0.2,0.6,2,0.084201
100,4,0.2,0.6,2,0.082786
300,5,0.05,0.6,10,0.079492
100,4,0.05,0.8,5,0.077047
300,6,0.05,0.6,10,0.07905
100,5,0.1,0.7,10,0.07958
100,5,0.1,0.8,10,0.079859
300,5,0.01,0.7,2,0.076649
300,6,0.1,0.8,5,0.079614
100,6,0.1,0.5,5,0.081445
500,6,0.2,0.8,10,0.081357
300,6,0.05,0.5,2,0.07854
300,4,0.01,0.5,5,0.076431
500,4,0.2,0.5,10,0.086828
500,3,0.1,0.5,10,0.079627
200,3,0.05,0.5,5,0.077582
200,5,0.1,0.7,5,0.081331
500,4,0.05,0.8,2,0.078452
500,6,0.2,0.7,10,0.082627
300,4,0.05,0.6,5,0.080199
300,6,0.01,0.5,5,0.076728
300,4,0.1,0.7,2,0.081079
100,5,0.1,0.6,2,0.079462
200,4,0.05,0.5,5,0.077844
200,3,0.2,0.5,10,0.084657
500,4,0.01,0.7,10,0.076463
200,6,0.01,0.8,5,0.081766
100,3,0.05,0.8,2,0.077895
200,3,0.2,0.7,5,0.083521
500,6,0.05,0.6,10,0.079587
100,3,0.01,0.7,5,0.115201
100,4,0.1,0.5,2,0.077961
100,4,0.05,0.5,2,0.077467
500,4,0.2,0.7,10,0.081791
100,4,0.05,0.8,2,0.07721
500,4,0.2,0.7,5,0.08154
200,6,0.01,0.5,10,0.081023
500,6,0.05,0.7,5,0.080112
300,5,0.2,0.8,5,0.082533
200,4,0.01,0.6,2,0.082316
200,4,0.2,0.8,2,0.080479
500,3,0.01,0.8,10,0.077288
200,3,0.1,0.6,2,0.080914
100,5,0.2,0.6,2,0.082165
300,5,0.01,0.6,5,0.077105
200,4,0.01,0.7,10,0.082305
500,3,0.01,0.8,2,0.077325
300,3,0.1,0.7,10,0.080357
200,3,0.01,0.5,10,0.084388
100,5,0.01,0.5,2,0.110585
500,6,0.01,0.5,5,0.076402
300,4,0.01,0.8,2,0.076797
200,6,0.1,0.5,10,0.08418
500,3,0.01,0.5,5,0.076918
300,3,0.2,0.5,2,0.085417
300,4,0.2,0.8,5,0.080102
100,4,0.01,0.7,5,0.112241
100,5,0.01,0.6,5,0.111178
100,4,0.05,0.5,10,0.078036
300,3,0.1,0.6,5,0.080383
200,6,0.01,0.8,10,0.081514
100,5,0.05,0.6,2,0.077333
200,4,0.05,0.5,10,0.078882
500,5,0.1,0.7,10,0.080397
500,4,0.01,0.6,2,0.076576
500,6,0.05,0.6,5,0.078418
100,5,0.2,0.8,10,0.081971
500,4,0.01,0.8,5,0.076398
100,6,0.2,0.7,5,0.080899
500,3,0.2,0.8,5,0.084102
500,5,0.01,0.6,5,0.077037
200,4,0.05,0.6,2,0.079045
100,4,0.1,0.6,10,0.079807
300,4,0.05,0.8,2,0.077663
300,6,0.01,0.6,5,0.077319
100,4,0.01,0.6,2,0.112085
100,3,0.05,0.6,2,0.076933
500,6,0.1,0.7,2,0.078771
200,4,0.01,0.5,10,0.081593
100,4,0.2,0.5,5,0.084206
200,3,0.05,0.6,5,0.077489
300,6,0.05,0.6,5,0.078299
500,5,0.1,0.8,2,0.080657
100,5,0.05,0.5,5,0.076085
300,4,0.01,0.8,5,0.076824
500,4,0.1,0.6,2,0.080184
300,6,0.2,0.6,5,0.085023
500,6,0.1,0.7,5,0.079971
100,4,0.2,0.5,2,0.081571
300,5,0.2,0.8,2,0.081638
100,3,0.01,0.5,5,0.11513
200,3,0.01,0.7,5,0.085076
500,5,0.01,0.7,5,0.076441
300,4,0.2,0.7,2,0.083444
300,3,0.05,0.6,10,0.078046
300,5,0.05,0.6,2,0.078079
200,3,0.2,0.6,5,0.082103
500,5,0.01,0.5,5,0.076487
500,3,0.01,0.5,2,0.076932
200,6,0.05,0.7,10,0.079511
200,6,0.2,0.5,10,0.085865
300,5,0.05,0.5,10,0.078417
500,5,0.05,0.8,5,0.078819
300,6,0.1,0.5,5,0.082287
500,6,0.01,0.5,2,0.076986
200,4,0.01,0.8,2,0.082259
100,4,0.1,0.7,5,0.079796
100,5,0.01,0.5,5,0.110598
100,6,0.01,0.7,5,0.110299
300,6,0.01,0.5,2,0.077016
100,3,0.1,0.6,10,0.078738
500,5,0.1,0.6,2,0.080922
200,6,0.2,0.6,5,0.084788
200,4,0.2,0.5,5,0.084636
100,3,0.1,0.7,5,0.078751
300,6,0.2,0.7,5,0.081549
100,6,0.05,0.6,5,0.077308
500,4,0.01,0.6,5,0.076646
500,6,0.2,0.8,2,0.0849
200,5,0.01,0.8,10,0.081413
200,4,0.01,0.6,5,0.082324
500,4,0.01,0.5,10,0.076287
