n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
500,4,0.1,0.7,2,0.081737
100,5,0.05,0.7,2,0.078266
100,3,0.1,0.5,5,0.079132
500,6,0.2,0.6,2,0.083729
200,4,0.2,0.6,10,0.086559
200,4,0.01,0.8,5,0.082253
200,3,0.2,0.5,2,0.084611
100,5,0.2,0.8,5,0.081416
500,6,0.1,0.8,5,0.079903
100,5,0.01,0.7,10,0.110851
500,5,0.05,0.7,10,0.079315
300,6,0.1,0.7,2,0.078859
100,4,0.2,0.6,10,0.083979
500,3,0.1,0.6,5,0.080749
300,4,0.01,0.5,2,0.076512
100,3,0.1,0.7,10,0.078626
100,3,0.1,0.7,2,0.078603
100,4,0.2,0.8,10,0.080021
200,3,0.1,0.7,5,0.079719
200,3,0.2,0.8,5,0.081391
300,5,0.2,0.5,5,0.085776
500,3,0.2,0.6,5,0.082703
100,3,0.1,0.6,2,0.07838
300,6,0.2,0.8,5,0.082493
200,3,0.01,0.8,10,0.085002
500,6,0.05,0.5,5,0.079946
500,4,0.2,0.6,10,0.088363
500,5,0.2,0.8,5,0.082735
500,6,0.2,0.5,2,0.083702
300,3,0.2,0.8,2,0.081598
200,3,0.1,0.8,2,0.07797
300,4,0.1,0.6,2,0.080142
500,3,0.1,0.6,2,0.082524
200,4,0.2,0.7,10,0.08116
100,3,0.01,0.7,2,0.115201
100,6,0.05,0.7,5,0.078949
500,5,0.2,0.7,2,0.085816
500,6,0.1,0.8,2,0.078642
200,6,0.05,0.5,2,0.077926
500,6,0.05,0.5,10,0.077769
100,6,0.05,0.6,2,0.078532
200,3,0.1,0.6,5,0.080217
200,6,0.01,0.7,10,0.081171
500,6,0.2,0.5,10,0.086
100,4,0.2,0.8,5,0.077382
300,3,0.01,0.6,10,0.078117
100,5,0.01,0.6,2,0.111217
200,6,0.1,0.7,5,0.079436
200,6,0.05,0.6,5,0.078028
500,3,0.2,0.7,2,0.083331
200,4,0.1,0.7,2,0.080384
100,3,0.2,0.7,10,0.08023
300,4,0.2,0.5,10,0.086438
300,6,0.05,0.8,2,0.07752
100,5,0.1,0.7,5,0.080602
300,3,0.01,0.6,2,0.078115
100,4,0.1,0.7,10,0.079169
300,6,0.2,0.5,5,0.085898
200,5,0.05,0.5,2,0.077246
500,4,0.05,0.7,5,0.078923
500,4,0.01,0.8,2,0.076373
200,6,0.1,0.8,5,0.079317
500,3,0.05,0.6,2,0.078682
200,3,0.01,0.6,5,0.084559
100,4,0.05,0.8,10,0.077328
100,3,0.2,0.8,5,0.080335
500,5,0.01,0.6,10,0.077228
200,3,0.2,0.6,10,0.083533
200,5,0.01,0.7,10,0.081357
100,4,0.1,0.8,2,0.079081
500,6,0.1,0.6,5,0.078997
100,5,0.01,0.7,5,0.110696
500,6,0.01,0.5,10,0.07691
500,6,0.01,0.7,10,0.077162
300,4,0.1,0.7,10,0.081368
500,4,0.1,0.5,10,0.080647
200,6,0.2,0.5,5,0.085908
100,6,0.05,0.8,5,0.077043
200,6,0.2,0.7,5,0.081396
200,6,0.1,0.6,2,0.078888
200,3,0.05,0.8,5,0.078103
500,5,0.05,0.5,10,0.079628
200,4,0.1,0.8,2,0.079871
500,4,0.2,0.6,2,0.086188
100,4,0.1,0.5,5,0.079152
500,3,0.2,0.8,10,0.083908
500,6,0.2,0.5,5,0.085928
100,6,0.1,0.7,5,0.078908
300,6,0.05,0.7,2,0.079272
500,6,0.2,0.7,2,0.080607
100,6,0.05,0.8,10,0.077426
300,4,0.2,0.6,10,0.087378
300,3,0.01,0.6,5,0.078117
200,4,0.2,0.5,2,0.081369
500,4,0.1,0.7,5,0.082407
300,6,0.2,0.7,2,0.080551
200,3,0.1,0.7,10,0.079212
200,5,0.2,0.7,10,0.082441
100,4,0.01,0.8,2,0.112486
200,3,0.2,0.7,2,0.081754
500,6,0.1,0.7,10,0.079022
200,5,0.1,0.8,10,0.081328
300,3,0.1,0.5,10,0.078339
200,4,0.1,0.8,5,0.079693
100,4,0.05,0.7,5,0.077914
200,3,0.1,0.5,2,0.079916
500,3,0.01,0.6,5,0.077017
200,5,0.1,0.8,5,0.078549
200,3,0.1,0.5,5,0.079321
300,5,0.1,0.7,5,0.082146
300,3,0.05,0.8,2,0.078396
300,4,0.2,0.5,5,0.085633
100,6,0.01,0.5,10,0.110424
200,4,0.1,0.7,5,0.08022
500,6,0.2,0.6,5,0.08494
200,4,0.05,0.5,2,0.078664
500,6,0.1,0.5,2,0.083491
300,6,0.05,0.8,10,0.077917
200,4,0.1,0.6,10,0.079677
500,3,0.05,0.8,5,0.079873
300,4,0.01,0.7,2,0.076915
500,3,0.05,0.8,2,0.079359
300,3,0.1,0.5,2,0.079026
500,5,0.1,0.8,5,0.079784
500,4,0.2,0.8,10,0.084034
100,5,0.2,0.8,2,0.081722
300,5,0.2,0.6,10,0.087612
300,5,0.1,0.5,5,0.082151
100,4,0.2,0.8,2,0.079208
100,4,0.01,0.5,2,0.111751
100,5,0.05,0.6,5,0.077086
100,6,0.05,0.5,2,0.076742
500,6,0.05,0.5,2,0.079202
500,6,0.01,0.8,5,0.077113
500,3,0.1,0.8,5,0.080639
100,4,0.05,0.6,10,0.077484
300,3,0.01,0.8,5,0.078549
300,3,0.01,0.7,2,0.078507
500,5,0.1,0.8,10,0.083003
300,4,0.2,0.8,10,0.083158
300,6,0.05,0.5,5,0.079349
200,4,0.05,0.6,10,0.079415
300,6,0.2,0.5,10,0.086048
100,3,0.01,0.8,10,0.115332
