C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.090077
0.1,0.01,linear,0.089625
0.1,0.05,rbf,0.08895
0.1,0.05,linear,0.089601
0.1,0.1,rbf,0.089551
0.1,0.1,linear,0.089783
0.1,0.5,rbf,0.166394
0.1,0.5,linear,0.166394
1.0,0.01,rbf,0.090779
1.0,0.01,linear,0.08969
1.0,0.05,rbf,0.09174
1.0,0.05,linear,0.089514
1.0,0.1,rbf,0.094332
1.0,0.1,linear,0.089678
1.0,0.5,rbf,0.166394
1.0,0.5,linear,0.166394
10.0,0.01,rbf,0.100749
10.0,0.01,linear,0.089702
10.0,0.05,rbf,0.098175
10.0,0.05,linear,0.089496
10.0,0.1,rbf,0.101151
10.0,0.1,linear,0.089715
10.0,0.5,rbf,0.166394
10.0,0.5,linear,0.166394
100.0,0.01,rbf,0.132499
100.0,0.01,linear,0.089692
100.0,0.05,rbf,0.114362
100.0,0.05,linear,0.089503
100.0,0.1,rbf,0.114177
100.0,0.1,linear,0.089689
100.0,0.5,rbf,0.166394
100.0,0.5,linear,0.166394
