iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
500,6,0.1,5,0.0,0.081783
100,8,0.05,5,0.0,0.079269
100,4,0.1,1,0.5,0.080313
500,10,0.2,3,0.0,0.08005
200,6,0.2,3,1.0,0.084088
200,6,0.01,7,0.5,0.088594
200,4,0.2,1,0.0,0.084421
100,8,0.2,7,0.5,0.081744
500,10,0.1,7,0.5,0.079795
100,8,0.01,5,1.0,0.116267
500,8,0.05,5,1.0,0.079893
300,10,0.1,5,0.0,0.079557
100,6,0.2,3,1.0,0.083159
500,4,0.1,3,0.5,0.081347
300,6,0.01,1,0.0,0.081896
100,4,0.1,5,1.0,0.081438
100,4,0.1,5,0.0,0.081438
100,6,0.2,7,1.0,0.081101
200,4,0.1,5,0.5,0.081471
200,4,0.2,7,0.5,0.082835
300,8,0.2,1,0.5,0.082559
500,4,0.2,3,0.5,0.08578
100,4,0.1,3,0.0,0.081018
300,10,0.2,7,0.5,0.080211
200,4,0.01,7,1.0,0.089523
500,10,0.05,1,0.5,0.080226
500,6,0.2,3,1.0,0.083997
500,8,0.2,7,0.5,0.083123
500,10,0.2,1,0.0,0.079826
300,4,0.2,7,0.0,0.08262
200,4,0.1,7,0.0,0.081053
300,6,0.1,3,0.0,0.081668
500,4,0.1,3,0.0,0.081347
200,6,0.2,5,1.0,0.083319
100,4,0.01,5,0.0,0.116811
100,10,0.05,5,0.5,0.079594
500,8,0.2,5,0.0,0.083032
500,10,0.1,7,0.0,0.079795
200,10,0.05,1,0.0,0.07973
500,10,0.05,1,1.0,0.080226
100,10,0.05,3,0.0,0.079243
200,4,0.1,3,0.5,0.080638
200,10,0.01,5,1.0,0.089882
500,10,0.2,1,1.0,0.079826
100,6,0.2,7,0.5,0.081101
300,4,0.01,3,1.0,0.082736
100,8,0.01,3,0.0,0.114697
200,10,0.1,5,0.5,0.079662
200,10,0.05,3,0.5,0.078823
500,4,0.2,5,0.0,0.085287
200,6,0.1,5,0.0,0.080545
100,4,0.2,5,1.0,0.08364
300,6,0.2,1,1.0,0.086887
300,10,0.05,7,0.0,0.078628
100,8,0.1,5,0.5,0.080136
300,4,0.01,3,0.0,0.082736
100,6,0.1,5,1.0,0.081066
300,10,0.2,1,0.5,0.079786
200,8,0.05,1,0.0,0.0796
500,6,0.05,5,0.5,0.080633
500,6,0.01,7,0.0,0.08051
200,10,0.1,7,0.5,0.078632
500,4,0.05,3,0.0,0.080723
200,4,0.01,3,0.5,0.089002
100,6,0.05,7,1.0,0.082264
100,4,0.2,7,0.5,0.083314
500,8,0.01,3,1.0,0.079391
200,4,0.2,3,1.0,0.084627
200,8,0.01,5,1.0,0.087779
100,6,0.1,7,0.0,0.081733
500,10,0.1,3,0.5,0.080197
100,8,0.01,5,0.5,0.116267
500,10,0.01,1,1.0,0.079108
500,10,0.01,5,1.0,0.079494
300,6,0.1,5,1.0,0.08094
500,6,0.1,1,1.0,0.081999
200,10,0.2,1,0.5,0.079743
100,10,0.05,7,0.5,0.079331
200,10,0.2,5,0.5,0.080024
200,10,0.1,3,0.0,0.079869
200,4,0.05,7,0.5,0.080577
500,8,0.05,1,1.0,0.08077
200,6,0.1,7,0.0,0.081069
500,6,0.2,3,0.0,0.083997
100,6,0.1,1,0.5,0.081509
500,4,0.2,7,1.0,0.084007
500,10,0.2,1,0.5,0.079826
100,10,0.1,5,0.5,0.079692
300,10,0.05,5,0.0,0.078853
500,10,0.2,5,0.0,0.080201
100,10,0.05,7,1.0,0.079331
300,6,0.2,3,1.0,0.084099
300,4,0.01,3,0.5,0.082736
200,6,0.2,1,0.0,0.086215
500,6,0.1,5,0.5,0.081783
300,10,0.2,5,0.0,0.080239
200,4,0.1,5,1.0,0.081471
200,8,0.2,5,1.0,0.082441
100,6,0.01,7,0.0,0.116787
200,4,0.2,5,0.0,0.084184
500,10,0.1,5,1.0,0.079725
200,8,0.1,7,1.0,0.081209
300,4,0.1,1,1.0,0.080896
200,6,0.1,7,0.5,0.081069
100,6,0.05,5,0.5,0.08157
200,4,0.1,1,0.0,0.080292
500,4,0.01,3,0.5,0.081083
200,8,0.1,7,0.5,0.081209
200,4,0.1,1,0.5,0.080292
300,8,0.1,5,0.5,0.080028
300,4,0.05,7,0.0,0.080552
300,6,0.2,1,0.5,0.086887
100,10,0.01,1,1.0,0.114129
200,6,0.1,5,0.5,0.080545
500,10,0.2,3,0.5,0.08005
200,6,0.05,1,0.0,0.082041
500,10,0.1,1,0.0,0.080913
300,10,0.05,7,1.0,0.078628
200,6,0.1,3,1.0,0.081716
500,4,0.05,7,0.5,0.080699
300,6,0.01,5,0.0,0.081922
500,4,0.05,7,0.0,0.080699
300,4,0.1,1,0.0,0.080896
500,8,0.1,7,0.5,0.081468
500,6,0.2,7,1.0,0.081777
100,8,0.2,7,0.0,0.081744
300,8,0.2,3,1.0,0.082753
300,8,0.1,1,0.5,0.083339
100,6,0.2,7,0.0,0.081101
100,6,0.01,1,0.0,0.1146
100,8,0.05,3,0.5,0.079754
100,10,0.05,1,0.0,0.078901
500,10,0.05,1,0.0,0.080226
500,10,0.01,7,0.5,0.079584
500,4,0.1,7,0.5,0.081803
100,6,0.05,3,1.0,0.081807
300,4,0.01,7,0.5,0.082984
300,4,0.01,5,0.0,0.082695
500,8,0.1,7,1.0,0.081468
300,6,0.2,7,1.0,0.081322
300,10,0.05,1,0.5,0.07966
200,6,0.05,3,1.0,0.081174
300,10,0.2,1,1.0,0.079786
100,4,0.01,7,1.0,0.117246
100,8,0.05,7,0.0,0.080085
500,10,0.01,7,1.0,0.079584
500,8,0.05,1,0.5,0.08077
500,10,0.01,7,0.0,0.079584
500,10,0.2,7,0.5,0.080313
500,8,0.2,1,0.5,0.082672
300,6,0.05,1,0.5,0.081228
100,10,0.05,3,1.0,0.079243
500,8,0.05,7,0.0,0.079861
100,4,0.01,3,0.0,0.116519
500,6,0.1,1,0.5,0.081999
300,8,0.1,5,1.0,0.080028
100,10,0.2,1,1.0,0.079765
300,8,0.2,3,0.0,0.082753
100,8,0.05,1,0.0,0.079735
200,8,0.05,3,1.0,0.079799
500,6,0.01,3,1.0,0.080656
500,10,0.05,7,1.0,0.078584
500,6,0.05,1,0.0,0.082462
200,10,0.2,7,0.5,0.08015
100,10,0.05,7,0.0,0.079331
300,10,0.1,1,0.0,0.08094
300,10,0.05,3,0.0,0.079065
100,4,0.01,1,0.0,0.116196
200,8,0.2,5,0.5,0.082441
300,8,0.05,5,1.0,0.079432
100,4,0.05,5,0.5,0.080713
500,4,0.2,5,0.5,0.085287
200,10,0.1,7,1.0,0.078632
200,8,0.1,1,1.0,0.082349
200,6,0.01,3,1.0,0.087792
100,6,0.01,7,1.0,0.116787
200,6,0.01,5,0.0,0.087977
500,6,0.2,1,0.5,0.087859
500,8,0.2,3,0.0,0.082754
100,6,0.2,3,0.0,0.083159
300,8,0.05,3,1.0,0.080092
100,6,0.05,7,0.5,0.082264
300,10,0.05,3,1.0,0.079065
100,8,0.1,5,1.0,0.080136
100,8,0.1,7,1.0,0.080369
300,8,0.01,5,0.0,0.081323
300,10,0.1,7,0.5,0.079177
100,10,0.1,1,0.5,0.080106
500,10,0.2,7,1.0,0.080313
300,10,0.05,1,0.0,0.07966
300,6,0.01,1,0.5,0.081896
500,6,0.2,1,1.0,0.087859
500,4,0.1,1,1.0,0.081194
200,4,0.05,1,0.5,0.080904
200,8,0.1,5,0.5,0.079809
500,6,0.05,7,0.0,0.080828
500,10,0.2,5,1.0,0.080201
300,6,0.05,3,0.5,0.08108
300,10,0.01,1,0.5,0.080073
300,6,0.1,5,0.0,0.08094
100,8,0.1,3,0.0,0.079276
200,6,0.05,1,0.5,0.082041
200,4,0.2,1,1.0,0.084421
500,6,0.01,5,1.0,0.080441
200,10,0.01,7,0.5,0.090759
100,4,0.05,7,0.0,0.080953
200,4,0.2,5,0.5,0.084184
500,10,0.05,3,1.0,0.079619
100,4,0.01,5,0.5,0.116811
100,6,0.1,1,0.0,0.081509
100,6,0.05,1,0.0,0.082011
500,6,0.2,5,1.0,0.08354
100,6,0.05,7,0.0,0.082264
500,6,0.2,5,0.5,0.08354
200,10,0.01,1,1.0,0.085823
500,10,0.05,5,0.5,0.079105
300,8,0.2,7,0.5,0.082509
200,6,0.01,3,0.0,0.087792
200,6,0.2,7,0.0,0.081344
500,4,0.01,7,1.0,0.081298
200,4,0.1,3,0.0,0.080638
100,8,0.2,3,0.0,0.08205
300,8,0.01,3,0.5,0.081028
200,6,0.01,5,1.0,0.087977
