hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.079233
32,0.1,0.0005,0.074109
32,0.2,0.001,0.113433
32,0.2,0.0005,0.079992
64,0.1,0.001,0.077517
64,0.1,0.0005,0.077393
64,0.2,0.001,0.09117
64,0.2,0.0005,0.083482
