hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.093682
32,0.1,0.0005,0.088212
32,0.2,0.001,0.102451
32,0.2,0.0005,0.094573
64,0.1,0.001,0.092366
64,0.1,0.0005,0.091108
64,0.2,0.001,0.095251
64,0.2,0.0005,0.095682
