hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.102283
32,0.1,0.0005,0.101862
32,0.2,0.001,0.113099
32,0.2,0.0005,0.104698
64,0.1,0.001,0.101408
64,0.1,0.0005,0.103045
64,0.2,0.001,0.106826
64,0.2,0.0005,0.104537
