n_estimators,learning_rate,loss,base_max_depth,val_rmse
200,0.5,exponential,2,0.081077
200,0.5,exponential,3,0.081597
200,0.5,exponential,4,0.078998
200,0.5,exponential,5,0.077977
200,1.0,linear,2,0.08198
200,1.0,linear,3,0.082076
200,1.0,linear,4,0.078816
200,1.0,linear,5,0.078653
200,1.0,square,2,0.082552
200,1.0,square,3,0.080184
200,1.0,square,4,0.078602
200,1.0,square,5,0.07813
200,1.0,exponential,2,0.082362
200,1.0,exponential,3,0.082112
200,1.0,exponential,4,0.079243
200,1.0,exponential,5,0.078613
300,0.01,linear,2,0.080361
300,0.01,linear,3,0.075818
300,0.01,linear,4,0.075031
300,0.01,linear,5,0.074205
300,0.01,square,2,0.082388
300,0.01,square,3,0.075681
300,0.01,square,4,0.074878
300,0.01,square,5,0.074511
300,0.01,exponential,2,0.080767
300,0.01,exponential,3,0.07631
300,0.01,exponential,4,0.07503
300,0.01,exponential,5,0.074359
300,0.05,linear,2,0.079131
300,0.05,linear,3,0.075748
300,0.05,linear,4,0.075498
300,0.05,linear,5,0.07628
300,0.05,square,2,0.080109
300,0.05,square,3,0.076826
300,0.05,square,4,0.076048
300,0.05,square,5,0.077568
300,0.05,exponential,2,0.078749
300,0.05,exponential,3,0.076178
300,0.05,exponential,4,0.075775
300,0.05,exponential,5,0.076077
300,0.1,linear,2,0.079792
300,0.1,linear,3,0.078129
300,0.1,linear,4,0.077145
300,0.1,linear,5,0.07677
300,0.1,square,2,0.081563
300,0.1,square,3,0.078557
300,0.1,square,4,0.077512
300,0.1,square,5,0.077958
300,0.1,exponential,2,0.080261
300,0.1,exponential,3,0.078338
300,0.1,exponential,4,0.077202
300,0.1,exponential,5,0.076632
300,0.5,linear,2,0.082123
300,0.5,linear,3,0.081773
300,0.5,linear,4,0.079441
300,0.5,linear,5,0.078798
300,0.5,square,2,0.082666
300,0.5,square,3,0.081672
300,0.5,square,4,0.079709
300,0.5,square,5,0.078125
300,0.5,exponential,2,0.082029
300,0.5,exponential,3,0.082943
300,0.5,exponential,4,0.079503
300,0.5,exponential,5,0.078639
300,1.0,linear,2,0.082901
300,1.0,linear,3,0.082287
300,1.0,linear,4,0.079414
300,1.0,linear,5,0.078693
300,1.0,square,2,0.083503
300,1.0,square,3,0.08078
300,1.0,square,4,0.079013
300,1.0,square,5,0.07834
300,1.0,exponential,2,0.082513
300,1.0,exponential,3,0.08322
300,1.0,exponential,4,0.079543
300,1.0,exponential,5,0.078578
