n_estimators,learning_rate,loss,base_max_depth,val_rmse
50,0.01,linear,2,0.08322
50,0.01,linear,3,0.076655
50,0.01,linear,4,0.075898
50,0.01,linear,5,0.073886
50,0.01,square,2,0.082162
50,0.01,square,3,0.077431
50,0.01,square,4,0.075705
50,0.01,square,5,0.075871
50,0.01,exponential,2,0.082797
50,0.01,exponential,3,0.076685
50,0.01,exponential,4,0.075839
50,0.01,exponential,5,0.074415
50,0.05,linear,2,0.080221
50,0.05,linear,3,0.076448
50,0.05,linear,4,0.075243
50,0.05,linear,5,0.07556
50,0.05,square,2,0.083813
50,0.05,square,3,0.077159
50,0.05,square,4,0.075212
50,0.05,square,5,0.074789
50,0.05,exponential,2,0.080782
50,0.05,exponential,3,0.075987
50,0.05,exponential,4,0.075377
50,0.05,exponential,5,0.074751
50,0.1,linear,2,0.079491
50,0.1,linear,3,0.075982
50,0.1,linear,4,0.075645
50,0.1,linear,5,0.075102
50,0.1,square,2,0.080696
50,0.1,square,3,0.076234
50,0.1,square,4,0.075882
50,0.1,square,5,0.074931
50,0.1,exponential,2,0.079657
50,0.1,exponential,3,0.075562
50,0.1,exponential,4,0.074467
50,0.1,exponential,5,0.074472
50,0.5,linear,2,0.079847
50,0.5,linear,3,0.0773
50,0.5,linear,4,0.077308
50,0.5,linear,5,0.07637
50,0.5,square,2,0.081718
50,0.5,square,3,0.078846
50,0.5,square,4,0.076717
50,0.5,square,5,0.079457
50,0.5,exponential,2,0.079371
50,0.5,exponential,3,0.077163
50,0.5,exponential,4,0.077311
50,0.5,exponential,5,0.077329
50,1.0,linear,2,0.080381
50,1.0,linear,3,0.079739
50,1.0,linear,4,0.078295
50,1.0,linear,5,0.079491
50,1.0,square,2,0.08124
50,1.0,square,3,0.078471
50,1.0,square,4,0.079027
50,1.0,square,5,0.076879
50,1.0,exponential,2,0.081271
50,1.0,exponential,3,0.07947
50,1.0,exponential,4,0.077988
50,1.0,exponential,5,0.076338
100,0.01,linear,2,0.081548
100,0.01,linear,3,0.076602
100,0.01,linear,4,0.075008
100,0.01,linear,5,0.073983
100,0.01,square,2,0.08125
100,0.01,square,3,0.076703
100,0.01,square,4,0.074976
100,0.01,square,5,0.074307
100,0.01,exponential,2,0.081883
100,0.01,exponential,3,0.076695
100,0.01,exponential,4,0.075572
100,0.01,exponential,5,0.074521
100,0.05,linear,2,0.080522
100,0.05,linear,3,0.075395
100,0.05,linear,4,0.074709
100,0.05,linear,5,0.075215
100,0.05,square,2,0.080764
100,0.05,square,3,0.075504
100,0.05,square,4,0.075213
100,0.05,square,5,0.075314
100,0.05,exponential,2,0.079417
100,0.05,exponential,3,0.075381
100,0.05,exponential,4,0.075099
100,0.05,exponential,5,0.074823
100,0.1,linear,2,0.078539
100,0.1,linear,3,0.075339
100,0.1,linear,4,0.076072
100,0.1,linear,5,0.07542
100,0.1,square,2,0.079857
100,0.1,square,3,0.076365
100,0.1,square,4,0.076275
100,0.1,square,5,0.076966
100,0.1,exponential,2,0.078577
100,0.1,exponential,3,0.075562
100,0.1,exponential,4,0.074882
100,0.1,exponential,5,0.07544
100,0.5,linear,2,0.081256
100,0.5,linear,3,0.079049
100,0.5,linear,4,0.078856
100,0.5,linear,5,0.077729
100,0.5,square,2,0.081454
100,0.5,square,3,0.07976
100,0.5,square,4,0.078328
100,0.5,square,5,0.07872
100,0.5,exponential,2,0.080414
100,0.5,exponential,3,0.079169
100,0.5,exponential,4,0.078695
100,0.5,exponential,5,0.077848
100,1.0,linear,2,0.081587
100,1.0,linear,3,0.081825
100,1.0,linear,4,0.078936
100,1.0,linear,5,0.079127
100,1.0,square,2,0.082021
100,1.0,square,3,0.078886
100,1.0,square,4,0.07796
100,1.0,square,5,0.077301
100,1.0,exponential,2,0.081764
100,1.0,exponential,3,0.081467
100,1.0,exponential,4,0.079036
100,1.0,exponential,5,0.077834
200,0.01,linear,2,0.080703
200,0.01,linear,3,0.076425
200,0.01,linear,4,0.075133
200,0.01,linear,5,0.073978
200,0.01,square,2,0.081878
200,0.01,square,3,0.07606
200,0.01,square,4,0.074993
200,0.01,square,5,0.074623
200,0.01,exponential,2,0.081211
200,0.01,exponential,3,0.076183
200,0.01,exponential,4,0.075421
200,0.01,exponential,5,0.074322
200,0.05,linear,2,0.079079
200,0.05,linear,3,0.075044
200,0.05,linear,4,0.074771
200,0.05,linear,5,0.075656
200,0.05,square,2,0.080034
200,0.05,square,3,0.075437
200,0.05,square,4,0.075826
200,0.05,square,5,0.076871
200,0.05,exponential,2,0.078699
200,0.05,exponential,3,0.076026
200,0.05,exponential,4,0.075437
200,0.05,exponential,5,0.075302
200,0.1,linear,2,0.07927
200,0.1,linear,3,0.076952
200,0.1,linear,4,0.076363
200,0.1,linear,5,0.076482
200,0.1,square,2,0.0802
200,0.1,square,3,0.078102
200,0.1,square,4,0.076919
200,0.1,square,5,0.077736
200,0.1,exponential,2,0.079031
200,0.1,exponential,3,0.07667
200,0.1,exponential,4,0.076415
200,0.1,exponential,5,0.076173
200,0.5,linear,2,0.082529
200,0.5,linear,3,0.080856
200,0.5,linear,4,0.079433
200,0.5,linear,5,0.078464
200,0.5,square,2,0.082655
200,0.5,square,3,0.08058
200,0.5,square,4,0.079596
200,0.5,square,5,0.078674
