C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.076478
0.1,0.01,linear,0.074771
0.1,0.05,rbf,0.076241
0.1,0.05,linear,0.074628
0.1,0.1,rbf,0.074775
0.1,0.1,linear,0.074183
0.1,0.5,rbf,0.195083
0.1,0.5,linear,0.195083
1.0,0.01,rbf,0.078216
1.0,0.01,linear,0.074923
1.0,0.05,rbf,0.076753
1.0,0.05,linear,0.074671
1.0,0.1,rbf,0.075336
1.0,0.1,linear,0.07406
1.0,0.5,rbf,0.195083
1.0,0.5,linear,0.195083
10.0,0.01,rbf,0.081379
10.0,0.01,linear,0.074911
10.0,0.05,rbf,0.078668
10.0,0.05,linear,0.07468
10.0,0.1,rbf,0.078634
10.0,0.1,linear,0.073974
10.0,0.5,rbf,0.195083
10.0,0.5,linear,0.195083
100.0,0.01,rbf,0.088236
100.0,0.01,linear,0.074931
100.0,0.05,rbf,0.083858
100.0,0.05,linear,0.074693
100.0,0.1,rbf,0.082883
100.0,0.1,linear,0.073934
100.0,0.5,rbf,0.195083
100.0,0.5,linear,0.195083
