filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.095428
32,32,0.1,0.001,5,0.08917
32,32,0.1,0.0005,3,0.094244
32,32,0.1,0.0005,5,0.088648
32,32,0.2,0.001,3,0.093005
32,32,0.2,0.001,5,0.091179
32,32,0.2,0.0005,3,0.092132
32,32,0.2,0.0005,5,0.091046
32,64,0.1,0.001,3,0.090903
32,64,0.1,0.001,5,0.090804
32,64,0.1,0.0005,3,0.093658
32,64,0.1,0.0005,5,0.089665
32,64,0.2,0.001,3,0.092361
32,64,0.2,0.001,5,0.090368
32,64,0.2,0.0005,3,0.093098
32,64,0.2,0.0005,5,0.089888
64,32,0.1,0.001,3,0.093081
64,32,0.1,0.001,5,0.089637
64,32,0.1,0.0005,3,0.094228
64,32,0.1,0.0005,5,0.089736
64,32,0.2,0.001,3,0.093432
64,32,0.2,0.001,5,0.089206
64,32,0.2,0.0005,3,0.093481
64,32,0.2,0.0005,5,0.089544
64,64,0.1,0.001,3,0.091195
64,64,0.1,0.001,5,0.089264
64,64,0.1,0.0005,3,0.094579
64,64,0.1,0.0005,5,0.088572
64,64,0.2,0.001,3,0.09314
64,64,0.2,0.001,5,0.089303
64,64,0.2,0.0005,3,0.093021
64,64,0.2,0.0005,5,0.089354
