filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.088814
32,32,0.1,0.001,5,0.084286
32,32,0.1,0.0005,3,0.090908
32,32,0.1,0.0005,5,0.08399
32,32,0.2,0.001,3,0.084719
32,32,0.2,0.001,5,0.088989
32,32,0.2,0.0005,3,0.084443
32,32,0.2,0.0005,5,0.093419
32,64,0.1,0.001,3,0.083943
32,64,0.1,0.001,5,0.083505
32,64,0.1,0.0005,3,0.085209
32,64,0.1,0.0005,5,0.083707
32,64,0.2,0.001,3,0.084286
32,64,0.2,0.001,5,0.08494
32,64,0.2,0.0005,3,0.083933
32,64,0.2,0.0005,5,0.083958
64,32,0.1,0.001,3,0.086515
64,32,0.1,0.001,5,0.086025
64,32,0.1,0.0005,3,0.087534
64,32,0.1,0.0005,5,0.085869
64,32,0.2,0.001,3,0.093807
64,32,0.2,0.001,5,0.086639
64,32,0.2,0.0005,3,0.090866
64,32,0.2,0.0005,5,0.08716
64,64,0.1,0.001,3,0.08241
64,64,0.1,0.001,5,0.083023
64,64,0.1,0.0005,3,0.08805
64,64,0.1,0.0005,5,0.083969
64,64,0.2,0.001,3,0.085339
64,64,0.2,0.001,5,0.088241
64,64,0.2,0.0005,3,0.083316
64,64,0.2,0.0005,5,0.085597
