n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
500,3,0.01,0.8,0.6,0.0,1.0,0.077667
100,5,0.01,0.7,1.0,0.1,1.0,0.112355
100,3,0.05,1.0,0.8,1.0,1.0,0.078683
500,5,0.01,0.6,1.0,1.0,2.0,0.07842
200,4,0.01,1.0,0.8,0.1,1.0,0.08358
200,3,0.1,0.8,0.6,1.0,2.0,0.079782
200,3,0.01,1.0,1.0,0.0,1.5,0.085161
100,5,0.1,0.8,0.8,0.0,1.0,0.07941
500,4,0.2,1.0,0.8,0.1,1.0,0.083536
100,4,0.2,1.0,0.6,0.0,2.0,0.080944
500,3,0.2,0.7,0.6,1.0,2.0,0.083062
500,5,0.01,0.6,1.0,0.0,1.5,0.077769
300,5,0.05,0.7,0.8,0.1,1.0,0.080442
100,4,0.1,0.8,0.8,0.0,1.5,0.078889
300,6,0.01,1.0,0.6,0.1,1.5,0.078408
300,3,0.01,0.6,0.6,0.0,1.0,0.07882
100,3,0.1,0.7,0.8,1.0,2.0,0.079821
100,3,0.1,0.7,0.6,0.0,1.5,0.080199
100,4,0.2,0.6,0.8,0.0,2.0,0.083004
200,3,0.01,0.8,0.8,0.0,1.0,0.085279
200,3,0.05,0.8,0.8,1.0,1.0,0.078799
300,4,0.1,0.7,0.6,1.0,2.0,0.078605
300,6,0.05,0.8,0.8,1.0,2.0,0.080224
100,3,0.1,0.6,0.6,0.0,1.5,0.079994
300,5,0.1,0.8,0.6,1.0,1.5,0.080639
100,6,0.2,0.6,0.6,1.0,2.0,0.07959
500,4,0.1,0.7,0.6,1.0,1.0,0.079799
500,3,0.05,0.7,0.6,0.1,1.5,0.080564
500,4,0.05,0.6,1.0,0.1,1.0,0.08029
300,5,0.05,0.7,0.8,0.0,1.0,0.078951
200,6,0.2,1.0,0.6,1.0,1.5,0.081659
200,3,0.01,0.8,1.0,0.1,2.0,0.08573
300,3,0.1,0.6,0.6,1.0,1.5,0.080738
300,6,0.01,0.8,1.0,0.1,1.0,0.078018
200,4,0.05,0.6,0.8,0.0,1.5,0.078477
500,6,0.05,0.7,0.8,1.0,1.0,0.080826
100,3,0.01,0.7,1.0,1.0,2.0,0.117868
500,5,0.05,0.8,0.6,1.0,1.0,0.079767
500,6,0.05,0.6,0.8,0.1,1.5,0.082179
100,6,0.01,0.6,0.8,0.0,2.0,0.112864
500,4,0.01,1.0,1.0,0.1,1.5,0.077213
300,3,0.01,0.6,0.6,1.0,1.0,0.080311
200,5,0.05,1.0,0.6,1.0,1.0,0.078437
200,4,0.05,0.6,0.6,1.0,2.0,0.077157
100,5,0.2,1.0,0.6,0.1,1.5,0.083507
200,3,0.01,0.7,0.6,1.0,2.0,0.087655
500,5,0.05,1.0,0.8,1.0,2.0,0.079499
200,5,0.05,0.8,0.6,0.1,1.0,0.080299
100,4,0.2,1.0,0.6,0.0,1.0,0.08216
100,4,0.2,0.6,0.6,0.1,1.0,0.082945
200,6,0.01,1.0,0.6,1.0,1.5,0.086644
100,4,0.2,0.7,0.8,0.0,1.0,0.081991
200,5,0.2,0.6,1.0,1.0,1.0,0.083272
200,5,0.1,0.6,0.8,0.0,1.0,0.081317
300,6,0.05,1.0,0.6,0.1,1.5,0.079809
200,4,0.01,0.6,0.6,1.0,1.0,0.086649
500,6,0.05,0.6,1.0,0.1,2.0,0.082636
100,3,0.2,0.7,0.6,0.1,1.5,0.081249
500,4,0.2,0.7,0.8,0.0,1.5,0.087014
300,3,0.1,1.0,0.8,0.0,1.5,0.079252
300,5,0.01,0.8,1.0,0.0,1.0,0.077282
100,5,0.05,0.7,1.0,0.1,2.0,0.077619
200,6,0.01,0.8,1.0,0.1,1.5,0.083039
100,4,0.05,1.0,1.0,1.0,1.0,0.078245
300,5,0.05,1.0,0.8,0.1,1.5,0.079166
200,4,0.1,0.6,1.0,1.0,1.5,0.081287
500,6,0.1,1.0,0.8,1.0,2.0,0.080786
300,6,0.2,0.8,1.0,0.0,1.5,0.084177
300,6,0.1,1.0,0.8,1.0,2.0,0.080786
200,5,0.2,0.7,1.0,0.0,1.5,0.08475
300,5,0.2,1.0,0.6,0.1,1.5,0.08484
100,6,0.1,0.8,0.8,0.0,1.0,0.08131
500,4,0.05,0.7,1.0,0.0,2.0,0.080248
100,4,0.05,0.7,0.6,0.0,2.0,0.077967
100,3,0.2,0.7,1.0,1.0,1.0,0.081582
500,3,0.1,0.6,0.8,1.0,2.0,0.080078
200,3,0.05,0.7,0.6,0.1,1.0,0.078657
500,5,0.1,0.8,0.8,0.1,2.0,0.083457
200,4,0.05,1.0,1.0,0.1,1.0,0.077218
100,4,0.1,0.6,0.6,0.1,2.0,0.080616
200,3,0.05,0.8,0.8,1.0,2.0,0.078429
100,4,0.2,0.8,0.8,1.0,2.0,0.07959
200,6,0.01,1.0,0.6,1.0,2.0,0.086689
200,4,0.05,0.6,0.8,0.0,1.0,0.078909
300,3,0.1,0.7,0.8,1.0,1.0,0.081171
500,3,0.01,0.6,1.0,0.1,2.0,0.078004
500,6,0.2,0.7,0.6,0.0,2.0,0.0864
200,5,0.2,0.8,1.0,0.0,1.0,0.08264
100,6,0.01,0.7,0.8,0.0,1.0,0.111313
200,6,0.01,0.6,0.6,1.0,2.0,0.087563
200,5,0.1,1.0,1.0,0.1,1.0,0.081627
100,6,0.2,1.0,0.8,1.0,1.0,0.083093
500,3,0.1,1.0,0.8,0.0,1.0,0.081909
200,4,0.01,0.7,0.6,0.0,1.0,0.083116
500,4,0.05,0.6,1.0,1.0,1.5,0.080442
500,3,0.2,1.0,0.8,0.0,1.5,0.084452
500,3,0.05,0.6,0.8,1.0,1.5,0.079333
100,4,0.05,0.7,0.8,1.0,2.0,0.077087
300,6,0.1,0.6,1.0,0.1,1.5,0.082564
500,3,0.01,0.6,0.8,1.0,2.0,0.07815
100,6,0.01,1.0,1.0,1.0,1.0,0.117144
300,5,0.01,0.8,0.6,0.0,1.5,0.077325
500,4,0.2,0.7,0.6,1.0,1.0,0.080804
200,3,0.1,0.8,0.6,1.0,1.5,0.080182
100,6,0.01,0.7,0.8,1.0,1.0,0.117581
300,3,0.2,0.6,0.6,1.0,1.0,0.083653
200,6,0.01,1.0,0.6,0.1,1.0,0.083388
200,4,0.01,0.7,1.0,1.0,1.0,0.086913
500,3,0.01,0.8,0.6,0.1,1.5,0.077894
500,4,0.01,0.6,1.0,0.1,1.0,0.077808
300,5,0.1,0.6,1.0,1.0,2.0,0.081058
200,3,0.01,0.8,0.8,1.0,2.0,0.087444
500,3,0.2,1.0,1.0,0.0,1.5,0.08566
200,5,0.01,0.8,0.8,0.0,1.5,0.082265
500,6,0.2,1.0,1.0,0.0,1.5,0.082212
500,5,0.1,0.7,0.6,0.1,1.0,0.081391
500,5,0.1,1.0,0.8,0.0,2.0,0.080081
100,4,0.01,0.6,1.0,1.0,2.0,0.118166
200,3,0.05,0.7,0.8,0.1,1.5,0.078263
500,6,0.1,0.7,0.8,0.0,1.0,0.081273
100,3,0.1,0.7,1.0,0.0,1.5,0.080321
500,6,0.05,0.6,0.6,1.0,1.0,0.079582
200,4,0.2,1.0,1.0,0.0,1.5,0.080843
200,6,0.1,0.7,1.0,0.0,1.5,0.081131
200,4,0.01,0.7,0.6,1.0,1.0,0.086964
100,4,0.05,0.6,0.6,0.0,2.0,0.078213
200,3,0.01,0.6,0.6,0.0,1.0,0.08507
300,5,0.2,0.6,0.6,0.0,2.0,0.087406
500,4,0.1,0.7,1.0,0.1,1.5,0.083679
200,4,0.2,1.0,0.8,0.1,1.0,0.082951
200,3,0.01,0.6,0.8,0.1,1.5,0.085491
500,3,0.05,0.8,1.0,0.1,2.0,0.082222
300,4,0.05,1.0,0.8,0.1,1.0,0.078603
200,6,0.1,0.6,0.6,0.0,1.5,0.082405
500,3,0.01,1.0,0.6,0.0,1.5,0.077334
300,3,0.1,1.0,0.6,0.1,2.0,0.08159
100,5,0.1,1.0,0.8,0.0,1.0,0.077515
200,4,0.01,0.6,0.8,0.0,1.0,0.0835
200,3,0.1,0.8,1.0,0.1,1.5,0.080981
500,5,0.01,0.8,0.6,0.0,1.0,0.076923
300,5,0.1,0.8,0.6,1.0,2.0,0.081149
300,5,0.01,1.0,0.8,0.1,2.0,0.077843
200,3,0.2,1.0,1.0,0.0,1.5,0.083191
500,5,0.01,0.8,0.8,1.0,2.0,0.078146
300,6,0.01,0.7,0.8,0.0,1.0,0.077128
300,3,0.01,0.7,1.0,1.0,2.0,0.080309
300,6,0.01,0.7,0.6,0.0,1.5,0.078089
200,6,0.1,0.7,0.6,0.1,1.5,0.082494
200,5,0.2,0.7,1.0,0.1,1.5,0.085293
200,3,0.01,0.8,0.8,0.1,2.0,0.085799
100,5,0.1,0.7,1.0,1.0,2.0,0.079461
300,4,0.1,0.8,0.8,1.0,1.5,0.081581
300,4,0.05,0.7,1.0,0.0,1.5,0.079611
100,4,0.1,1.0,0.8,1.0,1.0,0.077534
500,5,0.05,0.7,0.6,1.0,2.0,0.078886
100,3,0.2,0.8,0.6,1.0,1.5,0.081343
100,5,0.01,0.7,0.6,1.0,1.5,0.117519
100,5,0.2,0.8,0.8,0.0,1.5,0.083424
300,6,0.2,0.8,0.8,0.0,1.5,0.08685
100,6,0.01,0.6,0.8,0.1,2.0,0.113701
500,6,0.01,0.6,0.6,1.0,2.0,0.078181
500,3,0.2,0.8,0.8,0.1,1.0,0.088321
300,3,0.01,0.6,0.6,0.0,2.0,0.078895
300,6,0.05,0.6,1.0,1.0,1.5,0.08084
100,4,0.01,1.0,0.6,1.0,1.5,0.115804
200,6,0.05,0.6,1.0,0.0,2.0,0.079814
200,6,0.01,1.0,1.0,0.1,1.0,0.083855
300,6,0.05,0.6,1.0,0.1,1.0,0.080674
300,3,0.2,0.8,0.6,0.0,1.0,0.084979
300,5,0.01,0.6,0.8,0.1,2.0,0.077705
200,3,0.2,0.6,0.6,1.0,1.5,0.082779
300,5,0.05,1.0,1.0,0.1,2.0,0.079455
100,3,0.01,1.0,0.8,0.1,1.5,0.11392
500,3,0.2,0.8,0.8,0.0,1.5,0.085806
500,4,0.1,0.8,1.0,0.0,1.0,0.083924
100,5,0.01,0.8,1.0,0.0,2.0,0.112251
500,3,0.2,0.8,1.0,0.1,1.5,0.087938
300,5,0.01,0.8,1.0,1.0,1.0,0.079396
500,5,0.01,1.0,1.0,0.1,1.5,0.076905
200,4,0.01,0.6,1.0,1.0,1.5,0.087515
500,5,0.1,0.7,0.6,0.1,2.0,0.083083
500,3,0.01,0.8,0.8,0.1,1.0,0.077848
200,5,0.05,1.0,0.6,0.1,2.0,0.078089
100,5,0.01,0.7,1.0,0.1,1.5,0.112749
200,4,0.1,0.7,0.6,0.0,1.5,0.081239
300,3,0.01,1.0,1.0,1.0,1.0,0.080517
100,5,0.2,1.0,1.0,1.0,2.0,0.080488
300,3,0.1,0.7,0.8,1.0,2.0,0.081434
100,3,0.01,0.6,1.0,1.0,2.0,0.118238
500,4,0.1,1.0,0.6,0.0,2.0,0.080731
500,4,0.1,0.8,0.8,0.0,1.0,0.082906
200,3,0.2,1.0,1.0,1.0,1.0,0.080877
300,4,0.05,1.0,1.0,0.1,2.0,0.079099
500,5,0.05,1.0,0.6,0.1,1.5,0.079696
100,6,0.05,0.8,0.6,0.1,2.0,0.078156
