n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
300,4,0.1,0.8,0.6,0.0,1.0,0.081234
100,5,0.01,0.6,0.6,1.0,1.5,0.117792
300,6,0.2,0.7,1.0,0.0,1.5,0.084481
200,4,0.1,0.8,0.8,0.1,2.0,0.082137
500,6,0.2,1.0,0.8,0.0,1.0,0.078159
500,3,0.01,0.7,1.0,0.1,2.0,0.078169
300,6,0.1,0.6,1.0,0.0,2.0,0.081747
100,6,0.2,0.6,0.8,0.0,1.0,0.084061
200,6,0.01,0.7,0.8,0.1,1.0,0.083202
500,5,0.05,1.0,0.8,0.0,1.0,0.079224
100,6,0.01,0.7,0.6,0.0,1.0,0.112121
300,5,0.01,1.0,0.8,1.0,2.0,0.079587
500,5,0.2,0.6,0.6,1.0,1.0,0.083934
300,5,0.01,0.6,1.0,1.0,1.0,0.079786
100,3,0.01,0.6,0.6,0.1,1.5,0.1149
300,6,0.05,0.7,1.0,0.0,1.5,0.079283
200,5,0.01,0.8,0.8,0.0,1.0,0.082109
300,4,0.05,0.6,0.6,1.0,1.0,0.077709
100,3,0.05,0.7,1.0,1.0,1.0,0.07885
100,5,0.01,0.7,1.0,1.0,1.5,0.11735
200,5,0.2,0.8,0.6,0.1,1.0,0.084831
500,6,0.2,0.6,0.8,0.0,1.0,0.085397
500,6,0.05,0.6,1.0,0.1,1.0,0.08158
200,4,0.2,0.7,0.6,1.0,2.0,0.079517
200,3,0.1,0.6,0.8,1.0,2.0,0.078352
100,4,0.01,0.7,0.8,1.0,1.0,0.117317
200,3,0.1,0.7,0.6,0.0,2.0,0.08088
300,5,0.2,0.6,0.6,0.1,1.0,0.085281
100,4,0.1,0.7,1.0,1.0,2.0,0.079763
500,4,0.2,0.8,0.6,0.0,1.5,0.086623
300,4,0.01,1.0,0.8,0.1,1.0,0.07818
500,6,0.05,1.0,0.8,1.0,1.0,0.080114
100,4,0.05,0.6,1.0,1.0,2.0,0.077553
500,5,0.05,0.8,1.0,0.0,2.0,0.083033
300,5,0.01,0.7,0.8,1.0,1.5,0.079926
500,5,0.1,0.6,0.8,0.0,1.0,0.082834
100,5,0.05,0.8,0.6,0.1,1.5,0.077787
100,5,0.05,0.8,1.0,1.0,1.5,0.078262
500,3,0.1,0.6,0.6,0.1,1.5,0.085188
300,4,0.01,0.6,0.6,0.1,2.0,0.078373
300,5,0.05,0.8,1.0,0.1,1.0,0.080299
100,6,0.01,0.8,0.6,0.0,2.0,0.11297
200,4,0.01,0.6,0.8,0.0,2.0,0.083644
300,5,0.01,0.6,0.6,0.0,2.0,0.078149
300,6,0.1,0.6,0.6,0.0,1.5,0.08324
300,3,0.01,0.6,0.8,0.0,1.5,0.078894
200,3,0.01,0.6,0.6,1.0,1.5,0.08767
300,5,0.01,1.0,0.8,1.0,1.5,0.079883
500,5,0.05,0.7,0.6,0.1,1.5,0.081204
500,4,0.2,0.7,0.8,0.1,1.0,0.086682
500,4,0.01,0.7,0.6,1.0,2.0,0.077944
100,6,0.2,0.7,0.6,0.0,1.0,0.087986
500,4,0.1,0.6,0.6,1.0,2.0,0.082039
200,4,0.2,0.8,0.8,1.0,1.0,0.08207
200,6,0.1,0.7,0.6,0.0,1.5,0.081779
500,3,0.1,1.0,1.0,0.1,1.0,0.082915
200,6,0.01,0.7,0.6,1.0,2.0,0.087487
300,3,0.05,0.6,1.0,1.0,1.0,0.079423
300,4,0.2,0.7,0.6,0.0,1.0,0.088694
300,3,0.1,0.6,1.0,1.0,2.0,0.080841
100,5,0.05,0.6,1.0,0.0,1.5,0.077112
200,3,0.1,1.0,0.6,0.1,2.0,0.080931
200,3,0.05,0.6,0.6,0.1,1.5,0.077816
100,4,0.01,1.0,0.8,0.0,2.0,0.113193
200,5,0.05,0.8,0.8,1.0,1.0,0.078879
100,3,0.05,0.8,0.8,0.0,1.5,0.077554
300,6,0.01,0.8,0.8,0.1,1.5,0.077998
300,5,0.1,0.6,0.6,0.0,1.5,0.083601
200,3,0.05,0.7,1.0,0.1,1.5,0.079289
300,6,0.01,0.8,0.8,0.1,2.0,0.078002
200,3,0.01,0.8,1.0,0.1,1.5,0.085751
100,3,0.01,0.8,0.6,0.1,1.5,0.114804
100,4,0.05,0.7,0.8,0.1,2.0,0.076445
500,4,0.05,0.8,1.0,0.0,2.0,0.081306
300,6,0.2,1.0,0.8,0.1,1.0,0.081875
100,4,0.01,0.7,1.0,0.1,2.0,0.113776
200,3,0.05,0.7,0.8,0.1,1.0,0.079276
100,4,0.05,0.6,0.8,0.1,1.0,0.077245
100,3,0.1,0.7,0.8,0.1,2.0,0.079571
200,5,0.05,0.6,0.6,1.0,1.0,0.07719
100,4,0.05,0.7,0.8,0.1,1.5,0.076839
300,4,0.1,1.0,1.0,1.0,2.0,0.080069
200,3,0.1,0.6,0.6,0.1,2.0,0.080197
200,4,0.05,0.6,0.8,0.1,1.5,0.078533
500,3,0.1,0.8,1.0,1.0,2.0,0.082373
300,4,0.01,1.0,0.6,1.0,1.5,0.079037
200,3,0.01,0.7,0.6,0.0,1.0,0.085143
100,5,0.1,0.6,0.6,0.1,1.0,0.080687
500,4,0.1,1.0,0.8,0.1,1.0,0.081036
300,5,0.2,0.7,0.6,1.0,1.0,0.079925
300,5,0.2,0.8,1.0,0.1,1.5,0.086116
300,3,0.2,1.0,0.8,0.0,2.0,0.083163
200,3,0.1,0.7,1.0,0.0,1.5,0.081834
500,5,0.2,0.8,0.6,0.0,1.5,0.083425
300,3,0.2,1.0,0.8,0.1,1.5,0.083408
500,6,0.05,0.7,0.6,0.0,1.0,0.081897
200,6,0.1,1.0,0.8,0.1,1.5,0.080637
100,6,0.1,0.7,1.0,0.0,2.0,0.077654
100,4,0.2,0.6,0.8,1.0,1.5,0.082356
100,4,0.2,0.7,0.8,0.0,2.0,0.080522
500,3,0.05,1.0,1.0,1.0,1.5,0.079956
300,3,0.01,0.8,1.0,0.1,1.0,0.079477
200,5,0.1,1.0,0.8,0.1,1.5,0.077435
300,3,0.01,0.6,0.8,0.1,1.5,0.078938
200,6,0.2,0.6,1.0,0.0,1.5,0.092922
