n_estimators,learning_rate,minibatch_frac,col_sample,base_max_depth,val_rmse
500,0.01,0.5,0.5,5,0.078991
100,0.05,0.75,1.0,3,0.078495
100,0.01,0.75,0.5,2,0.104865
500,0.05,0.75,0.75,5,0.081673
200,0.01,1.0,1.0,2,0.079452
200,0.01,0.75,0.75,3,0.077555
200,0.01,0.5,0.75,4,0.077452
100,0.05,1.0,1.0,5,0.077304
500,0.05,0.75,0.75,3,0.080789
100,0.05,0.75,0.75,2,0.078905
500,0.01,0.75,1.0,4,0.077455
500,0.1,1.0,1.0,2,0.080924
300,0.05,1.0,0.5,5,0.080186
100,0.05,0.5,1.0,2,0.077588
300,0.1,0.75,0.5,4,0.081368
300,0.01,0.5,0.5,2,0.078647
100,0.01,0.75,0.75,2,0.101116
100,0.01,0.75,0.5,5,0.083135
100,0.05,0.5,1.0,5,0.076899
200,0.01,0.5,0.5,5,0.077991
200,0.01,0.5,1.0,5,0.076684
300,0.05,0.5,0.75,4,0.082362
300,0.1,0.75,1.0,2,0.08299
100,0.01,0.75,0.5,3,0.087668
300,0.05,1.0,1.0,5,0.077912
100,0.1,1.0,0.75,3,0.078129
500,0.05,0.5,0.75,4,0.084105
500,0.01,0.5,1.0,2,0.077777
500,0.01,1.0,1.0,5,0.076903
500,0.1,0.75,1.0,5,0.082802
200,0.1,1.0,1.0,4,0.0789
200,0.01,0.5,0.75,2,0.079121
300,0.01,0.75,0.5,3,0.077024
300,0.1,0.75,0.5,3,0.082253
200,0.01,1.0,1.0,4,0.077757
100,0.01,0.5,0.5,5,0.083764
500,0.05,1.0,0.75,2,0.079076
100,0.1,0.5,1.0,3,0.079955
500,0.01,1.0,1.0,3,0.077826
500,0.1,0.75,1.0,2,0.083894
200,0.05,1.0,0.75,4,0.078739
500,0.1,0.5,0.5,3,0.084715
100,0.1,0.5,0.75,5,0.085725
200,0.01,0.5,0.5,4,0.077456
200,0.05,1.0,0.75,2,0.0784
500,0.1,1.0,0.5,4,0.082636
500,0.1,0.75,0.75,3,0.080185
200,0.1,0.75,0.5,4,0.080682
100,0.05,0.75,0.5,3,0.078997
200,0.1,0.5,0.5,5,0.082174
200,0.05,1.0,1.0,2,0.078838
300,0.1,0.75,1.0,3,0.08089
200,0.01,1.0,0.5,5,0.077065
100,0.01,0.75,1.0,4,0.083428
500,0.05,0.75,0.5,3,0.080802
300,0.01,0.75,0.75,5,0.077505
300,0.05,0.75,1.0,4,0.078597
100,0.05,1.0,0.5,5,0.077997
200,0.1,0.75,0.5,3,0.081395
100,0.05,0.5,0.75,2,0.077514
300,0.05,1.0,0.75,4,0.07894
200,0.05,0.5,0.75,4,0.080901
300,0.1,1.0,1.0,3,0.080283
300,0.1,1.0,0.75,2,0.078537
200,0.1,0.5,0.75,3,0.082441
300,0.1,0.5,0.75,5,0.087197
100,0.1,1.0,0.5,4,0.07988
500,0.05,0.5,0.5,2,0.078722
100,0.01,1.0,1.0,5,0.081275
100,0.01,0.75,1.0,5,0.08211
500,0.01,0.75,0.5,4,0.07806
200,0.01,0.5,1.0,2,0.079534
200,0.05,0.5,0.75,2,0.076759
500,0.05,0.75,0.5,2,0.078223
500,0.1,0.75,0.5,5,0.085636
100,0.05,0.75,0.5,5,0.080542
500,0.05,1.0,0.5,2,0.080366
500,0.05,1.0,0.75,4,0.079445
300,0.01,0.75,0.75,2,0.07805
500,0.01,0.5,0.5,3,0.077258
200,0.1,0.5,0.75,4,0.086233
100,0.1,0.5,1.0,5,0.078436
200,0.1,0.5,1.0,3,0.082262
200,0.1,0.5,0.5,3,0.081004
100,0.1,1.0,1.0,5,0.077273
500,0.01,0.75,0.75,5,0.077915
200,0.01,1.0,0.75,2,0.079685
500,0.01,0.5,0.75,5,0.079224
100,0.05,0.5,0.5,2,0.078768
300,0.1,0.75,1.0,5,0.082774
500,0.01,1.0,0.75,2,0.077845
100,0.1,0.75,0.5,5,0.083583
300,0.05,0.75,1.0,3,0.079789
500,0.1,1.0,0.75,4,0.081001
500,0.01,1.0,0.5,4,0.076569
300,0.01,0.75,1.0,2,0.078195
500,0.01,1.0,0.75,5,0.076553
200,0.01,1.0,0.75,4,0.077604
500,0.1,1.0,1.0,5,0.079356
300,0.05,1.0,1.0,3,0.077233
