filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.077596
32,32,0.1,0.001,5,0.075158
32,32,0.1,0.0005,3,0.075813
32,32,0.1,0.0005,5,0.075092
32,32,0.2,0.001,3,0.077241
32,32,0.2,0.001,5,0.076775
32,32,0.2,0.0005,3,0.075748
32,32,0.2,0.0005,5,0.077953
32,64,0.1,0.001,3,0.075607
32,64,0.1,0.001,5,0.074785
32,64,0.1,0.0005,3,0.076953
32,64,0.1,0.0005,5,0.074843
32,64,0.2,0.001,3,0.075799
32,64,0.2,0.001,5,0.074589
32,64,0.2,0.0005,3,0.076225
32,64,0.2,0.0005,5,0.074214
64,32,0.1,0.001,3,0.075984
64,32,0.1,0.001,5,0.075176
64,32,0.1,0.0005,3,0.076951
64,32,0.1,0.0005,5,0.075228
64,32,0.2,0.001,3,0.080606
64,32,0.2,0.001,5,0.076177
64,32,0.2,0.0005,3,0.077479
64,32,0.2,0.0005,5,0.075268
64,64,0.1,0.001,3,0.076099
64,64,0.1,0.001,5,0.074378
64,64,0.1,0.0005,3,0.075414
64,64,0.1,0.0005,5,0.07464
64,64,0.2,0.001,3,0.076442
64,64,0.2,0.001,5,0.074527
64,64,0.2,0.0005,3,0.075486
64,64,0.2,0.0005,5,0.074926
