n_estimators,learning_rate,minibatch_frac,col_sample,base_max_depth,val_rmse
500,0.01,0.5,0.5,5,0.071193
100,0.05,0.75,1.0,3,0.070921
100,0.01,0.75,0.5,2,0.084929
500,0.05,0.75,0.75,5,0.074488
200,0.01,1.0,1.0,2,0.073262
200,0.01,0.75,0.75,3,0.072022
200,0.01,0.5,0.75,4,0.071039
100,0.05,1.0,1.0,5,0.072777
500,0.05,0.75,0.75,3,0.073941
100,0.05,0.75,0.75,2,0.071549
500,0.01,0.75,1.0,4,0.071947
500,0.1,1.0,1.0,2,0.073807
300,0.05,1.0,0.5,5,0.072808
100,0.05,0.5,1.0,2,0.072463
300,0.1,0.75,0.5,4,0.076048
300,0.01,0.5,0.5,2,0.071735
100,0.01,0.75,0.75,2,0.083756
100,0.01,0.75,0.5,5,0.074916
100,0.05,0.5,1.0,5,0.074011
200,0.01,0.5,0.5,5,0.071178
200,0.01,0.5,1.0,5,0.072185
300,0.05,0.5,0.75,4,0.07356
300,0.1,0.75,1.0,2,0.073247
100,0.01,0.75,0.5,3,0.07786
300,0.05,1.0,1.0,5,0.073602
100,0.1,1.0,0.75,3,0.073558
500,0.05,0.5,0.75,4,0.074536
500,0.01,0.5,1.0,2,0.070739
500,0.01,1.0,1.0,5,0.072021
500,0.1,0.75,1.0,5,0.074519
200,0.1,1.0,1.0,4,0.075809
200,0.01,0.5,0.75,2,0.072973
300,0.01,0.75,0.5,3,0.071271
300,0.1,0.75,0.5,3,0.075296
200,0.01,1.0,1.0,4,0.07235
100,0.01,0.5,0.5,5,0.07413
500,0.05,1.0,0.75,2,0.073583
100,0.1,0.5,1.0,3,0.0738
500,0.01,1.0,1.0,3,0.072865
500,0.1,0.75,1.0,2,0.075206
200,0.05,1.0,0.75,4,0.071974
500,0.1,0.5,0.5,3,0.079002
100,0.1,0.5,0.75,5,0.076422
200,0.01,0.5,0.5,4,0.071832
200,0.05,1.0,0.75,2,0.072993
500,0.1,1.0,0.5,4,0.075796
500,0.1,0.75,0.75,3,0.07511
200,0.1,0.75,0.5,4,0.075598
100,0.05,0.75,0.5,3,0.071392
200,0.1,0.5,0.5,5,0.075493
200,0.05,1.0,1.0,2,0.072888
300,0.1,0.75,1.0,3,0.07473
200,0.01,1.0,0.5,5,0.072045
100,0.01,0.75,1.0,4,0.075239
500,0.05,0.75,0.5,3,0.073488
300,0.01,0.75,0.75,5,0.072965
300,0.05,0.75,1.0,4,0.072988
100,0.05,1.0,0.5,5,0.071675
200,0.1,0.75,0.5,3,0.074396
100,0.05,0.5,0.75,2,0.071536
300,0.05,1.0,0.75,4,0.072402
200,0.05,0.5,0.75,4,0.073572
300,0.1,1.0,1.0,3,0.077173
300,0.1,1.0,0.75,2,0.072552
200,0.1,0.5,0.75,3,0.077398
300,0.1,0.5,0.75,5,0.078391
100,0.1,1.0,0.5,4,0.073475
500,0.05,0.5,0.5,2,0.071551
100,0.01,1.0,1.0,5,0.077009
100,0.01,0.75,1.0,5,0.074552
500,0.01,0.75,0.5,4,0.072191
200,0.01,0.5,1.0,2,0.072795
200,0.05,0.5,0.75,2,0.07123
500,0.05,0.75,0.5,2,0.072516
500,0.1,0.75,0.5,5,0.078008
100,0.05,0.75,0.5,5,0.073127
500,0.05,1.0,0.5,2,0.073042
500,0.05,1.0,0.75,4,0.073733
300,0.01,0.75,0.75,2,0.07205
