n_estimators,max_depth,learning_rate,min_samples_split,val_rmse
100,3,0.01,2,0.087657
100,3,0.01,5,0.087657
100,3,0.01,10,0.087657
100,3,0.05,2,0.072473
100,3,0.05,5,0.072495
100,3,0.05,10,0.072524
100,3,0.1,2,0.073242
100,3,0.1,5,0.073699
100,3,0.1,10,0.073211
100,3,0.2,2,0.076021
100,3,0.2,5,0.075909
100,3,0.2,10,0.075852
100,4,0.01,2,0.087199
100,4,0.01,5,0.087199
100,4,0.01,10,0.087199
100,4,0.05,2,0.071887
100,4,0.05,5,0.072086
100,4,0.05,10,0.071841
100,4,0.1,2,0.073318
100,4,0.1,5,0.072683
100,4,0.1,10,0.07312
100,4,0.2,2,0.076437
100,4,0.2,5,0.075557
100,4,0.2,10,0.075583
100,5,0.01,2,0.086475
100,5,0.01,5,0.086617
100,5,0.01,10,0.086518
100,5,0.05,2,0.073951
100,5,0.05,5,0.073912
100,5,0.05,10,0.073004
100,5,0.1,2,0.074592
100,5,0.1,5,0.075364
100,5,0.1,10,0.075041
100,5,0.2,2,0.076542
100,5,0.2,5,0.078231
100,5,0.2,10,0.075537
100,6,0.01,2,0.08592
100,6,0.01,5,0.085604
100,6,0.01,10,0.085501
100,6,0.05,2,0.07613
100,6,0.05,5,0.076187
100,6,0.05,10,0.075104
100,6,0.1,2,0.076267
100,6,0.1,5,0.075474
100,6,0.1,10,0.075937
100,6,0.2,2,0.080456
100,6,0.2,5,0.075845
100,6,0.2,10,0.077295
200,3,0.01,2,0.074367
200,3,0.01,5,0.074367
200,3,0.01,10,0.074367
200,3,0.05,2,0.073433
200,3,0.05,5,0.072905
200,3,0.05,10,0.072978
200,3,0.1,2,0.073633
200,3,0.1,5,0.075016
200,3,0.1,10,0.07451
200,3,0.2,2,0.077702
200,3,0.2,5,0.077719
200,3,0.2,10,0.077986
200,4,0.01,2,0.07383
200,4,0.01,5,0.073824
200,4,0.01,10,0.073824
200,4,0.05,2,0.073664
200,4,0.05,5,0.073261
200,4,0.05,10,0.073082
200,4,0.1,2,0.0745
200,4,0.1,5,0.074543
200,4,0.1,10,0.074721
200,4,0.2,2,0.078239
200,4,0.2,5,0.076389
200,4,0.2,10,0.076094
200,5,0.01,2,0.07441
200,5,0.01,5,0.074497
200,5,0.01,10,0.074371
200,5,0.05,2,0.073706
200,5,0.05,5,0.074081
200,5,0.05,10,0.073308
200,5,0.1,2,0.076082
200,5,0.1,5,0.076843
200,5,0.1,10,0.07608
200,5,0.2,2,0.07687
200,5,0.2,5,0.078546
200,5,0.2,10,0.076962
200,6,0.01,2,0.074776
200,6,0.01,5,0.074586
200,6,0.01,10,0.074702
200,6,0.05,2,0.076152
200,6,0.05,5,0.076857
200,6,0.05,10,0.075626
200,6,0.1,2,0.077049
200,6,0.1,5,0.077056
200,6,0.1,10,0.077042
200,6,0.2,2,0.081349
200,6,0.2,5,0.076536
200,6,0.2,10,0.078068
300,3,0.01,2,0.071722
300,3,0.01,5,0.071722
300,3,0.01,10,0.071722
300,3,0.05,2,0.073977
300,3,0.05,5,0.07353
300,3,0.05,10,0.073668
300,3,0.1,2,0.075548
300,3,0.1,5,0.076099
300,3,0.1,10,0.076054
300,3,0.2,2,0.078619
300,3,0.2,5,0.079291
300,3,0.2,10,0.079377
300,4,0.01,2,0.072059
300,4,0.01,5,0.072004
300,4,0.01,10,0.071843
300,4,0.05,2,0.074101
300,4,0.05,5,0.073668
300,4,0.05,10,0.073634
300,4,0.1,2,0.074582
300,4,0.1,5,0.07535
300,4,0.1,10,0.075702
300,4,0.2,2,0.078131
300,4,0.2,5,0.077255
300,4,0.2,10,0.076498
300,5,0.01,2,0.073486
300,5,0.01,5,0.073484
300,5,0.01,10,0.073626
300,5,0.05,2,0.073536
300,5,0.05,5,0.074474
300,5,0.05,10,0.07375
300,5,0.1,2,0.076528
300,5,0.1,5,0.077044
300,5,0.1,10,0.076796
300,5,0.2,2,0.076886
300,5,0.2,5,0.078308
300,5,0.2,10,0.077358
300,6,0.01,2,0.074528
300,6,0.01,5,0.074166
300,6,0.01,10,0.074488
300,6,0.05,2,0.07657
300,6,0.05,5,0.077532
300,6,0.05,10,0.075564
300,6,0.1,2,0.077453
300,6,0.1,5,0.077511
300,6,0.1,10,0.077441
300,6,0.2,2,0.08146
300,6,0.2,5,0.076623
300,6,0.2,10,0.078221
500,3,0.01,2,0.072033
500,3,0.01,5,0.071987
500,3,0.01,10,0.07202
500,3,0.05,2,0.074761
500,3,0.05,5,0.074032
500,3,0.05,10,0.074757
500,3,0.1,2,0.076787
500,3,0.1,5,0.077407
500,3,0.1,10,0.077758
500,3,0.2,2,0.079966
500,3,0.2,5,0.080791
500,3,0.2,10,0.081151
500,4,0.01,2,0.072341
500,4,0.01,5,0.072327
500,4,0.01,10,0.072105
500,4,0.05,2,0.075048
500,4,0.05,5,0.074887
500,4,0.05,10,0.074986
500,4,0.1,2,0.075762
500,4,0.1,5,0.077027
500,4,0.1,10,0.076485
500,4,0.2,2,0.078909
500,4,0.2,5,0.077061
500,4,0.2,10,0.077028
500,5,0.01,2,0.07405
500,5,0.01,5,0.073667
500,5,0.01,10,0.07399
500,5,0.05,2,0.074538
500,5,0.05,5,0.075812
500,5,0.05,10,0.074901
500,5,0.1,2,0.077592
500,5,0.1,5,0.077147
500,5,0.1,10,0.07705
500,5,0.2,2,0.076898
500,5,0.2,5,0.078416
500,5,0.2,10,0.077255
500,6,0.01,2,0.075306
500,6,0.01,5,0.074887
500,6,0.01,10,0.075181
500,6,0.05,2,0.077155
500,6,0.05,5,0.078237
500,6,0.05,10,0.076432
500,6,0.1,2,0.07757
500,6,0.1,5,0.077681
500,6,0.1,10,0.077874
500,6,0.2,2,0.081502
500,6,0.2,5,0.076641
500,6,0.2,10,0.07809
