hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.086999
32,0.1,0.0005,0.08202
32,0.2,0.001,0.100896
32,0.2,0.0005,0.087181
64,0.1,0.001,0.080288
64,0.1,0.0005,0.082469
64,0.2,0.001,0.088122
64,0.2,0.0005,0.090149
