n_estimators,max_depth,learning_rate,min_samples_split,val_rmse
100,3,0.01,2,0.115236
100,3,0.01,5,0.115236
100,3,0.01,10,0.115236
100,3,0.05,2,0.077369
100,3,0.05,5,0.0772
100,3,0.05,10,0.077491
100,3,0.1,2,0.076456
100,3,0.1,5,0.076695
100,3,0.1,10,0.077203
100,3,0.2,2,0.077798
100,3,0.2,5,0.07892
100,3,0.2,10,0.078445
100,4,0.01,2,0.1122
100,4,0.01,5,0.1122
100,4,0.01,10,0.1122
100,4,0.05,2,0.076358
100,4,0.05,5,0.077116
100,4,0.05,10,0.076997
100,4,0.1,2,0.079451
100,4,0.1,5,0.078386
100,4,0.1,10,0.079093
100,4,0.2,2,0.079783
100,4,0.2,5,0.080243
100,4,0.2,10,0.081428
100,5,0.01,2,0.110476
100,5,0.01,5,0.110488
100,5,0.01,10,0.110396
100,5,0.05,2,0.07717
100,5,0.05,5,0.077319
100,5,0.05,10,0.076914
100,5,0.1,2,0.078317
100,5,0.1,5,0.078634
100,5,0.1,10,0.078742
100,5,0.2,2,0.080038
100,5,0.2,5,0.079977
100,5,0.2,10,0.078736
100,6,0.01,2,0.111231
100,6,0.01,5,0.1112
100,6,0.01,10,0.111101
100,6,0.05,2,0.078487
100,6,0.05,5,0.078208
100,6,0.05,10,0.078024
100,6,0.1,2,0.079025
100,6,0.1,5,0.080867
100,6,0.1,10,0.079727
100,6,0.2,2,0.080345
100,6,0.2,5,0.079397
100,6,0.2,10,0.082427
200,3,0.01,2,0.085128
200,3,0.01,5,0.085128
200,3,0.01,10,0.085128
200,3,0.05,2,0.077006
200,3,0.05,5,0.077336
200,3,0.05,10,0.076998
200,3,0.1,2,0.077336
200,3,0.1,5,0.077382
200,3,0.1,10,0.077936
200,3,0.2,2,0.079533
200,3,0.2,5,0.080836
200,3,0.2,10,0.080582
200,4,0.01,2,0.0825
200,4,0.01,5,0.082491
200,4,0.01,10,0.082478
200,4,0.05,2,0.077312
200,4,0.05,5,0.078224
200,4,0.05,10,0.077634
200,4,0.1,2,0.080234
200,4,0.1,5,0.079089
200,4,0.1,10,0.080522
200,4,0.2,2,0.079895
200,4,0.2,5,0.082033
200,4,0.2,10,0.083
200,5,0.01,2,0.081553
200,5,0.01,5,0.081564
200,5,0.01,10,0.081658
200,5,0.05,2,0.077708
200,5,0.05,5,0.078228
200,5,0.05,10,0.077687
200,5,0.1,2,0.077849
200,5,0.1,5,0.079558
200,5,0.1,10,0.078865
200,5,0.2,2,0.080614
200,5,0.2,5,0.079868
200,5,0.2,10,0.078947
200,6,0.01,2,0.082825
200,6,0.01,5,0.083003
200,6,0.01,10,0.083014
200,6,0.05,2,0.078688
200,6,0.05,5,0.0789
200,6,0.05,10,0.078366
200,6,0.1,2,0.080268
200,6,0.1,5,0.081003
200,6,0.1,10,0.07999
200,6,0.2,2,0.08112
200,6,0.2,5,0.079447
200,6,0.2,10,0.083028
300,3,0.01,2,0.078419
300,3,0.01,5,0.078419
300,3,0.01,10,0.078419
300,3,0.05,2,0.077006
300,3,0.05,5,0.077188
300,3,0.05,10,0.077031
300,3,0.1,2,0.077954
300,3,0.1,5,0.078496
300,3,0.1,10,0.078452
300,3,0.2,2,0.081235
300,3,0.2,5,0.082337
300,3,0.2,10,0.081941
300,4,0.01,2,0.077156
300,4,0.01,5,0.077125
300,4,0.01,10,0.077101
300,4,0.05,2,0.077511
300,4,0.05,5,0.078313
300,4,0.05,10,0.077959
300,4,0.1,2,0.080673
300,4,0.1,5,0.080396
300,4,0.1,10,0.080514
300,4,0.2,2,0.081598
300,4,0.2,5,0.083148
300,4,0.2,10,0.083255
300,5,0.01,2,0.076522
300,5,0.01,5,0.076693
300,5,0.01,10,0.076506
300,5,0.05,2,0.07827
300,5,0.05,5,0.079012
300,5,0.05,10,0.078023
300,5,0.1,2,0.078481
300,5,0.1,5,0.079751
300,5,0.1,10,0.079228
300,5,0.2,2,0.080936
300,5,0.2,5,0.080086
300,5,0.2,10,0.079366
300,6,0.01,2,0.078667
300,6,0.01,5,0.078983
300,6,0.01,10,0.078721
300,6,0.05,2,0.078416
300,6,0.05,5,0.079059
300,6,0.05,10,0.078696
300,6,0.1,2,0.080717
300,6,0.1,5,0.081099
300,6,0.1,10,0.080464
300,6,0.2,2,0.081037
300,6,0.2,5,0.079429
300,6,0.2,10,0.083114
500,3,0.01,2,0.077322
500,3,0.01,5,0.077368
500,3,0.01,10,0.077278
500,3,0.05,2,0.077523
500,3,0.05,5,0.0776
500,3,0.05,10,0.077551
500,3,0.1,2,0.078658
500,3,0.1,5,0.080128
500,3,0.1,10,0.080706
500,3,0.2,2,0.082088
500,3,0.2,5,0.085224
500,3,0.2,10,0.082719
500,4,0.01,2,0.076931
500,4,0.01,5,0.076946
500,4,0.01,10,0.076697
500,4,0.05,2,0.078424
500,4,0.05,5,0.07857
500,4,0.05,10,0.079058
500,4,0.1,2,0.081294
500,4,0.1,5,0.081653
500,4,0.1,10,0.081286
500,4,0.2,2,0.082296
500,4,0.2,5,0.083557
500,4,0.2,10,0.084297
