n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
500,3,0.01,0.8,0.6,0.0,1.0,0.071438
100,5,0.01,0.7,1.0,0.1,1.0,0.087928
100,3,0.05,1.0,0.8,1.0,1.0,0.07243
500,5,0.01,0.6,1.0,1.0,2.0,0.072886
200,4,0.01,1.0,0.8,0.1,1.0,0.074618
200,3,0.1,0.8,0.6,1.0,2.0,0.072671
200,3,0.01,1.0,1.0,0.0,1.5,0.075638
100,5,0.1,0.8,0.8,0.0,1.0,0.075724
500,4,0.2,1.0,0.8,0.1,1.0,0.077422
100,4,0.2,1.0,0.6,0.0,2.0,0.076637
500,3,0.2,0.7,0.6,1.0,2.0,0.075101
500,5,0.01,0.6,1.0,0.0,1.5,0.072479
300,5,0.05,0.7,0.8,0.1,1.0,0.07353
100,4,0.1,0.8,0.8,0.0,1.5,0.073158
300,6,0.01,1.0,0.6,0.1,1.5,0.072814
300,3,0.01,0.6,0.6,0.0,1.0,0.071687
100,3,0.1,0.7,0.8,1.0,2.0,0.07274
100,3,0.1,0.7,0.6,0.0,1.5,0.072139
100,4,0.2,0.6,0.8,0.0,2.0,0.077304
200,3,0.01,0.8,0.8,0.0,1.0,0.074811
200,3,0.05,0.8,0.8,1.0,1.0,0.07209
300,4,0.1,0.7,0.6,1.0,2.0,0.072782
300,6,0.05,0.8,0.8,1.0,2.0,0.073376
100,3,0.1,0.6,0.6,0.0,1.5,0.072512
300,5,0.1,0.8,0.6,1.0,1.5,0.074083
100,6,0.2,0.6,0.6,1.0,2.0,0.074949
500,4,0.1,0.7,0.6,1.0,1.0,0.073374
500,3,0.05,0.7,0.6,0.1,1.5,0.074222
500,4,0.05,0.6,1.0,0.1,1.0,0.073689
300,5,0.05,0.7,0.8,0.0,1.0,0.074254
200,6,0.2,1.0,0.6,1.0,1.5,0.073603
200,3,0.01,0.8,1.0,0.1,2.0,0.075028
300,3,0.1,0.6,0.6,1.0,1.5,0.071851
300,6,0.01,0.8,1.0,0.1,1.0,0.073119
200,4,0.05,0.6,0.8,0.0,1.5,0.07211
500,6,0.05,0.7,0.8,1.0,1.0,0.073602
100,3,0.01,0.7,1.0,1.0,2.0,0.088798
500,5,0.05,0.8,0.6,1.0,1.0,0.072774
500,6,0.05,0.6,0.8,0.1,1.5,0.074674
100,6,0.01,0.6,0.8,0.0,2.0,0.087034
500,4,0.01,1.0,1.0,0.1,1.5,0.07237
300,3,0.01,0.6,0.6,1.0,1.0,0.073066
200,5,0.05,1.0,0.6,1.0,1.0,0.073098
200,4,0.05,0.6,0.6,1.0,2.0,0.072129
100,5,0.2,1.0,0.6,0.1,1.5,0.07433
200,3,0.01,0.7,0.6,1.0,2.0,0.075845
500,5,0.05,1.0,0.8,1.0,2.0,0.073585
200,5,0.05,0.8,0.6,0.1,1.0,0.074186
100,4,0.2,1.0,0.6,0.0,1.0,0.075696
100,4,0.2,0.6,0.6,0.1,1.0,0.075742
200,6,0.01,1.0,0.6,1.0,1.5,0.076337
100,4,0.2,0.7,0.8,0.0,1.0,0.072995
200,5,0.2,0.6,1.0,1.0,1.0,0.075521
200,5,0.1,0.6,0.8,0.0,1.0,0.074892
300,6,0.05,1.0,0.6,0.1,1.5,0.074369
200,4,0.01,0.6,0.6,1.0,1.0,0.07598
500,6,0.05,0.6,1.0,0.1,2.0,0.073717
