filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.066604
32,32,0.1,0.001,5,0.057293
32,32,0.1,0.0005,3,0.061464
32,32,0.1,0.0005,5,0.056208
32,32,0.2,0.001,3,0.058695
32,32,0.2,0.001,5,0.065376
32,32,0.2,0.0005,3,0.057439
32,32,0.2,0.0005,5,0.072927
32,64,0.1,0.001,3,0.056725
32,64,0.1,0.001,5,0.054347
32,64,0.1,0.0005,3,0.058645
32,64,0.1,0.0005,5,0.055022
32,64,0.2,0.001,3,0.058028
32,64,0.2,0.001,5,0.058314
32,64,0.2,0.0005,3,0.057166
32,64,0.2,0.0005,5,0.056776
64,32,0.1,0.001,3,0.061145
64,32,0.1,0.001,5,0.057922
64,32,0.1,0.0005,3,0.063147
64,32,0.1,0.0005,5,0.060208
64,32,0.2,0.001,3,0.076057
64,32,0.2,0.001,5,0.062158
64,32,0.2,0.0005,3,0.068024
64,32,0.2,0.0005,5,0.062789
64,64,0.1,0.001,3,0.058069
64,64,0.1,0.001,5,0.055349
64,64,0.1,0.0005,3,0.058066
64,64,0.1,0.0005,5,0.05447
64,64,0.2,0.001,3,0.06008
64,64,0.2,0.001,5,0.056789
64,64,0.2,0.0005,3,0.05767
64,64,0.2,0.0005,5,0.05711
