n_estimators,max_depth,learning_rate,min_samples_split,val_rmse
100,3,0.01,2,0.088507
100,3,0.01,5,0.088507
100,3,0.01,10,0.088507
100,3,0.05,2,0.07233
100,3,0.05,5,0.07233
100,3,0.05,10,0.072412
100,3,0.1,2,0.072942
100,3,0.1,5,0.073079
100,3,0.1,10,0.072797
100,3,0.2,2,0.073905
100,3,0.2,5,0.073469
100,3,0.2,10,0.073634
100,4,0.01,2,0.087233
100,4,0.01,5,0.087233
100,4,0.01,10,0.087233
100,4,0.05,2,0.072737
100,4,0.05,5,0.073374
100,4,0.05,10,0.07316
100,4,0.1,2,0.073373
100,4,0.1,5,0.073107
100,4,0.1,10,0.074322
100,4,0.2,2,0.076062
100,4,0.2,5,0.075074
100,4,0.2,10,0.074321
100,5,0.01,2,0.0866
100,5,0.01,5,0.086551
100,5,0.01,10,0.086575
100,5,0.05,2,0.072242
100,5,0.05,5,0.071679
100,5,0.05,10,0.07198
100,5,0.1,2,0.073642
100,5,0.1,5,0.072712
100,5,0.1,10,0.073333
100,5,0.2,2,0.073428
100,5,0.2,5,0.074815
100,5,0.2,10,0.075177
100,6,0.01,2,0.086276
100,6,0.01,5,0.086366
100,6,0.01,10,0.086182
100,6,0.05,2,0.073022
100,6,0.05,5,0.072639
100,6,0.05,10,0.071606
100,6,0.1,2,0.0737
100,6,0.1,5,0.072544
100,6,0.1,10,0.071428
100,6,0.2,2,0.075881
100,6,0.2,5,0.073085
100,6,0.2,10,0.075292
200,3,0.01,2,0.075483
200,3,0.01,5,0.075483
200,3,0.01,10,0.075483
200,3,0.05,2,0.073257
200,3,0.05,5,0.073337
200,3,0.05,10,0.073164
200,3,0.1,2,0.07343
200,3,0.1,5,0.074057
200,3,0.1,10,0.072638
200,3,0.2,2,0.076829
200,3,0.2,5,0.076859
200,3,0.2,10,0.074929
200,4,0.01,2,0.074661
200,4,0.01,5,0.074664
200,4,0.01,10,0.074706
200,4,0.05,2,0.07298
200,4,0.05,5,0.073604
200,4,0.05,10,0.073233
200,4,0.1,2,0.073443
200,4,0.1,5,0.074518
200,4,0.1,10,0.07591
200,4,0.2,2,0.078949
200,4,0.2,5,0.076338
200,4,0.2,10,0.075555
200,5,0.01,2,0.074307
200,5,0.01,5,0.074236
200,5,0.01,10,0.0742
200,5,0.05,2,0.071897
200,5,0.05,5,0.071871
200,5,0.05,10,0.0723
200,5,0.1,2,0.074493
200,5,0.1,5,0.073331
200,5,0.1,10,0.073799
200,5,0.2,2,0.074537
200,5,0.2,5,0.076614
200,5,0.2,10,0.076457
200,6,0.01,2,0.074548
200,6,0.01,5,0.074652
200,6,0.01,10,0.074205
200,6,0.05,2,0.072763
200,6,0.05,5,0.072294
200,6,0.05,10,0.071678
200,6,0.1,2,0.074282
200,6,0.1,5,0.073044
200,6,0.1,10,0.072328
200,6,0.2,2,0.076777
200,6,0.2,5,0.073408
200,6,0.2,10,0.075833
300,3,0.01,2,0.072931
300,3,0.01,5,0.072931
300,3,0.01,10,0.072931
300,3,0.05,2,0.073496
300,3,0.05,5,0.073367
300,3,0.05,10,0.072961
300,3,0.1,2,0.074912
300,3,0.1,5,0.075506
300,3,0.1,10,0.074038
300,3,0.2,2,0.078402
300,3,0.2,5,0.077648
300,3,0.2,10,0.076882
300,4,0.01,2,0.072388
300,4,0.01,5,0.072358
300,4,0.01,10,0.072418
300,4,0.05,2,0.07353
300,4,0.05,5,0.073935
300,4,0.05,10,0.073676
300,4,0.1,2,0.073791
300,4,0.1,5,0.075413
300,4,0.1,10,0.076701
300,4,0.2,2,0.079725
300,4,0.2,5,0.076882
300,4,0.2,10,0.076326
300,5,0.01,2,0.072087
300,5,0.01,5,0.072141
300,5,0.01,10,0.072088
300,5,0.05,2,0.072436
300,5,0.05,5,0.07246
300,5,0.05,10,0.072503
300,5,0.1,2,0.074897
300,5,0.1,5,0.074014
300,5,0.1,10,0.074027
300,5,0.2,2,0.074938
300,5,0.2,5,0.077206
300,5,0.2,10,0.077099
300,6,0.01,2,0.07264
300,6,0.01,5,0.072894
300,6,0.01,10,0.072335
300,6,0.05,2,0.073009
300,6,0.05,5,0.072555
300,6,0.05,10,0.071763
300,6,0.1,2,0.074785
300,6,0.1,5,0.073452
300,6,0.1,10,0.072519
300,6,0.2,2,0.076854
300,6,0.2,5,0.073592
300,6,0.2,10,0.076193
500,3,0.01,2,0.072327
500,3,0.01,5,0.072343
500,3,0.01,10,0.072369
500,3,0.05,2,0.074327
500,3,0.05,5,0.074603
500,3,0.05,10,0.073811
500,3,0.1,2,0.076489
500,3,0.1,5,0.077576
500,3,0.1,10,0.076315
500,3,0.2,2,0.079354
500,3,0.2,5,0.079552
500,3,0.2,10,0.078012
500,4,0.01,2,0.072908
500,4,0.01,5,0.072926
500,4,0.01,10,0.073034
500,4,0.05,2,0.074605
500,4,0.05,5,0.075714
500,4,0.05,10,0.075001
500,4,0.1,2,0.074657
500,4,0.1,5,0.076629
500,4,0.1,10,0.077663
500,4,0.2,2,0.079986
500,4,0.2,5,0.07713
500,4,0.2,10,0.076949
500,5,0.01,2,0.072139
500,5,0.01,5,0.07218
500,5,0.01,10,0.072204
500,5,0.05,2,0.072995
500,5,0.05,5,0.073958
500,5,0.05,10,0.07335
500,5,0.1,2,0.075279
500,5,0.1,5,0.074576
500,5,0.1,10,0.074828
500,5,0.2,2,0.074832
500,5,0.2,5,0.077477
500,5,0.2,10,0.07744
500,6,0.01,2,0.072531
500,6,0.01,5,0.072931
500,6,0.01,10,0.072683
500,6,0.05,2,0.07349
500,6,0.05,5,0.072733
500,6,0.05,10,0.072234
500,6,0.1,2,0.075254
500,6,0.1,5,0.073654
500,6,0.1,10,0.072757
500,6,0.2,2,0.076944
500,6,0.2,5,0.073658
500,6,0.2,10,0.076198
