hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.078755
32,0.1,0.0005,0.075192
32,0.2,0.001,0.101901
32,0.2,0.0005,0.078447
64,0.1,0.001,0.077667
64,0.1,0.0005,0.07274
64,0.2,0.001,0.082895
64,0.2,0.0005,0.084183
