filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.078896
32,32,0.1,0.001,5,0.074117
32,32,0.1,0.0005,3,0.084104
32,32,0.1,0.0005,5,0.071996
32,32,0.2,0.001,3,0.074988
32,32,0.2,0.001,5,0.081452
32,32,0.2,0.0005,3,0.071989
32,32,0.2,0.0005,5,0.086064
32,64,0.1,0.001,3,0.072546
32,64,0.1,0.001,5,0.069918
32,64,0.1,0.0005,3,0.074981
32,64,0.1,0.0005,5,0.070121
32,64,0.2,0.001,3,0.074202
32,64,0.2,0.001,5,0.074184
32,64,0.2,0.0005,3,0.074409
32,64,0.2,0.0005,5,0.070057
64,32,0.1,0.001,3,0.078047
64,32,0.1,0.001,5,0.076151
64,32,0.1,0.0005,3,0.079303
64,32,0.1,0.0005,5,0.074421
64,32,0.2,0.001,3,0.087776
64,32,0.2,0.001,5,0.075374
64,32,0.2,0.0005,3,0.085352
64,32,0.2,0.0005,5,0.077111
64,64,0.1,0.001,3,0.072396
64,64,0.1,0.001,5,0.070855
64,64,0.1,0.0005,3,0.0739
64,64,0.1,0.0005,5,0.070064
64,64,0.2,0.001,3,0.076785
64,64,0.2,0.001,5,0.072022
64,64,0.2,0.0005,3,0.073735
64,64,0.2,0.0005,5,0.072127
