n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
500,3,0.01,0.8,0.6,0.1,1.5,0.077903
500,4,0.01,0.6,1.0,0.1,1.0,0.076927
300,5,0.1,0.6,1.0,1.0,2.0,0.078408
200,3,0.01,0.8,0.8,1.0,2.0,0.089296
500,3,0.2,1.0,1.0,0.0,1.5,0.079932
200,5,0.01,0.8,0.8,0.0,1.5,0.08276
500,6,0.2,1.0,1.0,0.0,1.5,0.083012
500,5,0.1,0.7,0.6,0.1,1.0,0.081485
500,5,0.1,1.0,0.8,0.0,2.0,0.079436
100,4,0.01,0.6,1.0,1.0,2.0,0.119891
200,3,0.05,0.7,0.8,0.1,1.5,0.078372
500,6,0.1,0.7,0.8,0.0,1.0,0.08049
100,3,0.1,0.7,1.0,0.0,1.5,0.077875
500,6,0.05,0.6,0.6,1.0,1.0,0.07869
200,4,0.2,1.0,1.0,0.0,1.5,0.080539
200,6,0.1,0.7,1.0,0.0,1.5,0.081105
200,4,0.01,0.7,0.6,1.0,1.0,0.088487
100,4,0.05,0.6,0.6,0.0,2.0,0.078162
200,3,0.01,0.6,0.6,0.0,1.0,0.085634
300,5,0.2,0.6,0.6,0.0,2.0,0.084265
500,4,0.1,0.7,1.0,0.1,1.5,0.080283
200,4,0.2,1.0,0.8,0.1,1.0,0.0795
200,3,0.01,0.6,0.8,0.1,1.5,0.085951
500,3,0.05,0.8,1.0,0.1,2.0,0.078921
300,4,0.05,1.0,0.8,0.1,1.0,0.077912
200,6,0.1,0.6,0.6,0.0,1.5,0.079983
500,3,0.01,1.0,0.6,0.0,1.5,0.078053
300,3,0.1,1.0,0.6,0.1,2.0,0.078718
100,5,0.1,1.0,0.8,0.0,1.0,0.080211
200,4,0.01,0.6,0.8,0.0,1.0,0.083211
200,3,0.1,0.8,1.0,0.1,1.5,0.078751
500,5,0.01,0.8,0.6,0.0,1.0,0.077129
300,5,0.1,0.8,0.6,1.0,2.0,0.078937
300,5,0.01,1.0,0.8,0.1,2.0,0.077905
200,3,0.2,1.0,1.0,0.0,1.5,0.079356
500,5,0.01,0.8,0.8,1.0,2.0,0.079147
300,6,0.01,0.7,0.8,0.0,1.0,0.077668
300,3,0.01,0.7,1.0,1.0,2.0,0.081551
300,6,0.01,0.7,0.6,0.0,1.5,0.07809
200,6,0.1,0.7,0.6,0.1,1.5,0.080237
200,5,0.2,0.7,1.0,0.1,1.5,0.08209
200,3,0.01,0.8,0.8,0.1,2.0,0.086116
100,5,0.1,0.7,1.0,1.0,2.0,0.078831
300,4,0.1,0.8,0.8,1.0,1.5,0.079277
300,4,0.05,0.7,1.0,0.0,1.5,0.077766
100,4,0.1,1.0,0.8,1.0,1.0,0.07822
500,5,0.05,0.7,0.6,1.0,2.0,0.078354
100,3,0.2,0.8,0.6,1.0,1.5,0.078882
100,5,0.01,0.7,0.6,1.0,1.5,0.119644
100,5,0.2,0.8,0.8,0.0,1.5,0.079969
300,6,0.2,0.8,0.8,0.0,1.5,0.079767
100,6,0.01,0.6,0.8,0.1,2.0,0.114781
500,6,0.01,0.6,0.6,1.0,2.0,0.078907
500,3,0.2,0.8,0.8,0.1,1.0,0.081052
300,3,0.01,0.6,0.6,0.0,2.0,0.079353
300,6,0.05,0.6,1.0,1.0,1.5,0.079449
100,4,0.01,1.0,0.6,1.0,1.5,0.118398
200,6,0.05,0.6,1.0,0.0,2.0,0.077969
200,6,0.01,1.0,1.0,0.1,1.0,0.083042
300,6,0.05,0.6,1.0,0.1,1.0,0.07955
300,3,0.2,0.8,0.6,0.0,1.0,0.082832
300,5,0.01,0.6,0.8,0.1,2.0,0.078307
200,3,0.2,0.6,0.6,1.0,1.5,0.07849
300,5,0.05,1.0,1.0,0.1,2.0,0.077813
100,3,0.01,1.0,0.8,0.1,1.5,0.116362
500,3,0.2,0.8,0.8,0.0,1.5,0.081842
500,4,0.1,0.8,1.0,0.0,1.0,0.080785
100,5,0.01,0.8,1.0,0.0,2.0,0.11318
500,3,0.2,0.8,1.0,0.1,1.5,0.080553
300,5,0.01,0.8,1.0,1.0,1.0,0.080772
500,5,0.01,1.0,1.0,0.1,1.5,0.076671
200,4,0.01,0.6,1.0,1.0,1.5,0.088627
500,5,0.1,0.7,0.6,0.1,2.0,0.082241
500,3,0.01,0.8,0.8,0.1,1.0,0.077597
200,5,0.05,1.0,0.6,0.1,2.0,0.078409
100,5,0.01,0.7,1.0,0.1,1.5,0.113607
200,4,0.1,0.7,0.6,0.0,1.5,0.080693
300,3,0.01,1.0,1.0,1.0,1.0,0.080493
100,5,0.2,1.0,1.0,1.0,2.0,0.077079
300,3,0.1,0.7,0.8,1.0,2.0,0.078766
100,3,0.01,0.6,1.0,1.0,2.0,0.12051
500,4,0.1,1.0,0.6,0.0,2.0,0.079324
500,4,0.1,0.8,0.8,0.0,1.0,0.08058
200,3,0.2,1.0,1.0,1.0,1.0,0.076884
300,4,0.05,1.0,1.0,0.1,2.0,0.077924
500,5,0.05,1.0,0.6,0.1,1.5,0.078568
100,6,0.05,0.8,0.6,0.1,2.0,0.077665
300,4,0.1,0.8,0.6,0.0,1.0,0.080461
100,5,0.01,0.6,0.6,1.0,1.5,0.120087
300,6,0.2,0.7,1.0,0.0,1.5,0.0851
200,4,0.1,0.8,0.8,0.1,2.0,0.080788
500,6,0.2,1.0,0.8,0.0,1.0,0.082355
500,3,0.01,0.7,1.0,0.1,2.0,0.077602
300,6,0.1,0.6,1.0,0.0,2.0,0.080114
100,6,0.2,0.6,0.8,0.0,1.0,0.085323
200,6,0.01,0.7,0.8,0.1,1.0,0.082986
500,5,0.05,1.0,0.8,0.0,1.0,0.078674
100,6,0.01,0.7,0.6,0.0,1.0,0.112726
300,5,0.01,1.0,0.8,1.0,2.0,0.080134
500,5,0.2,0.6,0.6,1.0,1.0,0.080933
300,5,0.01,0.6,1.0,1.0,1.0,0.080901
100,3,0.01,0.6,0.6,0.1,1.5,0.117267
300,6,0.05,0.7,1.0,0.0,1.5,0.07981
200,5,0.01,0.8,0.8,0.0,1.0,0.082488
300,4,0.05,0.6,0.6,1.0,1.0,0.078805
100,3,0.05,0.7,1.0,1.0,1.0,0.078693
100,5,0.01,0.7,1.0,1.0,1.5,0.119017
200,5,0.2,0.8,0.6,0.1,1.0,0.082734
500,6,0.2,0.6,0.8,0.0,1.0,0.086654
500,6,0.05,0.6,1.0,0.1,1.0,0.080205
200,4,0.2,0.7,0.6,1.0,2.0,0.079478
200,3,0.1,0.6,0.8,1.0,2.0,0.079027
100,4,0.01,0.7,0.8,1.0,1.0,0.119167
200,3,0.1,0.7,0.6,0.0,2.0,0.078948
300,5,0.2,0.6,0.6,0.1,1.0,0.086556
100,4,0.1,0.7,1.0,1.0,2.0,0.079555
500,4,0.2,0.8,0.6,0.0,1.5,0.080521
300,4,0.01,1.0,0.8,0.1,1.0,0.078412
500,6,0.05,1.0,0.8,1.0,1.0,0.078946
100,4,0.05,0.6,1.0,1.0,2.0,0.078963
500,5,0.05,0.8,1.0,0.0,2.0,0.079652
300,5,0.01,0.7,0.8,1.0,1.5,0.081212
500,5,0.1,0.6,0.8,0.0,1.0,0.08168
100,5,0.05,0.8,0.6,0.1,1.5,0.078561
100,5,0.05,0.8,1.0,1.0,1.5,0.078021
500,3,0.1,0.6,0.6,0.1,1.5,0.080698
300,4,0.01,0.6,0.6,0.1,2.0,0.078652
300,5,0.05,0.8,1.0,0.1,1.0,0.080092
100,6,0.01,0.8,0.6,0.0,2.0,0.113552
200,4,0.01,0.6,0.8,0.0,2.0,0.08354
300,5,0.01,0.6,0.6,0.0,2.0,0.078563
300,6,0.1,0.6,0.6,0.0,1.5,0.079986
300,3,0.01,0.6,0.8,0.0,1.5,0.078976
200,3,0.01,0.6,0.6,1.0,1.5,0.09013
300,5,0.01,1.0,0.8,1.0,1.5,0.080133
500,5,0.05,0.7,0.6,0.1,1.5,0.080716
500,4,0.2,0.7,0.8,0.1,1.0,0.084098
500,4,0.01,0.7,0.6,1.0,2.0,0.07876
100,6,0.2,0.7,0.6,0.0,1.0,0.083972
500,4,0.1,0.6,0.6,1.0,2.0,0.079031
200,4,0.2,0.8,0.8,1.0,1.0,0.080081
200,6,0.1,0.7,0.6,0.0,1.5,0.080914
500,3,0.1,1.0,1.0,0.1,1.0,0.079287
