filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.090624
32,32,0.1,0.001,5,0.088986
32,32,0.1,0.0005,3,0.093713
32,32,0.1,0.0005,5,0.09016
32,32,0.2,0.001,3,0.089768
32,32,0.2,0.001,5,0.088424
32,32,0.2,0.0005,3,0.089766
32,32,0.2,0.0005,5,0.095922
32,64,0.1,0.001,3,0.090167
32,64,0.1,0.001,5,0.089021
32,64,0.1,0.0005,3,0.091877
32,64,0.1,0.0005,5,0.08855
32,64,0.2,0.001,3,0.090708
32,64,0.2,0.001,5,0.088527
32,64,0.2,0.0005,3,0.090537
32,64,0.2,0.0005,5,0.08943
64,32,0.1,0.001,3,0.090534
64,32,0.1,0.001,5,0.090086
64,32,0.1,0.0005,3,0.09529
64,32,0.1,0.0005,5,0.089973
64,32,0.2,0.001,3,0.091341
64,32,0.2,0.001,5,0.08894
64,32,0.2,0.0005,3,0.094792
64,32,0.2,0.0005,5,0.093402
64,64,0.1,0.001,3,0.09066
64,64,0.1,0.001,5,0.088032
64,64,0.1,0.0005,3,0.089197
64,64,0.1,0.0005,5,0.088958
64,64,0.2,0.001,3,0.090344
64,64,0.2,0.001,5,0.088166
64,64,0.2,0.0005,3,0.091827
64,64,0.2,0.0005,5,0.089865
