n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,127,0.01,0.8,0.8,10,0.110041
100,31,0.05,1.0,1.0,10,0.07833
200,127,0.01,1.0,0.8,30,0.08181
200,63,0.1,0.8,1.0,10,0.081474
200,63,0.01,1.0,1.0,20,0.081942
100,127,0.1,0.8,1.0,10,0.081931
100,63,0.2,1.0,0.6,30,0.082271
500,63,0.05,0.8,0.6,10,0.078189
100,63,0.1,0.8,1.0,20,0.080638
500,127,0.01,1.0,0.8,10,0.07963
300,127,0.01,0.6,0.6,10,0.078516
100,31,0.1,0.8,0.6,30,0.079798
100,31,0.1,0.6,1.0,20,0.080414
100,63,0.2,0.6,0.6,30,0.082271
200,63,0.01,0.8,1.0,10,0.082576
200,63,0.05,0.8,1.0,30,0.081445
500,31,0.1,0.6,1.0,30,0.08263
500,127,0.05,0.8,1.0,30,0.08252
100,31,0.1,0.6,0.6,10,0.078918
500,63,0.1,0.8,1.0,10,0.081467
200,31,0.2,0.6,0.6,30,0.082274
300,63,0.2,1.0,0.8,20,0.082986
200,63,0.01,1.0,0.6,20,0.081107
300,127,0.1,0.6,0.6,20,0.080254
500,127,0.01,1.0,0.6,10,0.078379
200,127,0.05,0.6,0.6,30,0.079208
100,31,0.01,0.8,0.8,20,0.110675
200,31,0.01,0.6,0.6,30,0.081901
300,127,0.01,0.6,0.6,20,0.076954
300,31,0.05,1.0,0.8,10,0.079536
100,127,0.2,1.0,0.8,10,0.083992
200,63,0.01,0.6,1.0,30,0.082107
300,31,0.05,0.8,0.8,30,0.080477
100,63,0.2,0.6,0.6,10,0.080205
300,63,0.01,1.0,0.8,20,0.077423
100,63,0.2,0.8,0.6,10,0.080205
300,31,0.2,0.6,1.0,10,0.082579
300,31,0.1,0.6,0.6,30,0.081278
500,127,0.05,1.0,0.8,10,0.079642
200,127,0.01,0.6,0.6,20,0.081002
100,31,0.2,0.6,1.0,20,0.080152
300,127,0.1,1.0,0.8,20,0.080092
500,63,0.01,1.0,0.6,10,0.077517
100,127,0.05,0.8,0.8,10,0.07934
300,63,0.01,1.0,0.6,20,0.077053
100,63,0.05,1.0,1.0,30,0.079896
500,63,0.05,1.0,0.8,30,0.081423
200,127,0.1,0.6,1.0,10,0.081738
500,127,0.2,1.0,0.6,10,0.08246
500,127,0.1,1.0,1.0,10,0.081759
300,31,0.2,0.8,0.6,30,0.082296
500,63,0.2,1.0,0.8,10,0.0803
200,31,0.1,0.8,1.0,10,0.080824
100,63,0.05,0.6,1.0,20,0.079662
100,31,0.2,0.8,0.8,10,0.078838
200,63,0.05,0.6,1.0,20,0.080183
200,127,0.05,1.0,1.0,20,0.081322
100,63,0.1,0.6,0.6,20,0.078431
100,63,0.2,0.8,1.0,30,0.083101
300,127,0.1,0.8,0.6,20,0.080254
300,31,0.2,1.0,0.6,10,0.079416
200,31,0.01,0.8,0.6,10,0.082006
300,63,0.01,0.6,0.6,30,0.077007
300,31,0.1,1.0,1.0,20,0.081592
200,31,0.2,1.0,1.0,10,0.082276
200,127,0.01,0.6,1.0,10,0.084675
100,63,0.05,0.8,0.6,30,0.07773
500,127,0.1,0.6,0.8,30,0.082639
200,31,0.01,1.0,1.0,30,0.082023
500,63,0.01,0.8,0.8,20,0.078539
200,31,0.01,0.8,0.6,20,0.081816
300,127,0.2,0.6,0.6,20,0.083109
300,63,0.01,1.0,0.8,10,0.078889
200,127,0.01,0.8,0.8,10,0.082244
500,63,0.1,0.6,1.0,10,0.081467
200,63,0.01,0.8,1.0,30,0.082107
300,31,0.01,0.8,1.0,20,0.077841
100,63,0.01,0.6,1.0,10,0.110116
200,63,0.05,0.8,0.6,20,0.078669
200,127,0.2,1.0,1.0,20,0.083287
300,63,0.1,0.8,0.6,30,0.080618
200,127,0.01,0.6,1.0,30,0.082107
100,63,0.05,0.6,0.6,10,0.076768
200,63,0.01,0.6,0.6,10,0.081453
500,63,0.2,0.6,0.6,10,0.08037
200,127,0.2,1.0,0.8,30,0.081479
200,63,0.01,0.6,0.8,10,0.082113
500,31,0.05,1.0,0.8,30,0.081253
300,63,0.1,0.6,0.6,10,0.079436
300,127,0.1,1.0,0.8,10,0.083172
100,127,0.1,1.0,0.8,20,0.079774
200,127,0.01,0.6,0.6,30,0.081324
200,63,0.1,1.0,0.6,20,0.079185
500,63,0.01,1.0,0.8,30,0.079079
200,63,0.2,1.0,1.0,20,0.082606
500,127,0.01,0.8,0.6,10,0.078379
300,127,0.01,0.8,0.8,20,0.077418
500,127,0.01,0.6,1.0,20,0.078204
300,63,0.1,0.6,1.0,20,0.081469
300,31,0.2,0.8,0.8,10,0.079259
100,127,0.1,0.8,0.8,20,0.079774
500,31,0.1,0.8,1.0,30,0.08263
500,31,0.05,0.8,0.6,30,0.079248
100,63,0.1,1.0,1.0,10,0.081088
100,31,0.2,0.8,1.0,10,0.082788
100,127,0.01,0.6,1.0,30,0.110426
100,127,0.2,0.8,1.0,20,0.08316
500,127,0.2,0.8,1.0,20,0.083419
200,31,0.01,0.6,0.8,10,0.082077
500,127,0.05,0.6,1.0,10,0.081895
100,63,0.01,1.0,0.8,20,0.110041
300,63,0.05,0.6,0.8,30,0.080947
300,63,0.01,1.0,1.0,20,0.078442
500,127,0.05,0.6,0.8,30,0.081423
300,127,0.2,0.8,0.8,20,0.082599
500,63,0.01,0.6,0.8,10,0.078916
200,63,0.2,0.6,0.6,20,0.083279
500,63,0.05,1.0,1.0,30,0.08252
100,31,0.01,1.0,0.8,30,0.111478
100,127,0.01,1.0,0.6,10,0.110139
500,63,0.01,1.0,0.6,20,0.077317
200,127,0.1,0.6,1.0,20,0.079897
300,127,0.01,1.0,1.0,30,0.078646
100,127,0.2,1.0,1.0,30,0.083101
300,127,0.1,0.8,0.6,30,0.080618
100,31,0.01,0.6,1.0,10,0.110802
200,63,0.2,1.0,1.0,30,0.083085
500,31,0.05,1.0,1.0,30,0.081384
200,31,0.05,0.8,0.8,30,0.079619
500,31,0.1,0.8,0.8,20,0.079302
100,127,0.01,0.6,0.6,20,0.110043
500,127,0.2,0.8,0.6,30,0.082317
200,127,0.1,0.8,1.0,30,0.082051
300,63,0.01,0.8,0.6,10,0.07783
200,31,0.01,0.6,1.0,10,0.082158
500,63,0.01,1.0,1.0,10,0.078028
500,63,0.01,0.6,1.0,10,0.078028
100,31,0.01,0.6,0.6,20,0.111227
500,127,0.05,0.8,0.6,30,0.080266
300,31,0.01,0.8,1.0,10,0.077954
500,31,0.05,0.6,0.6,20,0.08027
100,31,0.05,0.8,0.8,10,0.078126
100,127,0.01,0.8,0.8,20,0.109814
300,31,0.2,0.8,0.8,30,0.082855
200,127,0.2,0.6,1.0,30,0.083085
200,63,0.1,0.6,0.8,20,0.079992
100,63,0.01,0.8,0.6,20,0.110059
200,63,0.1,0.6,1.0,20,0.081334
100,63,0.1,0.8,0.8,20,0.079345
500,31,0.01,1.0,0.8,30,0.078401
100,63,0.05,0.6,1.0,10,0.078157
500,63,0.01,0.8,0.6,20,0.077317
100,127,0.05,0.8,0.8,30,0.078971
100,127,0.05,1.0,0.6,20,0.078117
500,31,0.01,0.6,0.6,20,0.077572
500,63,0.05,1.0,0.6,10,0.078189
200,31,0.01,0.8,0.8,30,0.082036
500,63,0.01,0.6,0.6,10,0.077517
500,127,0.1,0.6,0.6,10,0.079509
300,127,0.01,0.6,0.6,30,0.077007
200,63,0.01,0.6,0.6,20,0.081107
200,31,0.2,0.6,1.0,10,0.082276
200,127,0.2,0.8,1.0,30,0.083085
300,63,0.01,0.6,1.0,30,0.078646
