filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.081233
32,32,0.1,0.001,5,0.078528
32,32,0.1,0.0005,3,0.082704
32,32,0.1,0.0005,5,0.07678
32,32,0.2,0.001,3,0.082748
32,32,0.2,0.001,5,0.081134
32,32,0.2,0.0005,3,0.078231
32,32,0.2,0.0005,5,0.080852
32,64,0.1,0.001,3,0.078971
32,64,0.1,0.001,5,0.077525
32,64,0.1,0.0005,3,0.081914
32,64,0.1,0.0005,5,0.076955
32,64,0.2,0.001,3,0.07942
32,64,0.2,0.001,5,0.08046
32,64,0.2,0.0005,3,0.079506
32,64,0.2,0.0005,5,0.077647
64,32,0.1,0.001,3,0.08166
64,32,0.1,0.001,5,0.078448
64,32,0.1,0.0005,3,0.081421
64,32,0.1,0.0005,5,0.077186
64,32,0.2,0.001,3,0.085131
64,32,0.2,0.001,5,0.081377
64,32,0.2,0.0005,3,0.081858
64,32,0.2,0.0005,5,0.08014
64,64,0.1,0.001,3,0.079343
64,64,0.1,0.001,5,0.077812
64,64,0.1,0.0005,3,0.080457
64,64,0.1,0.0005,5,0.077441
64,64,0.2,0.001,3,0.08232
64,64,0.2,0.001,5,0.077927
64,64,0.2,0.0005,3,0.079789
64,64,0.2,0.0005,5,0.077385
