C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.100203
0.1,0.01,linear,0.099932
0.1,0.05,rbf,0.099531
0.1,0.05,linear,0.098704
0.1,0.1,rbf,0.099024
0.1,0.1,linear,0.098526
0.1,0.5,rbf,0.218348
0.1,0.5,linear,0.218348
1.0,0.01,rbf,0.102573
1.0,0.01,linear,0.100105
1.0,0.05,rbf,0.100777
1.0,0.05,linear,0.098961
1.0,0.1,rbf,0.10188
1.0,0.1,linear,0.098871
1.0,0.5,rbf,0.218348
1.0,0.5,linear,0.218348
10.0,0.01,rbf,0.109726
10.0,0.01,linear,0.100107
10.0,0.05,rbf,0.106702
10.0,0.05,linear,0.099008
10.0,0.1,rbf,0.106353
10.0,0.1,linear,0.098899
10.0,0.5,rbf,0.218348
10.0,0.5,linear,0.218348
100.0,0.01,rbf,0.12766
100.0,0.01,linear,0.100145
100.0,0.05,rbf,0.120673
100.0,0.05,linear,0.098997
100.0,0.1,rbf,0.120447
100.0,0.1,linear,0.098926
100.0,0.5,rbf,0.218348
100.0,0.5,linear,0.218348
