C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.075501
0.1,0.01,linear,0.077272
0.1,0.05,rbf,0.075021
0.1,0.05,linear,0.077309
0.1,0.1,rbf,0.077149
0.1,0.1,linear,0.079217
0.1,0.5,rbf,0.197661
0.1,0.5,linear,0.197661
1.0,0.01,rbf,0.076076
1.0,0.01,linear,0.077092
1.0,0.05,rbf,0.075136
1.0,0.05,linear,0.077103
1.0,0.1,rbf,0.077665
1.0,0.1,linear,0.078439
1.0,0.5,rbf,0.197661
1.0,0.5,linear,0.197661
10.0,0.01,rbf,0.077501
10.0,0.01,linear,0.077121
10.0,0.05,rbf,0.076849
10.0,0.05,linear,0.077062
10.0,0.1,rbf,0.081442
10.0,0.1,linear,0.078405
10.0,0.5,rbf,0.197661
10.0,0.5,linear,0.197661
100.0,0.01,rbf,0.088306
100.0,0.01,linear,0.077124
100.0,0.05,rbf,0.087206
100.0,0.05,linear,0.077083
100.0,0.1,rbf,0.09165
100.0,0.1,linear,0.078426
100.0,0.5,rbf,0.197661
100.0,0.5,linear,0.197661
