hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.083176
32,0.1,0.0005,0.082022
32,0.2,0.001,0.104715
32,0.2,0.0005,0.082378
64,0.1,0.001,0.083463
64,0.1,0.0005,0.081036
64,0.2,0.001,0.085359
64,0.2,0.0005,0.086437
