hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.078266
32,0.1,0.0005,0.0769
32,0.2,0.001,0.088243
32,0.2,0.0005,0.079632
64,0.1,0.001,0.07631
64,0.1,0.0005,0.076416
64,0.2,0.001,0.083752
64,0.2,0.0005,0.079185
