n_estimators,max_depth,learning_rate,min_samples_split,val_rmse
100,3,0.01,2,0.113708
100,3,0.01,5,0.113708
100,3,0.01,10,0.113708
100,3,0.05,2,0.077412
100,3,0.05,5,0.077399
100,3,0.05,10,0.077443
100,3,0.1,2,0.077361
100,3,0.1,5,0.077152
100,3,0.1,10,0.077088
100,3,0.2,2,0.078166
100,3,0.2,5,0.080043
100,3,0.2,10,0.078723
100,4,0.01,2,0.112122
100,4,0.01,5,0.112122
100,4,0.01,10,0.112122
100,4,0.05,2,0.077598
100,4,0.05,5,0.078019
100,4,0.05,10,0.07767
100,4,0.1,2,0.078222
100,4,0.1,5,0.077932
100,4,0.1,10,0.077654
100,4,0.2,2,0.078331
100,4,0.2,5,0.079906
100,4,0.2,10,0.078141
100,5,0.01,2,0.109853
100,5,0.01,5,0.109868
100,5,0.01,10,0.109988
100,5,0.05,2,0.077456
100,5,0.05,5,0.07783
100,5,0.05,10,0.077223
100,5,0.1,2,0.077978
100,5,0.1,5,0.078944
100,5,0.1,10,0.079962
100,5,0.2,2,0.078794
100,5,0.2,5,0.078181
100,5,0.2,10,0.082486
100,6,0.01,2,0.108417
100,6,0.01,5,0.108855
100,6,0.01,10,0.108768
100,6,0.05,2,0.077077
100,6,0.05,5,0.076715
100,6,0.05,10,0.076675
100,6,0.1,2,0.079523
100,6,0.1,5,0.077543
100,6,0.1,10,0.078938
100,6,0.2,2,0.079102
100,6,0.2,5,0.081104
100,6,0.2,10,0.077969
200,3,0.01,2,0.084604
200,3,0.01,5,0.084604
200,3,0.01,10,0.084604
200,3,0.05,2,0.077395
200,3,0.05,5,0.077549
200,3,0.05,10,0.077676
200,3,0.1,2,0.078494
200,3,0.1,5,0.078257
200,3,0.1,10,0.078647
200,3,0.2,2,0.080537
200,3,0.2,5,0.082214
200,3,0.2,10,0.079692
200,4,0.01,2,0.083074
200,4,0.01,5,0.083074
200,4,0.01,10,0.083025
200,4,0.05,2,0.078076
200,4,0.05,5,0.078331
200,4,0.05,10,0.078
200,4,0.1,2,0.078945
200,4,0.1,5,0.079987
200,4,0.1,10,0.078553
200,4,0.2,2,0.079468
200,4,0.2,5,0.081407
200,4,0.2,10,0.080473
200,5,0.01,2,0.081277
200,5,0.01,5,0.081334
200,5,0.01,10,0.081165
200,5,0.05,2,0.077828
200,5,0.05,5,0.077559
200,5,0.05,10,0.077281
200,5,0.1,2,0.078111
200,5,0.1,5,0.0798
200,5,0.1,10,0.080721
200,5,0.2,2,0.080151
200,5,0.2,5,0.078685
200,5,0.2,10,0.083084
200,6,0.01,2,0.080888
200,6,0.01,5,0.081525
200,6,0.01,10,0.081255
200,6,0.05,2,0.078182
200,6,0.05,5,0.077304
200,6,0.05,10,0.076942
200,6,0.1,2,0.080265
200,6,0.1,5,0.078677
200,6,0.1,10,0.079657
200,6,0.2,2,0.079058
200,6,0.2,5,0.082086
200,6,0.2,10,0.078799
300,3,0.01,2,0.07896
300,3,0.01,5,0.07896
300,3,0.01,10,0.07896
300,3,0.05,2,0.077401
300,3,0.05,5,0.07767
300,3,0.05,10,0.077613
300,3,0.1,2,0.078801
300,3,0.1,5,0.078952
300,3,0.1,10,0.07871
300,3,0.2,2,0.081345
300,3,0.2,5,0.083476
300,3,0.2,10,0.080782
300,4,0.01,2,0.077871
300,4,0.01,5,0.07786
300,4,0.01,10,0.077807
300,4,0.05,2,0.078583
300,4,0.05,5,0.07894
300,4,0.05,10,0.078355
300,4,0.1,2,0.079698
300,4,0.1,5,0.080808
300,4,0.1,10,0.079622
300,4,0.2,2,0.080538
300,4,0.2,5,0.082551
300,4,0.2,10,0.081486
300,5,0.01,2,0.076459
300,5,0.01,5,0.076619
300,5,0.01,10,0.076493
300,5,0.05,2,0.078185
300,5,0.05,5,0.077915
300,5,0.05,10,0.077489
300,5,0.1,2,0.0787
300,5,0.1,5,0.080358
300,5,0.1,10,0.081718
300,5,0.2,2,0.08045
300,5,0.2,5,0.079327
300,5,0.2,10,0.083379
300,6,0.01,2,0.076832
300,6,0.01,5,0.077379
300,6,0.01,10,0.077156
300,6,0.05,2,0.07854
300,6,0.05,5,0.077471
300,6,0.05,10,0.077557
300,6,0.1,2,0.080572
300,6,0.1,5,0.078962
300,6,0.1,10,0.080079
300,6,0.2,2,0.07929
300,6,0.2,5,0.082117
300,6,0.2,10,0.079007
500,3,0.01,2,0.077571
500,3,0.01,5,0.077619
500,3,0.01,10,0.077711
500,3,0.05,2,0.078197
500,3,0.05,5,0.077873
500,3,0.05,10,0.077706
500,3,0.1,2,0.080269
500,3,0.1,5,0.079824
500,3,0.1,10,0.080516
500,3,0.2,2,0.083309
500,3,0.2,5,0.084805
500,3,0.2,10,0.082256
500,4,0.01,2,0.077401
500,4,0.01,5,0.077296
500,4,0.01,10,0.077183
500,4,0.05,2,0.079324
500,4,0.05,5,0.07915
500,4,0.05,10,0.079474
500,4,0.1,2,0.080883
500,4,0.1,5,0.081644
500,4,0.1,10,0.080064
500,4,0.2,2,0.080683
500,4,0.2,5,0.083012
500,4,0.2,10,0.081845
500,5,0.01,2,0.076517
500,5,0.01,5,0.076634
500,5,0.01,10,0.076319
500,5,0.05,2,0.078897
500,5,0.05,5,0.078902
500,5,0.05,10,0.077907
500,5,0.1,2,0.079455
500,5,0.1,5,0.080665
500,5,0.1,10,0.083093
500,5,0.2,2,0.080714
500,5,0.2,5,0.079478
500,5,0.2,10,0.08389
500,6,0.01,2,0.077054
500,6,0.01,5,0.076781
500,6,0.01,10,0.077493
500,6,0.05,2,0.07926
500,6,0.05,5,0.077596
500,6,0.05,10,0.078414
500,6,0.1,2,0.080966
500,6,0.1,5,0.079485
500,6,0.1,10,0.08045
500,6,0.2,2,0.07932
500,6,0.2,5,0.082177
500,6,0.2,10,0.079044
