hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.069172
32,0.1,0.0005,0.063635
32,0.2,0.001,0.093421
32,0.2,0.0005,0.068129
64,0.1,0.001,0.069843
64,0.1,0.0005,0.068633
64,0.2,0.001,0.072531
64,0.2,0.0005,0.07193
