C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.068664
0.1,0.01,linear,0.068835
0.1,0.05,rbf,0.068
0.1,0.05,linear,0.068528
0.1,0.1,rbf,0.068614
0.1,0.1,linear,0.070001
0.1,0.5,rbf,0.249609
0.1,0.5,linear,0.249609
1.0,0.01,rbf,0.068782
1.0,0.01,linear,0.068785
1.0,0.05,rbf,0.068188
1.0,0.05,linear,0.068451
1.0,0.1,rbf,0.068251
1.0,0.1,linear,0.068664
1.0,0.5,rbf,0.249609
1.0,0.5,linear,0.249609
10.0,0.01,rbf,0.069242
10.0,0.01,linear,0.068776
10.0,0.05,rbf,0.069157
10.0,0.05,linear,0.068359
10.0,0.1,rbf,0.070047
10.0,0.1,linear,0.068613
10.0,0.5,rbf,0.249609
10.0,0.5,linear,0.249609
100.0,0.01,rbf,0.07459
100.0,0.01,linear,0.068789
100.0,0.05,rbf,0.071488
100.0,0.05,linear,0.068443
100.0,0.1,rbf,0.074013
100.0,0.1,linear,0.068584
100.0,0.5,rbf,0.249609
100.0,0.5,linear,0.249609
