filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.076039
32,32,0.1,0.001,5,0.074612
32,32,0.1,0.0005,3,0.078527
32,32,0.1,0.0005,5,0.074783
32,32,0.2,0.001,3,0.07688
32,32,0.2,0.001,5,0.074662
32,32,0.2,0.0005,3,0.075726
32,32,0.2,0.0005,5,0.076311
32,64,0.1,0.001,3,0.075815
32,64,0.1,0.001,5,0.074456
32,64,0.1,0.0005,3,0.076827
32,64,0.1,0.0005,5,0.073958
32,64,0.2,0.001,3,0.076519
32,64,0.2,0.001,5,0.074112
32,64,0.2,0.0005,3,0.075506
32,64,0.2,0.0005,5,0.073686
64,32,0.1,0.001,3,0.076791
64,32,0.1,0.001,5,0.075397
64,32,0.1,0.0005,3,0.077738
64,32,0.1,0.0005,5,0.0748
64,32,0.2,0.001,3,0.076364
64,32,0.2,0.001,5,0.075192
64,32,0.2,0.0005,3,0.076303
64,32,0.2,0.0005,5,0.074428
64,64,0.1,0.001,3,0.075779
64,64,0.1,0.001,5,0.073719
64,64,0.1,0.0005,3,0.076586
64,64,0.1,0.0005,5,0.073719
64,64,0.2,0.001,3,0.076087
64,64,0.2,0.001,5,0.074319
64,64,0.2,0.0005,3,0.076024
64,64,0.2,0.0005,5,0.074213
