n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,127,0.01,0.8,0.8,10,0.108994
100,31,0.05,1.0,1.0,10,0.079217
200,127,0.01,1.0,0.8,30,0.083151
200,63,0.1,0.8,1.0,10,0.082301
200,63,0.01,1.0,1.0,20,0.083249
100,127,0.1,0.8,1.0,10,0.081994
100,63,0.2,1.0,0.6,30,0.08496
500,63,0.05,0.8,0.6,10,0.082337
100,63,0.1,0.8,1.0,20,0.082384
500,127,0.01,1.0,0.8,10,0.080528
300,127,0.01,0.6,0.6,10,0.080338
100,31,0.1,0.8,0.6,30,0.081626
100,31,0.1,0.6,1.0,20,0.082278
100,63,0.2,0.6,0.6,30,0.08496
200,63,0.01,0.8,1.0,10,0.083283
200,63,0.05,0.8,1.0,30,0.082164
500,31,0.1,0.6,1.0,30,0.085737
500,127,0.05,0.8,1.0,30,0.084013
100,31,0.1,0.6,0.6,10,0.080814
500,63,0.1,0.8,1.0,10,0.08248
200,31,0.2,0.6,0.6,30,0.087658
300,63,0.2,1.0,0.8,20,0.084961
200,63,0.01,1.0,0.6,20,0.082638
300,127,0.1,0.6,0.6,20,0.083732
500,127,0.01,1.0,0.6,10,0.081269
200,127,0.05,0.6,0.6,30,0.08144
100,31,0.01,0.8,0.8,20,0.110347
200,31,0.01,0.6,0.6,30,0.082937
300,127,0.01,0.6,0.6,20,0.07978
300,31,0.05,1.0,0.8,10,0.080051
100,127,0.2,1.0,0.8,10,0.080778
200,63,0.01,0.6,1.0,30,0.083711
300,31,0.05,0.8,0.8,30,0.081603
100,63,0.2,0.6,0.6,10,0.083633
300,63,0.01,1.0,0.8,20,0.079986
100,63,0.2,0.8,0.6,10,0.083633
300,31,0.2,0.6,1.0,10,0.084744
300,31,0.1,0.6,0.6,30,0.084487
500,127,0.05,1.0,0.8,10,0.082514
200,127,0.01,0.6,0.6,20,0.082374
100,31,0.2,0.6,1.0,20,0.083942
300,127,0.1,1.0,0.8,20,0.083128
500,63,0.01,1.0,0.6,10,0.080205
100,127,0.05,0.8,0.8,10,0.081222
300,63,0.01,1.0,0.6,20,0.079859
