n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
500,3,0.01,0.8,0.6,0.0,1.0,0.081558
100,5,0.01,0.7,1.0,0.1,1.0,0.11073
100,3,0.05,1.0,0.8,1.0,1.0,0.082228
500,5,0.01,0.6,1.0,1.0,2.0,0.079423
200,4,0.01,1.0,0.8,0.1,1.0,0.086241
200,3,0.1,0.8,0.6,1.0,2.0,0.081013
200,3,0.01,1.0,1.0,0.0,1.5,0.087657
100,5,0.1,0.8,0.8,0.0,1.0,0.083103
500,4,0.2,1.0,0.8,0.1,1.0,0.084859
100,4,0.2,1.0,0.6,0.0,2.0,0.085726
500,3,0.2,0.7,0.6,1.0,2.0,0.082857
500,5,0.01,0.6,1.0,0.0,1.5,0.079394
300,5,0.05,0.7,0.8,0.1,1.0,0.080432
100,4,0.1,0.8,0.8,0.0,1.5,0.0819
300,6,0.01,1.0,0.6,0.1,1.5,0.080348
300,3,0.01,0.6,0.6,0.0,1.0,0.082286
100,3,0.1,0.7,0.8,1.0,2.0,0.080729
100,3,0.1,0.7,0.6,0.0,1.5,0.084269
100,4,0.2,0.6,0.8,0.0,2.0,0.085706
200,3,0.01,0.8,0.8,0.0,1.0,0.08754
200,3,0.05,0.8,0.8,1.0,1.0,0.080368
300,4,0.1,0.7,0.6,1.0,2.0,0.081875
300,6,0.05,0.8,0.8,1.0,2.0,0.080617
100,3,0.1,0.6,0.6,0.0,1.5,0.081798
300,5,0.1,0.8,0.6,1.0,1.5,0.08128
100,6,0.2,0.6,0.6,1.0,2.0,0.080147
500,4,0.1,0.7,0.6,1.0,1.0,0.082071
500,3,0.05,0.7,0.6,0.1,1.5,0.081141
500,4,0.05,0.6,1.0,0.1,1.0,0.081291
300,5,0.05,0.7,0.8,0.0,1.0,0.080513
200,6,0.2,1.0,0.6,1.0,1.5,0.080797
200,3,0.01,0.8,1.0,0.1,2.0,0.087759
300,3,0.1,0.6,0.6,1.0,1.5,0.081063
300,6,0.01,0.8,1.0,0.1,1.0,0.079572
200,4,0.05,0.6,0.8,0.0,1.5,0.081316
500,6,0.05,0.7,0.8,1.0,1.0,0.080735
100,3,0.01,0.7,1.0,1.0,2.0,0.115044
500,5,0.05,0.8,0.6,1.0,1.0,0.080669
500,6,0.05,0.6,0.8,0.1,1.5,0.080507
100,6,0.01,0.6,0.8,0.0,2.0,0.110528
500,4,0.01,1.0,1.0,0.1,1.5,0.081893
300,3,0.01,0.6,0.6,1.0,1.0,0.082309
200,5,0.05,1.0,0.6,1.0,1.0,0.080467
200,4,0.05,0.6,0.6,1.0,2.0,0.080791
100,5,0.2,1.0,0.6,0.1,1.5,0.083113
200,3,0.01,0.7,0.6,1.0,2.0,0.088249
500,5,0.05,1.0,0.8,1.0,2.0,0.080428
200,5,0.05,0.8,0.6,0.1,1.0,0.081042
100,4,0.2,1.0,0.6,0.0,1.0,0.084454
100,4,0.2,0.6,0.6,0.1,1.0,0.083165
200,6,0.01,1.0,0.6,1.0,1.5,0.086558
100,4,0.2,0.7,0.8,0.0,1.0,0.088079
200,5,0.2,0.6,1.0,1.0,1.0,0.083725
200,5,0.1,0.6,0.8,0.0,1.0,0.082591
300,6,0.05,1.0,0.6,0.1,1.5,0.082435
200,4,0.01,0.6,0.6,1.0,1.0,0.087057
500,6,0.05,0.6,1.0,0.1,2.0,0.080615
100,3,0.2,0.7,0.6,0.1,1.5,0.08477
500,4,0.2,0.7,0.8,0.0,1.5,0.087588
300,3,0.1,1.0,0.8,0.0,1.5,0.081831
300,5,0.01,0.8,1.0,0.0,1.0,0.080315
100,5,0.05,0.7,1.0,0.1,2.0,0.080246
200,6,0.01,0.8,1.0,0.1,1.5,0.084438
100,4,0.05,1.0,1.0,1.0,1.0,0.081652
300,5,0.05,1.0,0.8,0.1,1.5,0.081093
200,4,0.1,0.6,1.0,1.0,1.5,0.080381
500,6,0.1,1.0,0.8,1.0,2.0,0.079879
300,6,0.2,0.8,1.0,0.0,1.5,0.084563
300,6,0.1,1.0,0.8,1.0,2.0,0.079879
200,5,0.2,0.7,1.0,0.0,1.5,0.087052
300,5,0.2,1.0,0.6,0.1,1.5,0.083629
100,6,0.1,0.8,0.8,0.0,1.0,0.082979
500,4,0.05,0.7,1.0,0.0,2.0,0.083541
100,4,0.05,0.7,0.6,0.0,2.0,0.08097
100,3,0.2,0.7,1.0,1.0,1.0,0.081216
500,3,0.1,0.6,0.8,1.0,2.0,0.081249
200,3,0.05,0.7,0.6,0.1,1.0,0.081016
500,5,0.1,0.8,0.8,0.1,2.0,0.084848
200,4,0.05,1.0,1.0,0.1,1.0,0.08246
100,4,0.1,0.6,0.6,0.1,2.0,0.082346
200,3,0.05,0.8,0.8,1.0,2.0,0.080765
100,4,0.2,0.8,0.8,1.0,2.0,0.080852
200,6,0.01,1.0,0.6,1.0,2.0,0.086728
200,4,0.05,0.6,0.8,0.0,1.0,0.08113
300,3,0.1,0.7,0.8,1.0,1.0,0.081796
500,3,0.01,0.6,1.0,0.1,2.0,0.081387
500,6,0.2,0.7,0.6,0.0,2.0,0.086514
200,5,0.2,0.8,1.0,0.0,1.0,0.083417
100,6,0.01,0.7,0.8,0.0,1.0,0.110019
200,6,0.01,0.6,0.6,1.0,2.0,0.086908
200,5,0.1,1.0,1.0,0.1,1.0,0.081358
100,6,0.2,1.0,0.8,1.0,1.0,0.081289
500,3,0.1,1.0,0.8,0.0,1.0,0.08379
200,4,0.01,0.7,0.6,0.0,1.0,0.085684
500,4,0.05,0.6,1.0,1.0,1.5,0.081051
500,3,0.2,1.0,0.8,0.0,1.5,0.086265
500,3,0.05,0.6,0.8,1.0,1.5,0.080783
100,4,0.05,0.7,0.8,1.0,2.0,0.080333
300,6,0.1,0.6,1.0,0.1,1.5,0.082897
500,3,0.01,0.6,0.8,1.0,2.0,0.080623
100,6,0.01,1.0,1.0,1.0,1.0,0.113181
300,5,0.01,0.8,0.6,0.0,1.5,0.079677
500,4,0.2,0.7,0.6,1.0,1.0,0.082781
200,3,0.1,0.8,0.6,1.0,1.5,0.08108
100,6,0.01,0.7,0.8,1.0,1.0,0.113737
300,3,0.2,0.6,0.6,1.0,1.0,0.081424
200,6,0.01,1.0,0.6,0.1,1.0,0.084101
200,4,0.01,0.7,1.0,1.0,1.0,0.086466
500,3,0.01,0.8,0.6,0.1,1.5,0.081189
500,4,0.01,0.6,1.0,0.1,1.0,0.079959
300,5,0.1,0.6,1.0,1.0,2.0,0.081476
200,3,0.01,0.8,0.8,1.0,2.0,0.088315
500,3,0.2,1.0,1.0,0.0,1.5,0.08616
200,5,0.01,0.8,0.8,0.0,1.5,0.084413
500,6,0.2,1.0,1.0,0.0,1.5,0.084054
500,5,0.1,0.7,0.6,0.1,1.0,0.08392
500,5,0.1,1.0,0.8,0.0,2.0,0.084444
100,4,0.01,0.6,1.0,1.0,2.0,0.114609
200,3,0.05,0.7,0.8,0.1,1.5,0.081731
500,6,0.1,0.7,0.8,0.0,1.0,0.082806
100,3,0.1,0.7,1.0,0.0,1.5,0.083534
500,6,0.05,0.6,0.6,1.0,1.0,0.082073
200,4,0.2,1.0,1.0,0.0,1.5,0.084539
200,6,0.1,0.7,1.0,0.0,1.5,0.083172
200,4,0.01,0.7,0.6,1.0,1.0,0.086887
100,4,0.05,0.6,0.6,0.0,2.0,0.081204
