hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.092602
32,0.1,0.0005,0.0911
32,0.2,0.001,0.115006
32,0.2,0.0005,0.093543
64,0.1,0.001,0.090722
64,0.1,0.0005,0.088089
64,0.2,0.001,0.104438
64,0.2,0.0005,0.093854
