n_estimators,learning_rate,loss,base_max_depth,val_rmse
50,0.01,linear,2,0.084963
50,0.01,linear,3,0.080442
50,0.01,linear,4,0.076172
50,0.01,linear,5,0.075311
50,0.01,square,2,0.087319
50,0.01,square,3,0.080886
50,0.01,square,4,0.076111
50,0.01,square,5,0.075454
50,0.01,exponential,2,0.084647
50,0.01,exponential,3,0.081578
50,0.01,exponential,4,0.077078
50,0.01,exponential,5,0.075254
50,0.05,linear,2,0.082895
50,0.05,linear,3,0.078716
50,0.05,linear,4,0.074963
50,0.05,linear,5,0.074647
50,0.05,square,2,0.082826
50,0.05,square,3,0.078129
50,0.05,square,4,0.076005
50,0.05,square,5,0.074542
50,0.05,exponential,2,0.082888
50,0.05,exponential,3,0.078972
50,0.05,exponential,4,0.074791
50,0.05,exponential,5,0.074411
50,0.1,linear,2,0.081983
50,0.1,linear,3,0.077397
50,0.1,linear,4,0.073991
50,0.1,linear,5,0.07274
50,0.1,square,2,0.079525
50,0.1,square,3,0.076677
50,0.1,square,4,0.074756
50,0.1,square,5,0.074518
50,0.1,exponential,2,0.081524
50,0.1,exponential,3,0.078029
50,0.1,exponential,4,0.074521
50,0.1,exponential,5,0.074934
50,0.5,linear,2,0.081274
50,0.5,linear,3,0.078498
50,0.5,linear,4,0.075758
50,0.5,linear,5,0.074698
50,0.5,square,2,0.086499
50,0.5,square,3,0.081024
50,0.5,square,4,0.077033
50,0.5,square,5,0.074854
50,0.5,exponential,2,0.081493
50,0.5,exponential,3,0.077751
50,0.5,exponential,4,0.076274
50,0.5,exponential,5,0.074741
50,1.0,linear,2,0.084516
50,1.0,linear,3,0.080752
50,1.0,linear,4,0.079684
50,1.0,linear,5,0.074985
50,1.0,square,2,0.091444
50,1.0,square,3,0.081496
50,1.0,square,4,0.078226
50,1.0,square,5,0.075895
50,1.0,exponential,2,0.085992
50,1.0,exponential,3,0.081125
50,1.0,exponential,4,0.078692
50,1.0,exponential,5,0.077379
100,0.01,linear,2,0.084838
100,0.01,linear,3,0.07983
100,0.01,linear,4,0.075741
100,0.01,linear,5,0.074569
100,0.01,square,2,0.084854
100,0.01,square,3,0.079713
100,0.01,square,4,0.075778
100,0.01,square,5,0.074847
100,0.01,exponential,2,0.083926
100,0.01,exponential,3,0.08021
100,0.01,exponential,4,0.076231
100,0.01,exponential,5,0.074938
100,0.05,linear,2,0.080755
100,0.05,linear,3,0.076769
100,0.05,linear,4,0.074648
100,0.05,linear,5,0.073498
100,0.05,square,2,0.0799
100,0.05,square,3,0.075906
100,0.05,square,4,0.075186
100,0.05,square,5,0.073656
100,0.05,exponential,2,0.080854
100,0.05,exponential,3,0.077732
100,0.05,exponential,4,0.074139
100,0.05,exponential,5,0.073812
100,0.1,linear,2,0.079342
100,0.1,linear,3,0.075879
100,0.1,linear,4,0.072997
100,0.1,linear,5,0.073121
100,0.1,square,2,0.08091
100,0.1,square,3,0.077909
100,0.1,square,4,0.074432
100,0.1,square,5,0.073885
