filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.086573
32,32,0.1,0.001,5,0.085029
32,32,0.1,0.0005,3,0.090688
32,32,0.1,0.0005,5,0.081638
32,32,0.2,0.001,3,0.082888
32,32,0.2,0.001,5,0.087287
32,32,0.2,0.0005,3,0.083475
32,32,0.2,0.0005,5,0.089514
32,64,0.1,0.001,3,0.083566
32,64,0.1,0.001,5,0.082016
32,64,0.1,0.0005,3,0.087808
32,64,0.1,0.0005,5,0.081588
32,64,0.2,0.001,3,0.083772
32,64,0.2,0.001,5,0.08402
32,64,0.2,0.0005,3,0.083733
32,64,0.2,0.0005,5,0.082602
64,32,0.1,0.001,3,0.087309
64,32,0.1,0.001,5,0.085618
64,32,0.1,0.0005,3,0.08889
64,32,0.1,0.0005,5,0.08424
64,32,0.2,0.001,3,0.094047
64,32,0.2,0.001,5,0.085232
64,32,0.2,0.0005,3,0.091474
64,32,0.2,0.0005,5,0.084888
64,64,0.1,0.001,3,0.083061
64,64,0.1,0.001,5,0.082549
64,64,0.1,0.0005,3,0.084662
64,64,0.1,0.0005,5,0.081498
64,64,0.2,0.001,3,0.084743
64,64,0.2,0.001,5,0.084368
64,64,0.2,0.0005,3,0.084418
64,64,0.2,0.0005,5,0.082956
