n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,val_rmse
500,3,0.01,0.8,0.6,0.0,1.0,0.071795
100,5,0.01,0.7,1.0,0.1,1.0,0.086637
100,3,0.05,1.0,0.8,1.0,1.0,0.071457
500,5,0.01,0.6,1.0,1.0,2.0,0.072556
200,4,0.01,1.0,0.8,0.1,1.0,0.073888
200,3,0.1,0.8,0.6,1.0,2.0,0.073697
200,3,0.01,1.0,1.0,0.0,1.5,0.074291
100,5,0.1,0.8,0.8,0.0,1.0,0.075663
500,4,0.2,1.0,0.8,0.1,1.0,0.076629
100,4,0.2,1.0,0.6,0.0,2.0,0.074985
500,3,0.2,0.7,0.6,1.0,2.0,0.076088
500,5,0.01,0.6,1.0,0.0,1.5,0.072488
300,5,0.05,0.7,0.8,0.1,1.0,0.073056
100,4,0.1,0.8,0.8,0.0,1.5,0.072914
300,6,0.01,1.0,0.6,0.1,1.5,0.072774
300,3,0.01,0.6,0.6,0.0,1.0,0.07211
100,3,0.1,0.7,0.8,1.0,2.0,0.073329
100,3,0.1,0.7,0.6,0.0,1.5,0.073145
100,4,0.2,0.6,0.8,0.0,2.0,0.077723
200,3,0.01,0.8,0.8,0.0,1.0,0.074379
200,3,0.05,0.8,0.8,1.0,1.0,0.072527
300,4,0.1,0.7,0.6,1.0,2.0,0.074609
300,6,0.05,0.8,0.8,1.0,2.0,0.074677
100,3,0.1,0.6,0.6,0.0,1.5,0.073518
300,5,0.1,0.8,0.6,1.0,1.5,0.074874
100,6,0.2,0.6,0.6,1.0,2.0,0.075959
500,4,0.1,0.7,0.6,1.0,1.0,0.075464
500,3,0.05,0.7,0.6,0.1,1.5,0.074205
500,4,0.05,0.6,1.0,0.1,1.0,0.074395
300,5,0.05,0.7,0.8,0.0,1.0,0.074083
200,6,0.2,1.0,0.6,1.0,1.5,0.073929
200,3,0.01,0.8,1.0,0.1,2.0,0.074253
300,3,0.1,0.6,0.6,1.0,1.5,0.074261
300,6,0.01,0.8,1.0,0.1,1.0,0.072289
200,4,0.05,0.6,0.8,0.0,1.5,0.073157
500,6,0.05,0.7,0.8,1.0,1.0,0.075053
100,3,0.01,0.7,1.0,1.0,2.0,0.088729
500,5,0.05,0.8,0.6,1.0,1.0,0.074568
500,6,0.05,0.6,0.8,0.1,1.5,0.073738
100,6,0.01,0.6,0.8,0.0,2.0,0.086348
500,4,0.01,1.0,1.0,0.1,1.5,0.071526
300,3,0.01,0.6,0.6,1.0,1.0,0.072529
200,5,0.05,1.0,0.6,1.0,1.0,0.073003
200,4,0.05,0.6,0.6,1.0,2.0,0.073405
100,5,0.2,1.0,0.6,0.1,1.5,0.075458
200,3,0.01,0.7,0.6,1.0,2.0,0.075147
500,5,0.05,1.0,0.8,1.0,2.0,0.073136
200,5,0.05,0.8,0.6,0.1,1.0,0.073554
100,4,0.2,1.0,0.6,0.0,1.0,0.075008
100,4,0.2,0.6,0.6,0.1,1.0,0.07694
200,6,0.01,1.0,0.6,1.0,1.5,0.074539
100,4,0.2,0.7,0.8,0.0,1.0,0.075435
200,5,0.2,0.6,1.0,1.0,1.0,0.076297
200,5,0.1,0.6,0.8,0.0,1.0,0.075369
300,6,0.05,1.0,0.6,0.1,1.5,0.07471
200,4,0.01,0.6,0.6,1.0,1.0,0.075014
500,6,0.05,0.6,1.0,0.1,2.0,0.075063
100,3,0.2,0.7,0.6,0.1,1.5,0.074218
500,4,0.2,0.7,0.8,0.0,1.5,0.078261
300,3,0.1,1.0,0.8,0.0,1.5,0.076019
300,5,0.01,0.8,1.0,0.0,1.0,0.071991
100,5,0.05,0.7,1.0,0.1,2.0,0.073234
200,6,0.01,0.8,1.0,0.1,1.5,0.073867
100,4,0.05,1.0,1.0,1.0,1.0,0.071422
300,5,0.05,1.0,0.8,0.1,1.5,0.073764
200,4,0.1,0.6,1.0,1.0,1.5,0.074503
500,6,0.1,1.0,0.8,1.0,2.0,0.074032
300,6,0.2,0.8,1.0,0.0,1.5,0.080105
300,6,0.1,1.0,0.8,1.0,2.0,0.074032
200,5,0.2,0.7,1.0,0.0,1.5,0.075738
300,5,0.2,1.0,0.6,0.1,1.5,0.077505
100,6,0.1,0.8,0.8,0.0,1.0,0.072573
500,4,0.05,0.7,1.0,0.0,2.0,0.075621
100,4,0.05,0.7,0.6,0.0,2.0,0.072488
100,3,0.2,0.7,1.0,1.0,1.0,0.074818
500,3,0.1,0.6,0.8,1.0,2.0,0.075625
200,3,0.05,0.7,0.6,0.1,1.0,0.072954
500,5,0.1,0.8,0.8,0.1,2.0,0.076833
