C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.068878
0.1,0.01,linear,0.068451
0.1,0.05,rbf,0.069436
0.1,0.05,linear,0.068217
0.1,0.1,rbf,0.069923
0.1,0.1,linear,0.069142
0.1,0.5,rbf,0.241608
0.1,0.5,linear,0.241608
1.0,0.01,rbf,0.068938
1.0,0.01,linear,0.068561
1.0,0.05,rbf,0.069889
1.0,0.05,linear,0.06815
1.0,0.1,rbf,0.068998
1.0,0.1,linear,0.067572
1.0,0.5,rbf,0.241608
1.0,0.5,linear,0.241608
10.0,0.01,rbf,0.070581
10.0,0.01,linear,0.068514
10.0,0.05,rbf,0.070328
10.0,0.05,linear,0.068223
10.0,0.1,rbf,0.06856
10.0,0.1,linear,0.067674
10.0,0.5,rbf,0.241608
10.0,0.5,linear,0.241608
100.0,0.01,rbf,0.075187
100.0,0.01,linear,0.068502
100.0,0.05,rbf,0.072714
100.0,0.05,linear,0.06821
100.0,0.1,rbf,0.070227
100.0,0.1,linear,0.067663
100.0,0.5,rbf,0.241608
100.0,0.5,linear,0.241608
