hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.093878
32,0.1,0.0005,0.092046
32,0.2,0.001,0.109569
32,0.2,0.0005,0.094554
64,0.1,0.001,0.095274
64,0.1,0.0005,0.094062
64,0.2,0.001,0.101498
64,0.2,0.0005,0.099363
