n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
500,4,0.1,0.7,2,0.077013
100,5,0.05,0.7,2,0.07334
100,3,0.1,0.5,5,0.072268
500,6,0.2,0.6,2,0.078903
200,4,0.2,0.6,10,0.080798
200,4,0.01,0.8,5,0.07371
200,3,0.2,0.5,2,0.079932
100,5,0.2,0.8,5,0.077355
500,6,0.1,0.8,5,0.078116
100,5,0.01,0.7,10,0.085333
500,5,0.05,0.7,10,0.076017
300,6,0.1,0.7,2,0.075196
100,4,0.2,0.6,10,0.079545
500,3,0.1,0.6,5,0.079203
300,4,0.01,0.5,2,0.07173
100,3,0.1,0.7,10,0.073156
100,3,0.1,0.7,2,0.073602
100,4,0.2,0.8,10,0.074925
200,3,0.1,0.7,5,0.073858
200,3,0.2,0.8,5,0.077593
300,5,0.2,0.5,5,0.081288
500,3,0.2,0.6,5,0.081034
100,3,0.1,0.6,2,0.074097
300,6,0.2,0.8,5,0.078507
200,3,0.01,0.8,10,0.074325
500,6,0.05,0.5,5,0.0778
500,4,0.2,0.6,10,0.081291
500,5,0.2,0.8,5,0.07808
500,6,0.2,0.5,2,0.083991
300,3,0.2,0.8,2,0.081165
200,3,0.1,0.8,2,0.073926
300,4,0.1,0.6,2,0.077658
500,3,0.1,0.6,2,0.079638
200,4,0.2,0.7,10,0.075912
100,3,0.01,0.7,2,0.087864
100,6,0.05,0.7,5,0.074243
500,5,0.2,0.7,2,0.080068
500,6,0.1,0.8,2,0.078746
200,6,0.05,0.5,2,0.072823
500,6,0.05,0.5,10,0.076847
100,6,0.05,0.6,2,0.073449
200,3,0.1,0.6,5,0.074148
200,6,0.01,0.7,10,0.072574
500,6,0.2,0.5,10,0.087818
100,4,0.2,0.8,5,0.075215
300,3,0.01,0.6,10,0.07225
100,5,0.01,0.6,2,0.08514
200,6,0.1,0.7,5,0.075855
200,6,0.05,0.6,5,0.07399
500,3,0.2,0.7,2,0.07892
200,4,0.1,0.7,2,0.075016
100,3,0.2,0.7,10,0.073301
300,4,0.2,0.5,10,0.083708
300,6,0.05,0.8,2,0.074518
100,5,0.1,0.7,5,0.07275
300,3,0.01,0.6,2,0.072238
100,4,0.1,0.7,10,0.074196
300,6,0.2,0.5,5,0.082652
200,5,0.05,0.5,2,0.072985
500,4,0.05,0.7,5,0.075397
500,4,0.01,0.8,2,0.072024
200,6,0.1,0.8,5,0.077501
500,3,0.05,0.6,2,0.074975
200,3,0.01,0.6,5,0.074423
100,4,0.05,0.8,10,0.072501
100,3,0.2,0.8,5,0.07732
500,5,0.01,0.6,10,0.072559
200,3,0.2,0.6,10,0.077174
200,5,0.01,0.7,10,0.072998
100,4,0.1,0.8,2,0.073558
500,6,0.1,0.6,5,0.079182
100,5,0.01,0.7,5,0.08542
500,6,0.01,0.5,10,0.073168
500,6,0.01,0.7,10,0.072299
300,4,0.1,0.7,10,0.074896
500,4,0.1,0.5,10,0.078091
200,6,0.2,0.5,5,0.082216
100,6,0.05,0.8,5,0.074127
200,6,0.2,0.7,5,0.079461
200,6,0.1,0.6,2,0.076956
200,3,0.05,0.8,5,0.07234
500,5,0.05,0.5,10,0.076241
200,4,0.1,0.8,2,0.073785
500,4,0.2,0.6,2,0.081188
100,4,0.1,0.5,5,0.074246
500,3,0.2,0.8,10,0.079695
500,6,0.2,0.5,5,0.082644
100,6,0.1,0.7,5,0.076023
300,6,0.05,0.7,2,0.075923
500,6,0.2,0.7,2,0.080527
100,6,0.05,0.8,10,0.073806
