hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.087192
32,0.1,0.0005,0.082091
32,0.2,0.001,0.09992
32,0.2,0.0005,0.08544
64,0.1,0.001,0.08007
64,0.1,0.0005,0.083035
64,0.2,0.001,0.087647
64,0.2,0.0005,0.090823
