n_estimators,max_depth,learning_rate,subsample,min_samples_split,val_rmse
300,6,0.05,0.6,2,0.081852
100,3,0.01,0.5,2,0.112701
200,5,0.2,0.7,5,0.088176
300,5,0.05,0.7,10,0.08235
100,3,0.05,0.7,5,0.082184
500,3,0.2,0.7,5,0.089429
200,6,0.1,0.8,10,0.081274
200,5,0.1,0.5,10,0.085385
200,4,0.01,0.6,10,0.085057
100,4,0.01,0.8,10,0.11159
200,4,0.01,0.7,2,0.085379
500,4,0.2,0.5,5,0.088231
500,5,0.2,0.6,2,0.09275
100,4,0.2,0.6,2,0.086507
300,5,0.05,0.6,10,0.082873
100,4,0.05,0.8,5,0.081673
300,6,0.05,0.6,10,0.081684
100,5,0.1,0.7,10,0.083653
100,5,0.1,0.8,10,0.082462
300,5,0.01,0.7,2,0.080425
300,6,0.1,0.8,5,0.083124
100,6,0.1,0.5,5,0.084693
500,6,0.2,0.8,10,0.089878
300,6,0.05,0.5,2,0.08206
300,4,0.01,0.5,5,0.080532
500,4,0.2,0.5,10,0.08869
500,3,0.1,0.5,10,0.085168
200,3,0.05,0.5,5,0.081754
200,5,0.1,0.7,5,0.08595
500,4,0.05,0.8,2,0.083564
500,6,0.2,0.7,10,0.088123
300,4,0.05,0.6,5,0.083358
300,6,0.01,0.5,5,0.079416
300,4,0.1,0.7,2,0.083318
100,5,0.1,0.6,2,0.083098
200,4,0.05,0.5,5,0.082092
200,3,0.2,0.5,10,0.085566
500,4,0.01,0.7,10,0.080736
200,6,0.01,0.8,5,0.0843
100,3,0.05,0.8,2,0.082116
200,3,0.2,0.7,5,0.08824
500,6,0.05,0.6,10,0.081895
100,3,0.01,0.7,5,0.113219
100,4,0.1,0.5,2,0.08166
100,4,0.05,0.5,2,0.080681
500,4,0.2,0.7,10,0.089942
100,4,0.05,0.8,2,0.081521
500,4,0.2,0.7,5,0.090529
200,6,0.01,0.5,10,0.083047
500,6,0.05,0.7,5,0.082685
300,5,0.2,0.8,5,0.088953
200,4,0.01,0.6,2,0.085124
200,4,0.2,0.8,2,0.088504
500,3,0.01,0.8,10,0.081826
200,3,0.1,0.6,2,0.083815
100,5,0.2,0.6,2,0.09045
300,5,0.01,0.6,5,0.079667
200,4,0.01,0.7,10,0.08534
500,3,0.01,0.8,2,0.081958
300,3,0.1,0.7,10,0.085701
200,3,0.01,0.5,10,0.086529
100,5,0.01,0.5,2,0.109214
500,6,0.01,0.5,5,0.079627
300,4,0.01,0.8,2,0.081718
200,6,0.1,0.5,10,0.085963
500,3,0.01,0.5,5,0.080865
300,3,0.2,0.5,2,0.092126
300,4,0.2,0.8,5,0.087864
100,4,0.01,0.7,5,0.111263
100,5,0.01,0.6,5,0.109145
100,4,0.05,0.5,10,0.081071
300,3,0.1,0.6,5,0.085005
200,6,0.01,0.8,10,0.084114
100,5,0.05,0.6,2,0.081549
200,4,0.05,0.5,10,0.081785
500,5,0.1,0.7,10,0.085536
500,4,0.01,0.6,2,0.080616
500,6,0.05,0.6,5,0.081688
100,5,0.2,0.8,10,0.08619
500,4,0.01,0.8,5,0.081353
100,6,0.2,0.7,5,0.08542
500,3,0.2,0.8,5,0.087991
500,5,0.01,0.6,5,0.079909
200,4,0.05,0.6,2,0.081979
100,4,0.1,0.6,10,0.082438
300,4,0.05,0.8,2,0.082831
300,6,0.01,0.6,5,0.07916
100,4,0.01,0.6,2,0.111124
100,3,0.05,0.6,2,0.081426
500,6,0.1,0.7,2,0.086462
200,4,0.01,0.5,10,0.084826
100,4,0.2,0.5,5,0.085163
200,3,0.05,0.6,5,0.082118
300,6,0.05,0.6,5,0.081553
500,5,0.1,0.8,2,0.084226
100,5,0.05,0.5,5,0.081886
300,4,0.01,0.8,5,0.081627
500,4,0.1,0.6,2,0.084722
300,6,0.2,0.6,5,0.085536
500,6,0.1,0.7,5,0.085891
100,4,0.2,0.5,2,0.086974
300,5,0.2,0.8,2,0.088718
100,3,0.01,0.5,5,0.112701
200,3,0.01,0.7,5,0.087453
500,5,0.01,0.7,5,0.080544
300,4,0.2,0.7,2,0.088866
300,3,0.05,0.6,10,0.082707
300,5,0.05,0.6,2,0.083134
200,3,0.2,0.6,5,0.08968
500,5,0.01,0.5,5,0.079891
500,3,0.01,0.5,2,0.08098
200,6,0.05,0.7,10,0.082904
200,6,0.2,0.5,10,0.088312
300,5,0.05,0.5,10,0.082966
500,5,0.05,0.8,5,0.081568
300,6,0.1,0.5,5,0.086573
500,6,0.01,0.5,2,0.080073
200,4,0.01,0.8,2,0.085848
100,4,0.1,0.7,5,0.081898
100,5,0.01,0.5,5,0.109336
100,6,0.01,0.7,5,0.108405
300,6,0.01,0.5,2,0.079815
100,3,0.1,0.6,10,0.081886
500,5,0.1,0.6,2,0.086354
200,6,0.2,0.6,5,0.085298
200,4,0.2,0.5,5,0.08691
100,3,0.1,0.7,5,0.083754
300,6,0.2,0.7,5,0.085544
100,6,0.05,0.6,5,0.080286
500,4,0.01,0.6,5,0.080848
500,6,0.2,0.8,2,0.089122
200,5,0.01,0.8,10,0.085112
200,4,0.01,0.6,5,0.085122
500,4,0.01,0.5,10,0.080397
