n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,127,0.01,0.8,0.8,10,0.108947
100,31,0.05,1.0,1.0,10,0.081233
200,127,0.01,1.0,0.8,30,0.085815
200,63,0.1,0.8,1.0,10,0.083352
200,63,0.01,1.0,1.0,20,0.086291
100,127,0.1,0.8,1.0,10,0.085482
100,63,0.2,1.0,0.6,30,0.085795
500,63,0.05,0.8,0.6,10,0.082287
100,63,0.1,0.8,1.0,20,0.08207
500,127,0.01,1.0,0.8,10,0.081969
300,127,0.01,0.6,0.6,10,0.081427
100,31,0.1,0.8,0.6,30,0.08361
100,31,0.1,0.6,1.0,20,0.083081
100,63,0.2,0.6,0.6,30,0.085795
200,63,0.01,0.8,1.0,10,0.084978
200,63,0.05,0.8,1.0,30,0.08158
500,31,0.1,0.6,1.0,30,0.084879
500,127,0.05,0.8,1.0,30,0.083
100,31,0.1,0.6,0.6,10,0.084776
500,63,0.1,0.8,1.0,10,0.083468
200,31,0.2,0.6,0.6,30,0.085435
300,63,0.2,1.0,0.8,20,0.086009
200,63,0.01,1.0,0.6,20,0.084903
300,127,0.1,0.6,0.6,20,0.083579
500,127,0.01,1.0,0.6,10,0.081788
200,127,0.05,0.6,0.6,30,0.081936
100,31,0.01,0.8,0.8,20,0.110171
200,31,0.01,0.6,0.6,30,0.085401
300,127,0.01,0.6,0.6,20,0.082136
300,31,0.05,1.0,0.8,10,0.082118
100,127,0.2,1.0,0.8,10,0.086189
200,63,0.01,0.6,1.0,30,0.085426
300,31,0.05,0.8,0.8,30,0.083655
100,63,0.2,0.6,0.6,10,0.085383
300,63,0.01,1.0,0.8,20,0.082255
100,63,0.2,0.8,0.6,10,0.085383
300,31,0.2,0.6,1.0,10,0.08699
300,31,0.1,0.6,0.6,30,0.085226
500,127,0.05,1.0,0.8,10,0.084056
200,127,0.01,0.6,0.6,20,0.085311
100,31,0.2,0.6,1.0,20,0.083799
300,127,0.1,1.0,0.8,20,0.084214
500,63,0.01,1.0,0.6,10,0.081696
100,127,0.05,0.8,0.8,10,0.083796
300,63,0.01,1.0,0.6,20,0.081562
100,63,0.05,1.0,1.0,30,0.08103
500,63,0.05,1.0,0.8,30,0.08203
200,127,0.1,0.6,1.0,10,0.085496
500,127,0.2,1.0,0.6,10,0.084844
500,127,0.1,1.0,1.0,10,0.085497
300,31,0.2,0.8,0.6,30,0.085764
500,63,0.2,1.0,0.8,10,0.084526
200,31,0.1,0.8,1.0,10,0.080567
100,63,0.05,0.6,1.0,20,0.08198
100,31,0.2,0.8,0.8,10,0.083869
200,63,0.05,0.6,1.0,20,0.083381
200,127,0.05,1.0,1.0,20,0.083323
100,63,0.1,0.6,0.6,20,0.085213
100,63,0.2,0.8,1.0,30,0.084305
300,127,0.1,0.8,0.6,20,0.083579
300,31,0.2,1.0,0.6,10,0.085164
200,31,0.01,0.8,0.6,10,0.084805
300,63,0.01,0.6,0.6,30,0.080773
300,31,0.1,1.0,1.0,20,0.085124
200,31,0.2,1.0,1.0,10,0.08691
200,127,0.01,0.6,1.0,10,0.085449
100,63,0.05,0.8,0.6,30,0.08187
500,127,0.1,0.6,0.8,30,0.083855
200,31,0.01,1.0,1.0,30,0.08543
500,63,0.01,0.8,0.8,20,0.082189
200,31,0.01,0.8,0.6,20,0.08513
300,127,0.2,0.6,0.6,20,0.088498
300,63,0.01,1.0,0.8,10,0.082643
200,127,0.01,0.8,0.8,10,0.085222
500,63,0.1,0.6,1.0,10,0.083468
200,63,0.01,0.8,1.0,30,0.085426
300,31,0.01,0.8,1.0,20,0.081551
100,63,0.01,0.6,1.0,10,0.109336
200,63,0.05,0.8,0.6,20,0.082417
200,127,0.2,1.0,1.0,20,0.0856
300,63,0.1,0.8,0.6,30,0.08416
200,127,0.01,0.6,1.0,30,0.085426
100,63,0.05,0.6,0.6,10,0.081836
200,63,0.01,0.6,0.6,10,0.084448
500,63,0.2,0.6,0.6,10,0.085258
200,127,0.2,1.0,0.8,30,0.085369
200,63,0.01,0.6,0.8,10,0.085081
500,31,0.05,1.0,0.8,30,0.084643
300,63,0.1,0.6,0.6,10,0.08303
300,127,0.1,1.0,0.8,10,0.083042
100,127,0.1,1.0,0.8,20,0.083431
200,127,0.01,0.6,0.6,30,0.084711
200,63,0.1,1.0,0.6,20,0.08565
500,63,0.01,1.0,0.8,30,0.081561
200,63,0.2,1.0,1.0,20,0.084925
500,127,0.01,0.8,0.6,10,0.081788
300,127,0.01,0.8,0.8,20,0.082695
500,127,0.01,0.6,1.0,20,0.08227
300,63,0.1,0.6,1.0,20,0.083027
300,31,0.2,0.8,0.8,10,0.083938
100,127,0.1,0.8,0.8,20,0.083431
500,31,0.1,0.8,1.0,30,0.084879
500,31,0.05,0.8,0.6,30,0.084317
100,63,0.1,1.0,1.0,10,0.083274
100,31,0.2,0.8,1.0,10,0.08645
100,127,0.01,0.6,1.0,30,0.110708
100,127,0.2,0.8,1.0,20,0.085497
500,127,0.2,0.8,1.0,20,0.085685
200,31,0.01,0.6,0.8,10,0.085075
500,127,0.05,0.6,1.0,10,0.084156
100,63,0.01,1.0,0.8,20,0.110049
300,63,0.05,0.6,0.8,30,0.081424
300,63,0.01,1.0,1.0,20,0.082969
500,127,0.05,0.6,0.8,30,0.08203
300,127,0.2,0.8,0.8,20,0.086006
500,63,0.01,0.6,0.8,10,0.082547
200,63,0.2,0.6,0.6,20,0.086527
500,63,0.05,1.0,1.0,30,0.083
100,31,0.01,1.0,0.8,30,0.110491
100,127,0.01,1.0,0.6,10,0.107807
500,63,0.01,1.0,0.6,20,0.081886
200,127,0.1,0.6,1.0,20,0.085328
300,127,0.01,1.0,1.0,30,0.081543
100,127,0.2,1.0,1.0,30,0.084305
300,127,0.1,0.8,0.6,30,0.08416
100,31,0.01,0.6,1.0,10,0.109935
200,63,0.2,1.0,1.0,30,0.084937
500,31,0.05,1.0,1.0,30,0.084178
200,31,0.05,0.8,0.8,30,0.083148
500,31,0.1,0.8,0.8,20,0.084086
100,127,0.01,0.6,0.6,20,0.109229
500,127,0.2,0.8,0.6,30,0.086878
200,127,0.1,0.8,1.0,30,0.082428
300,63,0.01,0.8,0.6,10,0.081391
200,31,0.01,0.6,1.0,10,0.084916
500,63,0.01,1.0,1.0,10,0.082002
500,63,0.01,0.6,1.0,10,0.082002
100,31,0.01,0.6,0.6,20,0.109818
500,127,0.05,0.8,0.6,30,0.082582
300,31,0.01,0.8,1.0,10,0.081407
500,31,0.05,0.6,0.6,20,0.083295
100,31,0.05,0.8,0.8,10,0.081958
100,127,0.01,0.8,0.8,20,0.110111
300,31,0.2,0.8,0.8,30,0.086221
200,127,0.2,0.6,1.0,30,0.084937
200,63,0.1,0.6,0.8,20,0.083325
100,63,0.01,0.8,0.6,20,0.108954
200,63,0.1,0.6,1.0,20,0.082776
100,63,0.1,0.8,0.8,20,0.082737
500,31,0.01,1.0,0.8,30,0.081806
100,63,0.05,0.6,1.0,10,0.082489
500,63,0.01,0.8,0.6,20,0.081886
100,127,0.05,0.8,0.8,30,0.080761
100,127,0.05,1.0,0.6,20,0.082082
500,31,0.01,0.6,0.6,20,0.081654
500,63,0.05,1.0,0.6,10,0.082287
200,31,0.01,0.8,0.8,30,0.086266
500,63,0.01,0.6,0.6,10,0.081696
500,127,0.1,0.6,0.6,10,0.084575
300,127,0.01,0.6,0.6,30,0.080773
200,63,0.01,0.6,0.6,20,0.084903
200,31,0.2,0.6,1.0,10,0.08691
200,127,0.2,0.8,1.0,30,0.084937
300,63,0.01,0.6,1.0,30,0.081543
300,127,0.05,0.6,1.0,10,0.084095
500,31,0.2,0.6,1.0,10,0.087031
300,127,0.1,0.6,1.0,10,0.085483
100,127,0.05,0.6,0.8,20,0.082954
200,63,0.1,1.0,0.8,10,0.08148
200,63,0.05,0.6,0.6,20,0.082417
100,63,0.01,1.0,0.8,30,0.110403
300,31,0.05,0.8,1.0,30,0.083182
100,31,0.05,0.8,1.0,20,0.081688
500,127,0.01,0.8,1.0,20,0.08227
500,63,0.1,0.6,0.6,10,0.082994
200,63,0.05,0.8,0.8,10,0.082766
500,127,0.01,0.8,1.0,30,0.081881
100,31,0.01,0.8,0.8,30,0.110491
100,63,0.05,0.8,0.6,20,0.081276
500,127,0.2,1.0,0.8,30,0.08551
100,63,0.01,0.8,0.8,10,0.109384
200,63,0.05,0.8,0.6,10,0.082232
100,63,0.05,0.6,0.8,10,0.082398
100,31,0.1,0.8,0.6,20,0.085715
300,31,0.05,0.6,0.6,20,0.082745
500,31,0.1,1.0,1.0,30,0.084879
200,63,0.1,0.6,0.6,20,0.08565
200,127,0.05,0.6,0.8,10,0.084028
500,31,0.01,1.0,0.8,20,0.082039
200,63,0.01,0.6,1.0,10,0.084978
100,127,0.1,0.6,0.6,10,0.084586
500,63,0.2,0.6,1.0,30,0.084956
500,63,0.2,1.0,0.6,20,0.086582
300,127,0.2,1.0,0.8,30,0.085475
200,63,0.1,0.8,0.6,30,0.083816
300,63,0.1,1.0,0.8,30,0.083689
200,31,0.1,0.8,0.6,30,0.084698
100,63,0.2,0.6,0.8,20,0.08595
300,127,0.01,1.0,0.6,10,0.081427
300,31,0.1,1.0,0.8,30,0.081957
300,127,0.01,0.6,0.8,10,0.081787
300,63,0.2,0.6,0.8,20,0.086009
300,127,0.2,0.8,0.6,30,0.086877
100,63,0.01,0.6,0.6,30,0.109575
100,63,0.2,0.8,0.8,10,0.084538
