n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,63,0.01,0.8,1.0,20,0.111032
300,63,0.1,0.8,0.8,30,0.083689
300,31,0.05,1.0,0.6,20,0.082745
100,127,0.01,0.6,1.0,20,0.110784
200,63,0.1,1.0,0.8,30,0.083389
200,31,0.1,0.8,0.8,30,0.081231
300,127,0.1,0.6,0.6,10,0.08457
100,127,0.1,0.8,1.0,30,0.08113
200,31,0.05,1.0,1.0,10,0.082002
300,127,0.2,0.6,0.6,30,0.086877
200,63,0.1,1.0,1.0,20,0.082776
100,63,0.05,1.0,0.6,20,0.081276
300,127,0.05,0.8,1.0,20,0.083672
500,63,0.05,1.0,0.6,30,0.082582
100,63,0.2,0.8,0.6,30,0.085795
100,31,0.2,1.0,0.8,20,0.084741
500,63,0.05,0.6,0.6,10,0.082287
100,31,0.05,0.6,0.8,10,0.081958
200,63,0.05,1.0,1.0,20,0.083381
200,31,0.01,0.8,1.0,20,0.085269
300,63,0.1,1.0,0.8,20,0.083448
500,31,0.01,0.8,0.8,20,0.082039
200,63,0.01,0.6,0.8,30,0.085815
200,31,0.01,0.8,0.8,20,0.085479
300,63,0.01,1.0,0.6,30,0.080773
100,31,0.01,0.6,0.8,20,0.110171
300,63,0.05,0.8,1.0,20,0.083715
200,127,0.01,0.6,0.8,10,0.085222
300,127,0.1,0.8,0.8,20,0.084214
200,127,0.05,0.8,1.0,30,0.08158
500,63,0.1,0.6,0.8,20,0.083467
500,31,0.01,1.0,1.0,10,0.081752
100,127,0.2,1.0,0.6,30,0.085795
200,31,0.1,0.8,0.6,20,0.086977
200,127,0.1,0.8,0.8,20,0.084003
200,63,0.01,0.8,0.8,20,0.085597
100,63,0.01,0.8,0.6,30,0.109575
500,63,0.2,1.0,1.0,20,0.085035
500,63,0.05,0.6,0.8,10,0.082859
200,127,0.2,1.0,0.8,10,0.086145
100,63,0.01,0.8,0.6,10,0.108423
100,31,0.2,1.0,0.8,10,0.083869
500,127,0.01,0.6,1.0,30,0.081881
500,31,0.01,0.6,0.8,20,0.082039
500,31,0.1,0.6,0.8,10,0.082795
500,63,0.01,0.6,1.0,20,0.083342
100,127,0.2,1.0,1.0,20,0.085497
100,63,0.01,0.6,1.0,30,0.110708
500,31,0.1,0.8,0.8,30,0.082444
100,63,0.1,0.6,0.6,30,0.082715
200,31,0.1,0.6,0.6,30,0.084698
100,63,0.05,0.6,0.8,30,0.080761
500,127,0.05,0.6,0.8,10,0.084056
100,63,0.05,0.6,0.8,20,0.08248
200,63,0.05,1.0,0.8,20,0.083452
300,63,0.1,0.8,1.0,20,0.083027
100,127,0.05,0.6,0.6,30,0.08187
500,63,0.2,0.6,0.8,30,0.08551
200,63,0.1,1.0,0.6,10,0.08298
500,63,0.2,1.0,1.0,10,0.084877
500,127,0.05,0.6,0.6,30,0.082582
100,31,0.2,0.6,0.6,10,0.084646
500,127,0.1,1.0,1.0,30,0.083009
100,63,0.1,0.6,0.8,30,0.082557
300,63,0.2,1.0,0.8,10,0.084522
500,63,0.1,1.0,0.8,30,0.083855
500,31,0.2,0.8,1.0,30,0.088042
200,127,0.2,1.0,1.0,30,0.084937
200,63,0.2,1.0,0.8,10,0.084513
200,31,0.2,0.8,0.8,20,0.085004
200,127,0.2,1.0,0.8,20,0.086026
200,63,0.1,0.6,0.6,30,0.083816
100,127,0.05,1.0,1.0,20,0.081932
200,127,0.1,1.0,0.6,30,0.083816
300,127,0.1,1.0,0.6,10,0.08457
100,63,0.05,0.8,0.8,20,0.08248
100,31,0.01,1.0,0.6,20,0.109818
300,127,0.1,1.0,0.6,30,0.08416
500,127,0.2,0.6,0.8,10,0.086138
500,63,0.1,1.0,0.6,20,0.085831
100,63,0.2,0.8,1.0,10,0.084693
100,63,0.05,0.8,1.0,10,0.082489
500,63,0.01,1.0,0.8,10,0.082547
200,63,0.01,0.6,0.8,20,0.085597
500,31,0.1,0.8,0.6,20,0.087875
100,127,0.1,0.6,0.6,20,0.082516
300,31,0.1,0.8,0.8,10,0.082565
200,63,0.1,0.8,0.8,30,0.083389
300,63,0.01,0.6,0.6,10,0.081391
200,127,0.05,0.8,1.0,20,0.083323
500,63,0.05,0.6,0.8,30,0.08203
200,127,0.1,1.0,1.0,20,0.085328
500,127,0.1,0.8,0.6,20,0.083685
100,31,0.01,0.8,1.0,20,0.109943
500,63,0.1,0.6,0.6,20,0.085831
