hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.080175
32,0.1,0.0005,0.080318
32,0.2,0.001,0.094009
32,0.2,0.0005,0.079862
64,0.1,0.001,0.07815
64,0.1,0.0005,0.079178
64,0.2,0.001,0.086873
64,0.2,0.0005,0.083743
