iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
500,6,0.1,5,0.0,0.073677
100,8,0.05,5,0.0,0.071708
100,4,0.1,1,0.5,0.073095
500,10,0.2,3,0.0,0.072849
200,6,0.2,3,1.0,0.07535
200,6,0.01,7,0.5,0.075327
200,4,0.2,1,0.0,0.07679
100,8,0.2,7,0.5,0.074127
500,10,0.1,7,0.5,0.072239
100,8,0.01,5,1.0,0.088418
500,8,0.05,5,1.0,0.071711
300,10,0.1,5,0.0,0.072827
100,6,0.2,3,1.0,0.074339
500,4,0.1,3,0.5,0.075369
300,6,0.01,1,0.0,0.072145
100,4,0.1,5,1.0,0.07265
100,4,0.1,5,0.0,0.07265
100,6,0.2,7,1.0,0.07372
200,4,0.1,5,0.5,0.073226
200,4,0.2,7,0.5,0.076311
300,8,0.2,1,0.5,0.075059
500,4,0.2,3,0.5,0.078071
100,4,0.1,3,0.0,0.072118
300,10,0.2,7,0.5,0.073412
200,4,0.01,7,1.0,0.075539
500,10,0.05,1,0.5,0.072153
500,6,0.2,3,1.0,0.077316
500,8,0.2,7,0.5,0.076189
500,10,0.2,1,0.0,0.075313
300,4,0.2,7,0.0,0.077168
200,4,0.1,7,0.0,0.072913
300,6,0.1,3,0.0,0.073005
500,4,0.1,3,0.0,0.075369
200,6,0.2,5,1.0,0.074475
100,4,0.01,5,0.0,0.088603
100,10,0.05,5,0.5,0.072996
500,8,0.2,5,0.0,0.076038
500,10,0.1,7,0.0,0.072239
200,10,0.05,1,0.0,0.071661
500,10,0.05,1,1.0,0.072153
100,10,0.05,3,0.0,0.073201
200,4,0.1,3,0.5,0.07342
200,10,0.01,5,1.0,0.076676
500,10,0.2,1,1.0,0.075313
100,6,0.2,7,0.5,0.07372
300,4,0.01,3,1.0,0.072668
100,8,0.01,3,0.0,0.087469
200,10,0.1,5,0.5,0.072967
200,10,0.05,3,0.5,0.072796
500,4,0.2,5,0.0,0.078158
200,6,0.1,5,0.0,0.072126
100,4,0.2,5,1.0,0.072939
300,6,0.2,1,1.0,0.077964
300,10,0.05,7,0.0,0.072449
100,8,0.1,5,0.5,0.071365
300,4,0.01,3,0.0,0.072668
100,6,0.1,5,1.0,0.07188
300,10,0.2,1,0.5,0.07532
200,8,0.05,1,0.0,0.071139
500,6,0.05,5,0.5,0.073172
500,6,0.01,7,0.0,0.071722
200,10,0.1,7,0.5,0.072019
500,4,0.05,3,0.0,0.07282
200,4,0.01,3,0.5,0.075266
100,6,0.05,7,1.0,0.072372
100,4,0.2,7,0.5,0.073864
500,8,0.01,3,1.0,0.071389
200,4,0.2,3,1.0,0.074761
200,8,0.01,5,1.0,0.07489
100,6,0.1,7,0.0,0.072913
500,10,0.1,3,0.5,0.073173
100,8,0.01,5,0.5,0.088418
500,10,0.01,1,1.0,0.072399
500,10,0.01,5,1.0,0.07249
300,6,0.1,5,1.0,0.072888
500,6,0.1,1,1.0,0.074326
200,10,0.2,1,0.5,0.075335
100,10,0.05,7,0.5,0.073245
200,10,0.2,5,0.5,0.073286
200,10,0.1,3,0.0,0.072594
200,4,0.05,7,0.5,0.072149
500,8,0.05,1,1.0,0.072617
200,6,0.1,7,0.0,0.073206
500,6,0.2,3,0.0,0.077316
100,6,0.1,1,0.5,0.07214
500,4,0.2,7,1.0,0.078811
500,10,0.2,1,0.5,0.075313
