filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.072189
32,32,0.1,0.001,5,0.068516
32,32,0.1,0.0005,3,0.07391
32,32,0.1,0.0005,5,0.067701
32,32,0.2,0.001,3,0.070153
32,32,0.2,0.001,5,0.069951
32,32,0.2,0.0005,3,0.06999
32,32,0.2,0.0005,5,0.072933
32,64,0.1,0.001,3,0.068456
32,64,0.1,0.001,5,0.067642
32,64,0.1,0.0005,3,0.071828
32,64,0.1,0.0005,5,0.068043
32,64,0.2,0.001,3,0.069811
32,64,0.2,0.001,5,0.067894
32,64,0.2,0.0005,3,0.070251
32,64,0.2,0.0005,5,0.067931
64,32,0.1,0.001,3,0.071201
64,32,0.1,0.001,5,0.071116
64,32,0.1,0.0005,3,0.072782
64,32,0.1,0.0005,5,0.068508
64,32,0.2,0.001,3,0.075899
64,32,0.2,0.001,5,0.070366
64,32,0.2,0.0005,3,0.073487
64,32,0.2,0.0005,5,0.06917
64,64,0.1,0.001,3,0.069665
64,64,0.1,0.001,5,0.066924
64,64,0.1,0.0005,3,0.069585
64,64,0.1,0.0005,5,0.06766
64,64,0.2,0.001,3,0.070679
64,64,0.2,0.001,5,0.06813
64,64,0.2,0.0005,3,0.070132
64,64,0.2,0.0005,5,0.067531
