n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,val_rmse
100,127,0.01,0.8,0.8,10,0.084188
100,31,0.05,1.0,1.0,10,0.074423
200,127,0.01,1.0,0.8,30,0.073493
200,63,0.1,0.8,1.0,10,0.077662
200,63,0.01,1.0,1.0,20,0.072879
100,127,0.1,0.8,1.0,10,0.079054
100,63,0.2,1.0,0.6,30,0.078776
500,63,0.05,0.8,0.6,10,0.077315
100,63,0.1,0.8,1.0,20,0.077281
500,127,0.01,1.0,0.8,10,0.075992
300,127,0.01,0.6,0.6,10,0.072896
100,31,0.1,0.8,0.6,30,0.073918
100,31,0.1,0.6,1.0,20,0.075185
100,63,0.2,0.6,0.6,30,0.078776
200,63,0.01,0.8,1.0,10,0.074484
200,63,0.05,0.8,1.0,30,0.075682
500,31,0.1,0.6,1.0,30,0.078448
500,127,0.05,0.8,1.0,30,0.076663
100,31,0.1,0.6,0.6,10,0.076011
500,63,0.1,0.8,1.0,10,0.078027
200,31,0.2,0.6,0.6,30,0.080761
300,63,0.2,1.0,0.8,20,0.079752
200,63,0.01,1.0,0.6,20,0.073014
300,127,0.1,0.6,0.6,20,0.075834
500,127,0.01,1.0,0.6,10,0.074042
200,127,0.05,0.6,0.6,30,0.07528
100,31,0.01,0.8,0.8,20,0.085313
200,31,0.01,0.6,0.6,30,0.073406
300,127,0.01,0.6,0.6,20,0.072397
300,31,0.05,1.0,0.8,10,0.07567
100,127,0.2,1.0,0.8,10,0.079329
200,63,0.01,0.6,1.0,30,0.073807
300,31,0.05,0.8,0.8,30,0.07603
100,63,0.2,0.6,0.6,10,0.081251
300,63,0.01,1.0,0.8,20,0.072658
100,63,0.2,0.8,0.6,10,0.081251
300,31,0.2,0.6,1.0,10,0.079525
300,31,0.1,0.6,0.6,30,0.076468
500,127,0.05,1.0,0.8,10,0.078252
200,127,0.01,0.6,0.6,20,0.073071
100,31,0.2,0.6,1.0,20,0.077478
300,127,0.1,1.0,0.8,20,0.077695
500,63,0.01,1.0,0.6,10,0.074656
100,127,0.05,0.8,0.8,10,0.076762
300,63,0.01,1.0,0.6,20,0.072548
100,63,0.05,1.0,1.0,30,0.07445
500,63,0.05,1.0,0.8,30,0.076704
200,127,0.1,0.6,1.0,10,0.079741
500,127,0.2,1.0,0.6,10,0.080961
500,127,0.1,1.0,1.0,10,0.080037
300,31,0.2,0.8,0.6,30,0.08101
