n_estimators,learning_rate,loss,base_max_depth,val_rmse
50,0.01,linear,2,0.09624
50,0.01,linear,3,0.091709
50,0.01,linear,4,0.087455
50,0.01,linear,5,0.08471
50,0.01,square,2,0.096255
50,0.01,square,3,0.091103
50,0.01,square,4,0.087829
50,0.01,square,5,0.08605
50,0.01,exponential,2,0.096153
50,0.01,exponential,3,0.092001
50,0.01,exponential,4,0.087457
50,0.01,exponential,5,0.084448
50,0.05,linear,2,0.090631
50,0.05,linear,3,0.089577
50,0.05,linear,4,0.086331
50,0.05,linear,5,0.083738
50,0.05,square,2,0.089923
50,0.05,square,3,0.090334
50,0.05,square,4,0.086375
50,0.05,square,5,0.084363
50,0.05,exponential,2,0.09111
50,0.05,exponential,3,0.089943
50,0.05,exponential,4,0.085887
50,0.05,exponential,5,0.08503
50,0.1,linear,2,0.089856
50,0.1,linear,3,0.087782
50,0.1,linear,4,0.08466
50,0.1,linear,5,0.082643
50,0.1,square,2,0.08865
50,0.1,square,3,0.087218
50,0.1,square,4,0.085733
50,0.1,square,5,0.082964
50,0.1,exponential,2,0.090185
50,0.1,exponential,3,0.087875
50,0.1,exponential,4,0.085358
50,0.1,exponential,5,0.083694
50,0.5,linear,2,0.088431
50,0.5,linear,3,0.085986
50,0.5,linear,4,0.084151
50,0.5,linear,5,0.082384
50,0.5,square,2,0.089906
50,0.5,square,3,0.086416
50,0.5,square,4,0.083024
50,0.5,square,5,0.083364
50,0.5,exponential,2,0.088478
50,0.5,exponential,3,0.086309
50,0.5,exponential,4,0.083599
50,0.5,exponential,5,0.08293
50,1.0,linear,2,0.091288
50,1.0,linear,3,0.084915
50,1.0,linear,4,0.083007
50,1.0,linear,5,0.081392
50,1.0,square,2,0.091406
50,1.0,square,3,0.086669
50,1.0,square,4,0.08284
50,1.0,square,5,0.082985
50,1.0,exponential,2,0.089415
50,1.0,exponential,3,0.085799
50,1.0,exponential,4,0.083686
50,1.0,exponential,5,0.083406
100,0.01,linear,2,0.094388
100,0.01,linear,3,0.090607
100,0.01,linear,4,0.086771
100,0.01,linear,5,0.084516
100,0.01,square,2,0.093089
