n_estimators,learning_rate,loss,base_max_depth,val_rmse
50,0.01,linear,2,0.097733
50,0.01,linear,3,0.085374
50,0.01,linear,4,0.082557
50,0.01,linear,5,0.079156
50,0.01,square,2,0.099676
50,0.01,square,3,0.087446
50,0.01,square,4,0.082817
50,0.01,square,5,0.079563
50,0.01,exponential,2,0.099755
50,0.01,exponential,3,0.085645
50,0.01,exponential,4,0.082669
50,0.01,exponential,5,0.080501
50,0.05,linear,2,0.093755
50,0.05,linear,3,0.084188
50,0.05,linear,4,0.080625
50,0.05,linear,5,0.077864
50,0.05,square,2,0.092903
50,0.05,square,3,0.084676
50,0.05,square,4,0.080497
50,0.05,square,5,0.077628
50,0.05,exponential,2,0.095383
50,0.05,exponential,3,0.084529
50,0.05,exponential,4,0.081899
50,0.05,exponential,5,0.078354
50,0.1,linear,2,0.092664
50,0.1,linear,3,0.084019
50,0.1,linear,4,0.080372
50,0.1,linear,5,0.076623
50,0.1,square,2,0.092324
50,0.1,square,3,0.083748
50,0.1,square,4,0.080782
50,0.1,square,5,0.07856
50,0.1,exponential,2,0.092068
50,0.1,exponential,3,0.083465
50,0.1,exponential,4,0.079651
50,0.1,exponential,5,0.078572
50,0.5,linear,2,0.091625
50,0.5,linear,3,0.08353
50,0.5,linear,4,0.079998
50,0.5,linear,5,0.079004
50,0.5,square,2,0.092075
50,0.5,square,3,0.083797
50,0.5,square,4,0.081313
50,0.5,square,5,0.079302
50,0.5,exponential,2,0.089779
50,0.5,exponential,3,0.082989
50,0.5,exponential,4,0.080793
50,0.5,exponential,5,0.079605
50,1.0,linear,2,0.092248
50,1.0,linear,3,0.083252
50,1.0,linear,4,0.081617
50,1.0,linear,5,0.08108
50,1.0,square,2,0.089348
50,1.0,square,3,0.08309
50,1.0,square,4,0.080893
50,1.0,square,5,0.07947
50,1.0,exponential,2,0.091163
50,1.0,exponential,3,0.083804
50,1.0,exponential,4,0.0808
50,1.0,exponential,5,0.078873
100,0.01,linear,2,0.097336
100,0.01,linear,3,0.085145
100,0.01,linear,4,0.082479
100,0.01,linear,5,0.078791
100,0.01,square,2,0.095508
100,0.01,square,3,0.085696
100,0.01,square,4,0.08221
100,0.01,square,5,0.078609
100,0.01,exponential,2,0.097721
100,0.01,exponential,3,0.085445
100,0.01,exponential,4,0.082211
100,0.01,exponential,5,0.079442
100,0.05,linear,2,0.091675
100,0.05,linear,3,0.083656
100,0.05,linear,4,0.07962
100,0.05,linear,5,0.077121
100,0.05,square,2,0.09172
100,0.05,square,3,0.083137
100,0.05,square,4,0.079926
100,0.05,square,5,0.077614
100,0.05,exponential,2,0.092348
100,0.05,exponential,3,0.083935
100,0.05,exponential,4,0.080942
100,0.05,exponential,5,0.077238
100,0.1,linear,2,0.091257
100,0.1,linear,3,0.0832
100,0.1,linear,4,0.079449
100,0.1,linear,5,0.077665
100,0.1,square,2,0.092637
100,0.1,square,3,0.083216
100,0.1,square,4,0.081022
100,0.1,square,5,0.078352
100,0.1,exponential,2,0.090551
100,0.1,exponential,3,0.083646
100,0.1,exponential,4,0.079355
100,0.1,exponential,5,0.078107
100,0.5,linear,2,0.091625
100,0.5,linear,3,0.08358
100,0.5,linear,4,0.080918
100,0.5,linear,5,0.079809
100,0.5,square,2,0.090399
100,0.5,square,3,0.082921
100,0.5,square,4,0.079911
100,0.5,square,5,0.079701
100,0.5,exponential,2,0.089697
100,0.5,exponential,3,0.082583
100,0.5,exponential,4,0.081109
100,0.5,exponential,5,0.080375
100,1.0,linear,2,0.092248
100,1.0,linear,3,0.084621
100,1.0,linear,4,0.082627
100,1.0,linear,5,0.08098
100,1.0,square,2,0.090517
100,1.0,square,3,0.083678
100,1.0,square,4,0.082091
100,1.0,square,5,0.078425
100,1.0,exponential,2,0.090526
100,1.0,exponential,3,0.08453
100,1.0,exponential,4,0.081704
100,1.0,exponential,5,0.08028
200,0.01,linear,2,0.09508
200,0.01,linear,3,0.084215
200,0.01,linear,4,0.081826
200,0.01,linear,5,0.078594
200,0.01,square,2,0.093127
200,0.01,square,3,0.084564
200,0.01,square,4,0.081624
200,0.01,square,5,0.078234
200,0.01,exponential,2,0.095655
200,0.01,exponential,3,0.084235
200,0.01,exponential,4,0.081717
200,0.01,exponential,5,0.078506
200,0.05,linear,2,0.091217
200,0.05,linear,3,0.083345
200,0.05,linear,4,0.079763
200,0.05,linear,5,0.077428
200,0.05,square,2,0.092431
200,0.05,square,3,0.082932
200,0.05,square,4,0.079816
200,0.05,square,5,0.078202
200,0.05,exponential,2,0.090852
200,0.05,exponential,3,0.083389
200,0.05,exponential,4,0.079924
200,0.05,exponential,5,0.077373
200,0.1,linear,2,0.091473
200,0.1,linear,3,0.083016
200,0.1,linear,4,0.07939
200,0.1,linear,5,0.078203
200,0.1,square,2,0.091067
200,0.1,square,3,0.083526
200,0.1,square,4,0.080582
200,0.1,square,5,0.079093
200,0.1,exponential,2,0.091667
200,0.1,exponential,3,0.083076
200,0.1,exponential,4,0.079252
200,0.1,exponential,5,0.077905
200,0.5,linear,2,0.091625
200,0.5,linear,3,0.083177
200,0.5,linear,4,0.080882
200,0.5,linear,5,0.079876
200,0.5,square,2,0.09165
200,0.5,square,3,0.083305
200,0.5,square,4,0.08012
200,0.5,square,5,0.079842
200,0.5,exponential,2,0.090775
200,0.5,exponential,3,0.083967
200,0.5,exponential,4,0.080962
200,0.5,exponential,5,0.080009
200,1.0,linear,2,0.092248
200,1.0,linear,3,0.084687
200,1.0,linear,4,0.08228
200,1.0,linear,5,0.080084
200,1.0,square,2,0.092236
200,1.0,square,3,0.083529
200,1.0,square,4,0.08046
200,1.0,square,5,0.07874
200,1.0,exponential,2,0.093456
200,1.0,exponential,3,0.084634
200,1.0,exponential,4,0.081875
200,1.0,exponential,5,0.080125
300,0.01,linear,2,0.093121
300,0.01,linear,3,0.083788
300,0.01,linear,4,0.0812
300,0.01,linear,5,0.078049
300,0.01,square,2,0.092885
300,0.01,square,3,0.084567
300,0.01,square,4,0.080679
300,0.01,square,5,0.077929
300,0.01,exponential,2,0.094233
300,0.01,exponential,3,0.083841
300,0.01,exponential,4,0.081146
300,0.01,exponential,5,0.078171
300,0.05,linear,2,0.090784
300,0.05,linear,3,0.083014
300,0.05,linear,4,0.079963
300,0.05,linear,5,0.077991
300,0.05,square,2,0.091648
300,0.05,square,3,0.082769
300,0.05,square,4,0.080169
300,0.05,square,5,0.078539
300,0.05,exponential,2,0.090887
300,0.05,exponential,3,0.083361
300,0.05,exponential,4,0.07964
300,0.05,exponential,5,0.078072
300,0.1,linear,2,0.091029
300,0.1,linear,3,0.082772
300,0.1,linear,4,0.079951
300,0.1,linear,5,0.078928
300,0.1,square,2,0.090583
300,0.1,square,3,0.083633
300,0.1,square,4,0.080783
300,0.1,square,5,0.078847
300,0.1,exponential,2,0.09094
300,0.1,exponential,3,0.083284
300,0.1,exponential,4,0.07949
300,0.1,exponential,5,0.07859
300,0.5,linear,2,0.091625
