filters,lstm_units,dropout,lr,kernel_size,val_rmse
32,32,0.1,0.001,3,0.10061
32,32,0.1,0.001,5,0.098783
32,32,0.1,0.0005,3,0.100367
32,32,0.1,0.0005,5,0.097865
32,32,0.2,0.001,3,0.099514
32,32,0.2,0.001,5,0.101636
32,32,0.2,0.0005,3,0.099837
32,32,0.2,0.0005,5,0.099566
32,64,0.1,0.001,3,0.098785
32,64,0.1,0.001,5,0.098037
32,64,0.1,0.0005,3,0.100893
32,64,0.1,0.0005,5,0.097514
32,64,0.2,0.001,3,0.099152
32,64,0.2,0.001,5,0.098711
32,64,0.2,0.0005,3,0.099226
32,64,0.2,0.0005,5,0.098693
64,32,0.1,0.001,3,0.098729
64,32,0.1,0.001,5,0.099133
64,32,0.1,0.0005,3,0.09979
64,32,0.1,0.0005,5,0.098436
64,32,0.2,0.001,3,0.100738
64,32,0.2,0.001,5,0.100673
64,32,0.2,0.0005,3,0.101785
64,32,0.2,0.0005,5,0.099141
64,64,0.1,0.001,3,0.0996
64,64,0.1,0.001,5,0.098945
64,64,0.1,0.0005,3,0.098775
64,64,0.1,0.0005,5,0.098021
64,64,0.2,0.001,3,0.099772
64,64,0.2,0.001,5,0.098636
64,64,0.2,0.0005,3,0.099006
64,64,0.2,0.0005,5,0.098421
