n_estimators,learning_rate,minibatch_frac,col_sample,base_max_depth,val_rmse
500,0.01,0.5,0.5,5,0.081807
100,0.05,0.75,1.0,3,0.081427
100,0.01,0.75,0.5,2,0.096099
500,0.05,0.75,0.75,5,0.085353
200,0.01,1.0,1.0,2,0.084456
200,0.01,0.75,0.75,3,0.082417
200,0.01,0.5,0.75,4,0.081185
100,0.05,1.0,1.0,5,0.085133
500,0.05,0.75,0.75,3,0.086105
100,0.05,0.75,0.75,2,0.082464
500,0.01,0.75,1.0,4,0.083155
500,0.1,1.0,1.0,2,0.085724
300,0.05,1.0,0.5,5,0.086231
100,0.05,0.5,1.0,2,0.081804
300,0.1,0.75,0.5,4,0.089905
300,0.01,0.5,0.5,2,0.082004
100,0.01,0.75,0.75,2,0.095943
100,0.01,0.75,0.5,5,0.084459
100,0.05,0.5,1.0,5,0.083501
200,0.01,0.5,0.5,5,0.081274
200,0.01,0.5,1.0,5,0.080971
300,0.05,0.5,0.75,4,0.085582
300,0.1,0.75,1.0,2,0.082988
100,0.01,0.75,0.5,3,0.088725
300,0.05,1.0,1.0,5,0.087506
100,0.1,1.0,0.75,3,0.083181
500,0.05,0.5,0.75,4,0.086705
500,0.01,0.5,1.0,2,0.08157
500,0.01,1.0,1.0,5,0.08518
500,0.1,0.75,1.0,5,0.093344
200,0.1,1.0,1.0,4,0.087748
200,0.01,0.5,0.75,2,0.083437
300,0.01,0.75,0.5,3,0.081618
300,0.1,0.75,0.5,3,0.088256
200,0.01,1.0,1.0,4,0.082643
100,0.01,0.5,0.5,5,0.084429
500,0.05,1.0,0.75,2,0.084042
100,0.1,0.5,1.0,3,0.086818
500,0.01,1.0,1.0,3,0.08227
500,0.1,0.75,1.0,2,0.084733
200,0.05,1.0,0.75,4,0.085061
500,0.1,0.5,0.5,3,0.088475
100,0.1,0.5,0.75,5,0.089294
200,0.01,0.5,0.5,4,0.08199
200,0.05,1.0,0.75,2,0.083392
500,0.1,1.0,0.5,4,0.086288
500,0.1,0.75,0.75,3,0.087098
200,0.1,0.75,0.5,4,0.088129
100,0.05,0.75,0.5,3,0.080844
200,0.1,0.5,0.5,5,0.087247
200,0.05,1.0,1.0,2,0.082109
300,0.1,0.75,1.0,3,0.085245
200,0.01,1.0,0.5,5,0.082926
100,0.01,0.75,1.0,4,0.085695
500,0.05,0.75,0.5,3,0.083589
300,0.01,0.75,0.75,5,0.083124
300,0.05,0.75,1.0,4,0.084358
100,0.05,1.0,0.5,5,0.084932
200,0.1,0.75,0.5,3,0.086129
100,0.05,0.5,0.75,2,0.082764
300,0.05,1.0,0.75,4,0.08564
200,0.05,0.5,0.75,4,0.084796
300,0.1,1.0,1.0,3,0.085125
300,0.1,1.0,0.75,2,0.084872
200,0.1,0.5,0.75,3,0.087721
300,0.1,0.5,0.75,5,0.092272
100,0.1,1.0,0.5,4,0.08346
500,0.05,0.5,0.5,2,0.08375
100,0.01,1.0,1.0,5,0.087102
100,0.01,0.75,1.0,5,0.084545
500,0.01,0.75,0.5,4,0.082408
200,0.01,0.5,1.0,2,0.083611
200,0.05,0.5,0.75,2,0.083024
500,0.05,0.75,0.5,2,0.082003
500,0.1,0.75,0.5,5,0.086312
100,0.05,0.75,0.5,5,0.083578
500,0.05,1.0,0.5,2,0.083328
500,0.05,1.0,0.75,4,0.086152
300,0.01,0.75,0.75,2,0.082774
500,0.01,0.5,0.5,3,0.081494
200,0.1,0.5,0.75,4,0.088683
100,0.1,0.5,1.0,5,0.089021
200,0.1,0.5,1.0,3,0.088467
200,0.1,0.5,0.5,3,0.084747
100,0.1,1.0,1.0,5,0.084181
500,0.01,0.75,0.75,5,0.083677
200,0.01,1.0,0.75,2,0.084492
500,0.01,0.5,0.75,5,0.08197
100,0.05,0.5,0.5,2,0.082154
300,0.1,0.75,1.0,5,0.092784
500,0.01,1.0,0.75,2,0.082515
100,0.1,0.75,0.5,5,0.084594
300,0.05,0.75,1.0,3,0.081659
500,0.1,1.0,0.75,4,0.088483
500,0.01,1.0,0.5,4,0.082984
300,0.01,0.75,1.0,2,0.083083
500,0.01,1.0,0.75,5,0.084219
200,0.01,1.0,0.75,4,0.082086
500,0.1,1.0,1.0,5,0.086881
300,0.05,1.0,1.0,3,0.084287
500,0.1,0.5,0.75,2,0.083369
200,0.05,0.75,1.0,4,0.083171
100,0.01,1.0,0.75,2,0.097528
200,0.01,0.5,1.0,3,0.081937
500,0.1,0.75,0.75,5,0.086792
200,0.05,0.75,0.75,3,0.083389
200,0.1,1.0,0.5,3,0.086044
200,0.01,1.0,0.75,3,0.082282
100,0.01,1.0,1.0,3,0.090803
200,0.01,0.5,0.5,2,0.083208
300,0.1,0.5,0.5,4,0.090485
500,0.01,0.5,0.5,4,0.0821
300,0.1,1.0,1.0,4,0.088242
300,0.05,0.5,0.5,5,0.086406
200,0.1,0.75,1.0,4,0.088918
300,0.01,0.75,0.75,4,0.082259
100,0.1,0.5,0.5,3,0.084358
500,0.1,1.0,0.5,2,0.08596
500,0.1,1.0,0.75,2,0.087042
200,0.01,0.75,0.75,4,0.08238
500,0.1,0.5,1.0,5,0.092756
300,0.05,0.75,1.0,5,0.085623
200,0.01,1.0,0.5,4,0.082572
300,0.1,0.5,1.0,5,0.091883
300,0.01,0.5,0.5,5,0.081687
300,0.1,0.5,1.0,4,0.091372
200,0.1,1.0,0.5,2,0.083773
500,0.05,0.5,0.75,5,0.086809
500,0.01,0.75,1.0,2,0.082633
100,0.05,1.0,1.0,4,0.084328
300,0.05,0.5,1.0,2,0.081606
300,0.05,0.5,0.5,2,0.082887
100,0.05,0.5,1.0,4,0.082418
100,0.01,1.0,0.5,2,0.096901
100,0.05,0.75,1.0,2,0.082176
100,0.1,0.5,0.75,4,0.087331
500,0.05,1.0,1.0,4,0.086959
500,0.05,1.0,1.0,2,0.082798
100,0.01,1.0,1.0,2,0.09713
200,0.1,0.75,0.75,3,0.083958
200,0.1,0.75,0.5,5,0.085207
300,0.01,0.75,1.0,5,0.082628
300,0.05,0.75,0.75,4,0.084452
200,0.01,0.75,1.0,2,0.084202
300,0.05,1.0,0.75,5,0.084803
100,0.01,0.5,0.75,3,0.088418
100,0.05,0.75,1.0,4,0.082663
500,0.05,0.75,0.5,5,0.086137
500,0.01,0.75,1.0,3,0.081766
500,0.05,1.0,0.75,5,0.085253
500,0.1,1.0,1.0,4,0.089563
500,0.05,0.5,1.0,4,0.085042
300,0.01,0.5,0.75,4,0.081141
100,0.1,0.5,1.0,2,0.083284
500,0.01,1.0,0.75,3,0.081572
100,0.01,0.5,0.5,3,0.087554
500,0.05,0.75,1.0,2,0.082787
300,0.05,0.5,0.75,2,0.083324
100,0.1,0.75,0.75,5,0.08476
300,0.05,0.5,0.75,5,0.086118
100,0.05,0.75,0.75,4,0.081944
200,0.05,0.5,1.0,2,0.081386
300,0.05,0.75,1.0,2,0.08244
500,0.1,0.5,1.0,4,0.092841
300,0.1,0.5,1.0,2,0.086048
200,0.1,0.5,1.0,5,0.09091
100,0.1,0.5,1.0,4,0.086416
100,0.01,0.5,0.5,2,0.092953
200,0.05,0.75,1.0,3,0.081484
300,0.01,1.0,1.0,4,0.082753
100,0.01,0.5,1.0,3,0.087648
300,0.05,1.0,0.75,3,0.083707
300,0.1,0.75,0.75,2,0.085639
200,0.05,0.75,0.5,3,0.081827
200,0.01,0.75,0.5,4,0.082061
100,0.01,1.0,0.75,3,0.090414
200,0.01,0.75,0.5,5,0.082402
300,0.01,0.5,1.0,2,0.081922
200,0.05,0.5,0.5,3,0.085133
300,0.01,1.0,0.5,4,0.082698
100,0.01,0.75,1.0,2,0.094838
100,0.01,0.75,1.0,3,0.089241
200,0.1,0.5,0.75,5,0.091511
200,0.01,0.75,0.75,2,0.084286
200,0.1,1.0,0.75,2,0.083625
100,0.01,0.75,0.75,3,0.088426
500,0.01,0.5,1.0,5,0.081954
500,0.01,0.75,0.75,4,0.0824
200,0.1,0.75,0.75,2,0.084082
300,0.1,0.5,0.75,3,0.08886
300,0.1,0.75,0.5,2,0.083373
200,0.05,1.0,0.5,2,0.082362
200,0.01,0.75,0.5,3,0.082101
500,0.1,1.0,0.75,5,0.089374
100,0.05,0.5,0.75,4,0.084035
100,0.05,1.0,0.75,5,0.083974
300,0.1,1.0,0.5,4,0.085522
300,0.01,0.5,0.75,5,0.081633
200,0.05,0.5,1.0,5,0.08515
300,0.1,1.0,0.75,5,0.089026
300,0.05,0.75,0.75,5,0.084424
500,0.01,0.5,1.0,4,0.081618
500,0.1,1.0,0.5,5,0.088426
500,0.01,1.0,0.5,5,0.083371
500,0.05,0.75,1.0,3,0.082754
500,0.01,1.0,1.0,2,0.082487
200,0.1,0.5,0.5,4,0.089291
500,0.05,1.0,0.75,3,0.0849
100,0.1,1.0,0.75,4,0.085028
200,0.05,1.0,0.5,5,0.085821
500,0.01,0.5,0.75,4,0.081251
100,0.1,0.75,1.0,5,0.089733
300,0.1,0.75,0.5,5,0.086101
200,0.01,1.0,0.5,2,0.084256
200,0.01,0.5,0.75,5,0.081466
100,0.01,1.0,0.75,4,0.086821
500,0.05,0.75,0.5,4,0.084514
500,0.1,0.5,0.5,4,0.091775
500,0.01,0.5,1.0,3,0.082005
100,0.1,0.75,0.5,4,0.086476
300,0.05,1.0,1.0,4,0.085769
300,0.05,1.0,0.75,2,0.083294
200,0.01,1.0,1.0,3,0.082808
500,0.1,0.5,1.0,2,0.087872
200,0.1,1.0,0.75,4,0.08649
300,0.1,0.5,1.0,3,0.090335
300,0.05,1.0,0.5,2,0.082502
100,0.01,0.75,0.75,4,0.085299
500,0.01,1.0,0.5,2,0.082088
300,0.1,1.0,1.0,2,0.083881
500,0.1,0.75,0.75,4,0.088096
300,0.01,1.0,0.75,5,0.084056
300,0.01,1.0,0.75,4,0.082084
100,0.01,0.5,1.0,2,0.093862
100,0.1,0.75,0.5,2,0.081738
300,0.1,0.75,0.75,3,0.085928
200,0.01,0.75,1.0,5,0.082295
100,0.05,1.0,0.5,2,0.081287
300,0.1,1.0,0.5,3,0.086787
500,0.1,0.5,0.75,4,0.091719
300,0.01,1.0,1.0,2,0.083281
300,0.01,0.75,0.5,5,0.082751
300,0.01,0.75,0.5,4,0.082169
300,0.1,1.0,1.0,5,0.086426
300,0.05,0.75,0.75,3,0.084141
200,0.05,0.5,0.5,4,0.085313
200,0.05,0.5,0.5,5,0.08524
500,0.05,0.5,1.0,3,0.083636
100,0.05,1.0,0.5,4,0.083601
200,0.1,0.5,0.75,2,0.082757
100,0.1,1.0,1.0,2,0.082522
100,0.05,0.75,0.5,2,0.080898
300,0.1,0.75,0.75,4,0.086737
200,0.05,1.0,1.0,5,0.086604
300,0.01,1.0,0.5,2,0.082888
500,0.05,1.0,1.0,5,0.088077
100,0.1,0.75,0.75,4,0.083423
300,0.05,1.0,0.5,3,0.084419
100,0.1,1.0,1.0,3,0.083775
500,0.05,1.0,1.0,3,0.085077
500,0.1,0.75,0.5,2,0.084634
200,0.05,0.75,1.0,5,0.084742
300,0.05,0.5,1.0,5,0.08604
100,0.01,1.0,0.5,3,0.089416
200,0.1,0.75,1.0,3,0.083559
100,0.1,1.0,0.75,5,0.086149
200,0.1,1.0,1.0,2,0.083306
100,0.01,1.0,0.5,5,0.085417
200,0.1,1.0,1.0,5,0.085715
500,0.05,0.75,1.0,5,0.086329
200,0.1,0.5,0.5,2,0.085651
500,0.01,0.5,0.5,2,0.081583
500,0.1,1.0,0.75,3,0.085643
500,0.05,0.5,0.5,5,0.086906
500,0.05,0.5,1.0,5,0.087955
500,0.1,0.75,0.5,3,0.08904
500,0.1,0.5,0.5,5,0.0875
200,0.01,0.5,1.0,4,0.081187
200,0.05,0.75,0.75,5,0.08333
100,0.01,0.75,0.75,5,0.084698
200,0.01,0.5,0.75,3,0.081581
300,0.01,0.75,1.0,4,0.082926
200,0.05,1.0,1.0,3,0.083919
500,0.1,1.0,1.0,3,0.086202
500,0.01,1.0,0.5,3,0.082168
500,0.1,0.5,0.5,2,0.088033
500,0.05,0.5,0.5,4,0.087207
300,0.01,1.0,0.75,3,0.081561
300,0.01,0.75,1.0,3,0.081903
200,0.1,0.75,1.0,5,0.091774
300,0.05,0.75,0.5,4,0.083435
300,0.1,1.0,0.75,4,0.087339
200,0.1,0.5,1.0,4,0.089252
500,0.05,0.5,1.0,2,0.082084
200,0.05,1.0,0.5,4,0.083907
200,0.01,1.0,1.0,5,0.08408
100,0.1,1.0,0.5,3,0.08493
300,0.05,0.75,0.5,2,0.08165
100,0.1,1.0,0.5,5,0.086063
500,0.01,0.75,0.5,2,0.081872
