n_estimators,learning_rate,minibatch_frac,col_sample,base_max_depth,val_rmse
500,0.01,0.5,0.5,5,0.081058
100,0.05,0.75,1.0,3,0.081957
100,0.01,0.75,0.5,2,0.102528
500,0.05,0.75,0.75,5,0.083576
200,0.01,1.0,1.0,2,0.084224
200,0.01,0.75,0.75,3,0.082109
200,0.01,0.5,0.75,4,0.080958
100,0.05,1.0,1.0,5,0.082558
500,0.05,0.75,0.75,3,0.084347
100,0.05,0.75,0.75,2,0.08416
500,0.01,0.75,1.0,4,0.082075
500,0.1,1.0,1.0,2,0.084378
300,0.05,1.0,0.5,5,0.083381
100,0.05,0.5,1.0,2,0.084458
300,0.1,0.75,0.5,4,0.085052
300,0.01,0.5,0.5,2,0.082462
100,0.01,0.75,0.75,2,0.102309
100,0.01,0.75,0.5,5,0.085364
100,0.05,0.5,1.0,5,0.081419
200,0.01,0.5,0.5,5,0.080555
200,0.01,0.5,1.0,5,0.080346
300,0.05,0.5,0.75,4,0.084885
300,0.1,0.75,1.0,2,0.084932
100,0.01,0.75,0.5,3,0.09092
300,0.05,1.0,1.0,5,0.083591
100,0.1,1.0,0.75,3,0.08416
500,0.05,0.5,0.75,4,0.086029
500,0.01,0.5,1.0,2,0.082941
500,0.01,1.0,1.0,5,0.082866
500,0.1,0.75,1.0,5,0.084734
200,0.1,1.0,1.0,4,0.084608
200,0.01,0.5,0.75,2,0.083057
300,0.01,0.75,0.5,3,0.081305
300,0.1,0.75,0.5,3,0.085251
200,0.01,1.0,1.0,4,0.082321
100,0.01,0.5,0.5,5,0.08491
500,0.05,1.0,0.75,2,0.083002
100,0.1,0.5,1.0,3,0.083039
500,0.01,1.0,1.0,3,0.082117
500,0.1,0.75,1.0,2,0.085056
200,0.05,1.0,0.75,4,0.082704
500,0.1,0.5,0.5,3,0.089482
100,0.1,0.5,0.75,5,0.084261
200,0.01,0.5,0.5,4,0.080456
200,0.05,1.0,0.75,2,0.082058
500,0.1,1.0,0.5,4,0.085793
500,0.1,0.75,0.75,3,0.089144
200,0.1,0.75,0.5,4,0.08404
100,0.05,0.75,0.5,3,0.081813
200,0.1,0.5,0.5,5,0.085488
200,0.05,1.0,1.0,2,0.08197
300,0.1,0.75,1.0,3,0.08592
200,0.01,1.0,0.5,5,0.080002
100,0.01,0.75,1.0,4,0.086769
500,0.05,0.75,0.5,3,0.082819
