iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,val_rmse
500,6,0.1,5,0.0,0.083775
100,8,0.05,5,0.0,0.079063
100,4,0.1,1,0.5,0.078104
500,10,0.2,3,0.0,0.084717
200,6,0.2,3,1.0,0.08316
200,6,0.01,7,0.5,0.089609
200,4,0.2,1,0.0,0.085625
100,8,0.2,7,0.5,0.082072
500,10,0.1,7,0.5,0.082408
100,8,0.01,5,1.0,0.121317
500,8,0.05,5,1.0,0.081402
300,10,0.1,5,0.0,0.081932
100,6,0.2,3,1.0,0.081181
500,4,0.1,3,0.5,0.081688
300,6,0.01,1,0.0,0.080482
100,4,0.1,5,1.0,0.079003
100,4,0.1,5,0.0,0.079003
100,6,0.2,7,1.0,0.082004
200,4,0.1,5,0.5,0.080984
200,4,0.2,7,0.5,0.084291
300,8,0.2,1,0.5,0.088998
500,4,0.2,3,0.5,0.086389
100,4,0.1,3,0.0,0.078141
300,10,0.2,7,0.5,0.083762
200,4,0.01,7,1.0,0.089251
500,10,0.05,1,0.5,0.082576
500,6,0.2,3,1.0,0.08467
500,8,0.2,7,0.5,0.08705
500,10,0.2,1,0.0,0.088814
300,4,0.2,7,0.0,0.085983
200,4,0.1,7,0.0,0.080044
300,6,0.1,3,0.0,0.083107
500,4,0.1,3,0.0,0.081688
200,6,0.2,5,1.0,0.084184
100,4,0.01,5,0.0,0.120379
100,10,0.05,5,0.5,0.080935
500,8,0.2,5,0.0,0.08772
500,10,0.1,7,0.0,0.082408
200,10,0.05,1,0.0,0.081119
500,10,0.05,1,1.0,0.082576
100,10,0.05,3,0.0,0.080405
200,4,0.1,3,0.5,0.07871
200,10,0.01,5,1.0,0.091808
500,10,0.2,1,1.0,0.088814
100,6,0.2,7,0.5,0.082004
300,4,0.01,3,1.0,0.081125
100,8,0.01,3,0.0,0.118772
200,10,0.1,5,0.5,0.081075
200,10,0.05,3,0.5,0.080393
500,4,0.2,5,0.0,0.086068
200,6,0.1,5,0.0,0.080532
100,4,0.2,5,1.0,0.083057
300,6,0.2,1,1.0,0.08618
300,10,0.05,7,0.0,0.081627
100,8,0.1,5,0.5,0.079505
300,4,0.01,3,0.0,0.081125
100,6,0.1,5,1.0,0.079452
300,10,0.2,1,0.5,0.08876
200,8,0.05,1,0.0,0.079949
500,6,0.05,5,0.5,0.080238
500,6,0.01,7,0.0,0.078843
200,10,0.1,7,0.5,0.080965
500,4,0.05,3,0.0,0.081925
200,4,0.01,3,0.5,0.088769
100,6,0.05,7,1.0,0.07848
100,4,0.2,7,0.5,0.081987
500,8,0.01,3,1.0,0.07858
200,4,0.2,3,1.0,0.083589
200,8,0.01,5,1.0,0.088954
100,6,0.1,7,0.0,0.080061
500,10,0.1,3,0.5,0.081683
100,8,0.01,5,0.5,0.121317
500,10,0.01,1,1.0,0.07896
500,10,0.01,5,1.0,0.079297
300,6,0.1,5,1.0,0.081878
500,6,0.1,1,1.0,0.084154
200,10,0.2,1,0.5,0.08849
100,10,0.05,7,0.5,0.081439
200,10,0.2,5,0.5,0.087079
200,10,0.1,3,0.0,0.080503
200,4,0.05,7,0.5,0.07941
500,8,0.05,1,1.0,0.082046
200,6,0.1,7,0.0,0.081362
500,6,0.2,3,0.0,0.08467
100,6,0.1,1,0.5,0.08035
500,4,0.2,7,1.0,0.087322
500,10,0.2,1,0.5,0.088814
100,10,0.1,5,0.5,0.079988
300,10,0.05,5,0.0,0.080474
500,10,0.2,5,0.0,0.08771
100,10,0.05,7,1.0,0.081439
300,6,0.2,3,1.0,0.084161
300,4,0.01,3,0.5,0.081125
200,6,0.2,1,0.0,0.084319
500,6,0.1,5,0.5,0.083775
300,10,0.2,5,0.0,0.087629
200,4,0.1,5,1.0,0.080984
200,8,0.2,5,1.0,0.085932
100,6,0.01,7,0.0,0.12125
200,4,0.2,5,0.0,0.084227
500,10,0.1,5,1.0,0.082774
200,8,0.1,7,1.0,0.08057
300,4,0.1,1,1.0,0.080513
200,6,0.1,7,0.5,0.081362
100,6,0.05,5,0.5,0.079077
200,4,0.1,1,0.0,0.078971
500,4,0.01,3,0.5,0.079025
200,8,0.1,7,0.5,0.08057
200,4,0.1,1,0.5,0.078971
300,8,0.1,5,0.5,0.081683
300,4,0.05,7,0.0,0.079686
300,6,0.2,1,0.5,0.08618
100,10,0.01,1,1.0,0.118947
200,6,0.1,5,0.5,0.080532
500,10,0.2,3,0.5,0.084717
200,6,0.05,1,0.0,0.078883
500,10,0.1,1,0.0,0.082037
300,10,0.05,7,1.0,0.081627
200,6,0.1,3,1.0,0.082455
500,4,0.05,7,0.5,0.081272
300,6,0.01,5,0.0,0.080969
500,4,0.05,7,0.0,0.081272
300,4,0.1,1,0.0,0.080513
500,8,0.1,7,0.5,0.082597
500,6,0.2,7,1.0,0.086043
100,8,0.2,7,0.0,0.082072
300,8,0.2,3,1.0,0.086642
300,8,0.1,1,0.5,0.082245
100,6,0.2,7,0.0,0.082004
100,6,0.01,1,0.0,0.11825
100,8,0.05,3,0.5,0.078732
100,10,0.05,1,0.0,0.080682
500,10,0.05,1,0.0,0.082576
500,10,0.01,7,0.5,0.079868
