hidden_units,dropout,lr,val_rmse
32,0.1,0.001,0.076663
32,0.1,0.0005,0.076089
32,0.2,0.001,0.104512
32,0.2,0.0005,0.081891
64,0.1,0.001,0.077626
64,0.1,0.0005,0.077417
64,0.2,0.001,0.083953
64,0.2,0.0005,0.088
