C,epsilon,kernel,val_rmse
0.1,0.01,rbf,0.077628
0.1,0.01,linear,0.077393
0.1,0.05,rbf,0.076679
0.1,0.05,linear,0.076971
0.1,0.1,rbf,0.07616
0.1,0.1,linear,0.07695
0.1,0.5,rbf,0.202829
0.1,0.5,linear,0.202829
1.0,0.01,rbf,0.078256
1.0,0.01,linear,0.077871
1.0,0.05,rbf,0.076901
1.0,0.05,linear,0.077111
1.0,0.1,rbf,0.077112
1.0,0.1,linear,0.076823
1.0,0.5,rbf,0.202829
1.0,0.5,linear,0.202829
10.0,0.01,rbf,0.080482
10.0,0.01,linear,0.077904
10.0,0.05,rbf,0.079276
10.0,0.05,linear,0.077083
10.0,0.1,rbf,0.080677
10.0,0.1,linear,0.076967
10.0,0.5,rbf,0.202829
10.0,0.5,linear,0.202829
100.0,0.01,rbf,0.089254
100.0,0.01,linear,0.077901
100.0,0.05,rbf,0.08744
100.0,0.05,linear,0.07709
100.0,0.1,rbf,0.092279
100.0,0.1,linear,0.076967
100.0,0.5,rbf,0.202829
100.0,0.5,linear,0.202829
